record	locus	at	word	version	op	material_source	component	vessel	before	after	status	foreign_components	prior_problem	row_status
F83_P1	f83r.2	f83r.2:10	chedy	D0	HEAT	f83r.1:6	A	SHARED	"{""components"":[],""unknown"":false}"	"{""components"":[],""unknown"":false}"	BOUND_NO_COMPONENT_CHANGE	NONE	NONE	recorded
F83_P1	f83r.4	f83r.4:2	chedy	D0	HEAT	f83r.3:7	C	SHARED	"{""components"":[],""unknown"":false}"	"{""components"":[],""unknown"":false}"	BOUND_NO_COMPONENT_CHANGE	NONE	NONE	recorded
F83_P1	f83r.4	f83r.4:3	qokedy	D0	WITHDRAW	f83r.4:7	A	SHARED	"{""components"":[],""unknown"":false}"	"{""components"":[],""unknown"":false}"	CONFLICT_EMPTY	NONE	NONE	recorded
F83_P1	f83r.4	f83r.4:9	chedy	D0	HEAT	f83r.4:7	A	SHARED	"{""components"":[],""unknown"":false}"	"{""components"":[],""unknown"":false}"	BOUND_NO_COMPONENT_CHANGE	NONE	f83r.4:3	recorded
F83_P1	f83r.5	f83r.5:7	qokeey	D0	OPEN	NONE	NONE	SHARED	"{""components"":[],""unknown"":false}"	"{""components"":[],""unknown"":false}"	OPEN	NONE	f83r.4:3	recorded
F83_P1	f83r.6	f83r.6:6	chedy	D0	HEAT	f83r.5:6	A	SHARED	"{""components"":[],""unknown"":false}"	"{""components"":[],""unknown"":false}"	BOUND_NO_COMPONENT_CHANGE	NONE	f83r.4:3	recorded
F83_P1	f83r.6	f83r.6:7	qokeedy	D0	FILL	f83r.5:6	A	SHARED	"{""components"":[],""unknown"":false}"	"{""components"":[""A""],""unknown"":false}"	COMPLETE	NONE	f83r.4:3	recorded
F83_P1	f83r.7	f83r.7:8	qokedy	D0	WITHDRAW	NONE	NONE	SHARED	"{""components"":[""A""],""unknown"":false}"	"{""components"":[""A""],""unknown"":false}"	MISSING_MATERIAL	NONE	f83r.4:3	recorded
F83_P1	f83r.8	f83r.8:5	chedy	D0	HEAT	f83r.6:8	C	SHARED	"{""components"":[""A""],""unknown"":false}"	"{""components"":[""A""],""unknown"":false}"	BOUND_NO_COMPONENT_CHANGE	NONE	f83r.4:3	recorded
F83_P2	f83r.9	f83r.9:3	qokedy	D0	WITHDRAW	f83r.11:2	A	SHARED	"{""components"":[""A""],""unknown"":false}"	"{""components"":[],""unknown"":false}"	COMPLETE	NONE	f83r.4:3	recorded
