record	locus	at	word	version	op	material_source	component	vessel	before	after	status	foreign_components	prior_problem	row_status
F83_P1	f83r.4	f83r.4:3	qokedy	D0	WITHDRAW	f83r.4:7	A	SHARED	"{""components"":[],""unknown"":false}"	"{""components"":[],""unknown"":false}"	CONFLICT_EMPTY	NONE	NONE	recorded
F83_P1	f83r.7	f83r.7:8	qokedy	D0	WITHDRAW	NONE	NONE	SHARED	"{""components"":[""A""],""unknown"":false}"	"{""components"":[""A""],""unknown"":false}"	MISSING_MATERIAL	NONE	f83r.4:3	recorded
F83_P2	f83r.9	f83r.9:3	qokedy	D0	WITHDRAW	f83r.11:2	A	SHARED	"{""components"":[""A""],""unknown"":false}"	"{""components"":[],""unknown"":false}"	COMPLETE	NONE	f83r.4:3	recorded
F83_P2	f83r.11	f83r.11:6	qokedy	D0	WITHDRAW	f83r.11:9	C	SHARED	"{""components"":[],""unknown"":false}"	"{""components"":[],""unknown"":false}"	CONFLICT_EMPTY	NONE	f83r.4:3	recorded
F83_P2	f83r.12	f83r.12:8	qokedy	D0	WITHDRAW	f83r.13:3	A	SHARED	"{""components"":[],""unknown"":false}"	"{""components"":[],""unknown"":false}"	CONFLICT_EMPTY	NONE	f83r.4:3	recorded
F83_P2	f83r.13	f83r.13:7	qokedy	D0	WITHDRAW	NONE	NONE	SHARED	"{""components"":[],""unknown"":false}"	"{""components"":[],""unknown"":false}"	MISSING_MATERIAL	NONE	f83r.4:3	recorded
F83_P3	f83r.20	f83r.20:4	qokedy	D0	WITHDRAW	NONE	NONE	SHARED	"{""components"":[""A""],""unknown"":false}"	"{""components"":[""A""],""unknown"":false}"	MISSING_MATERIAL	NONE	f83r.4:3	recorded
F83_P3	f83r.20	f83r.20:7	qokedy	D0	WITHDRAW	NONE	NONE	SHARED	"{""components"":[""A""],""unknown"":false}"	"{""components"":[""A""],""unknown"":false}"	MISSING_MATERIAL	NONE	f83r.4:3	recorded
F83_P3	f83r.21	f83r.21:2	qokedy	D0	WITHDRAW	NONE	NONE	SHARED	"{""components"":[""A""],""unknown"":false}"	"{""components"":[""A""],""unknown"":false}"	MISSING_MATERIAL	NONE	f83r.4:3	recorded
F83_P3	f83r.21	f83r.21:8	qokedy	D0	WITHDRAW	NONE	NONE	SHARED	"{""components"":[""A""],""unknown"":false}"	"{""components"":[""A""],""unknown"":false}"	MISSING_MATERIAL	NONE	f83r.4:3	recorded
