record	locus	at	word	version	op	material_source	component	vessel	before	after	status	foreign_components	prior_problem	row_status
F83_P1	f83r.2	f83r.2:10	chedy	D?	HEAT	f83r.1:6	A	SHARED	"{""components"":[],""unknown"":true}"	"{""components"":[],""unknown"":true}"	BOUND_NO_COMPONENT_CHANGE	NONE	NONE	recorded
F83_P1	f83r.4	f83r.4:2	chedy	D?	HEAT	f83r.3:7	C	SHARED	"{""components"":[],""unknown"":true}"	"{""components"":[],""unknown"":true}"	BOUND_NO_COMPONENT_CHANGE	NONE	NONE	recorded
F83_P1	f83r.4	f83r.4:3	qokedy	D?	WITHDRAW	f83r.4:7	A	SHARED	"{""components"":[],""unknown"":true}"	"{""components"":[],""unknown"":true}"	UNRESOLVED_INITIAL_CONTENT	NONE	NONE	recorded
F83_P1	f83r.4	f83r.4:9	chedy	D?	HEAT	f83r.4:7	A	SHARED	"{""components"":[],""unknown"":true}"	"{""components"":[],""unknown"":true}"	BOUND_NO_COMPONENT_CHANGE	NONE	f83r.4:3	recorded
F83_P1	f83r.5	f83r.5:7	qokeey	D?	OPEN	NONE	NONE	SHARED	"{""components"":[],""unknown"":true}"	"{""components"":[],""unknown"":true}"	OPEN	NONE	f83r.4:3	recorded
F83_P1	f83r.6	f83r.6:6	chedy	D?	HEAT	f83r.5:6	A	SHARED	"{""components"":[],""unknown"":true}"	"{""components"":[],""unknown"":true}"	BOUND_NO_COMPONENT_CHANGE	NONE	f83r.4:3	recorded
F83_P1	f83r.6	f83r.6:7	qokeedy	D?	FILL	f83r.5:6	A	SHARED	"{""components"":[],""unknown"":true}"	"{""components"":[""A""],""unknown"":true}"	COMPLETE	NONE	f83r.4:3	recorded
F83_P1	f83r.7	f83r.7:8	qokedy	D?	WITHDRAW	NONE	NONE	SHARED	"{""components"":[""A""],""unknown"":true}"	"{""components"":[""A""],""unknown"":true}"	MISSING_MATERIAL	NONE	f83r.4:3	recorded
F83_P1	f83r.8	f83r.8:5	chedy	D?	HEAT	f83r.6:8	C	SHARED	"{""components"":[""A""],""unknown"":true}"	"{""components"":[""A""],""unknown"":true}"	BOUND_NO_COMPONENT_CHANGE	NONE	f83r.4:3	recorded
F83_P2	f83r.9	f83r.9:3	qokedy	D?	WITHDRAW	f83r.11:2	A	SHARED	"{""components"":[""A""],""unknown"":true}"	"{""components"":[""A""],""unknown"":true}"	UNRESOLVED_INITIAL_CONTENT	NONE	f83r.4:3	recorded
