field_id	class_id	register_class_cell_id	register	physical_folio	page	locus	field_ordinal_audit_only	group_count	training_physical_folios	training_distinct_surfaces	training_occurrences	held_surface_seen_in_training	semantic_state	translation_state
FLD770e3112a8ec57a7cf4e	NEQ949354a81da6c2941128	NRC1a0f5618da628d0a800f	HERBAL_B	f34	f34r	f34r.3	4	1	3	3	3	NO	UNASSIGNED	UNASSIGNED
FLD90bed750c6f2ac35b112	NEQ949354a81da6c2941128	NRC1a0f5618da628d0a800f	HERBAL_B	f34	f34r	f34r.3	5	1	3	3	3	NO	UNASSIGNED	UNASSIGNED
FLD975d9d1ab3540a778756	NEQ949354a81da6c2941128	NRC1a0f5618da628d0a800f	HERBAL_B	f40	f40v	f40v.7	1	1	3	4	4	NO	UNASSIGNED	UNASSIGNED
FLD76568f1fc254f79c9cb2	NEQ949354a81da6c2941128	NRC1a0f5618da628d0a800f	HERBAL_B	f43	f43v	f43v.3	1	1	3	4	4	NO	UNASSIGNED	UNASSIGNED
FLDa8219a41326823c3132f	NEQ949354a81da6c2941128	NRC1a0f5618da628d0a800f	HERBAL_B	f50	f50r	f50r.3	4	1	3	4	4	NO	UNASSIGNED	UNASSIGNED
FLDaf992bb8fee83f786b6f	NEQf2b39e64ab82d3f5b074	NRC232effdbaf2f06fbce03	OTHER_B	f66	f66r	f66r.78	3	1	8	2	17	NO	UNASSIGNED	UNASSIGNED
FLD58b79a673bfd6e150095	NEQ245639ef453692dae215	NRCaff63f1a9383af1731ab	OTHER_B	f75	f75r	f75r.18	1	2	3	2	3	NO	UNASSIGNED	UNASSIGNED
FLDf6909d41ef5f2adf988a	NEQ1531568c3a1b9ed93203	NRCa56b15c5b0325e18465b	OTHER_B	f75	f75r	f75r.9	4	1	3	4	5	NO	UNASSIGNED	UNASSIGNED
FLD9bfb94b6578d638a7018	NEQ245639ef453692dae215	NRCaff63f1a9383af1731ab	OTHER_B	f76	f76v	f76v.13	2	2	3	2	3	NO	UNASSIGNED	UNASSIGNED
FLD5939954cc26d018cb229	NEQ2902aef35fdcb3d977b4	NRCe66b9f60c2631bff9c34	OTHER_B	f77	f77r	f77r.11	3	2	5	5	7	NO	UNASSIGNED	UNASSIGNED
FLDc9015281e457cce4c0ce	NEQ14b57913603956dc1a6b	NRCa892531ab62ee662af2a	OTHER_B	f77	f77r	f77r.37	2	2	3	2	3	NO	UNASSIGNED	UNASSIGNED
FLD89602f4cf528f4bbc2f1	NEQ1531568c3a1b9ed93203	NRCa56b15c5b0325e18465b	OTHER_B	f77	f77v	f77v.13	4	1	3	4	4	NO	UNASSIGNED	UNASSIGNED
FLD81ad5f05acb5837810d1	NEQda3c88b9fad05a10d608	NRC5141b464ecdfeda50ed1	OTHER_B	f77	f77v	f77v.17	1	1	5	2	6	NO	UNASSIGNED	UNASSIGNED
FLD0786ba1cc61a982fe7e8	NEQ1531568c3a1b9ed93203	NRCa56b15c5b0325e18465b	OTHER_B	f77	f77v	f77v.6	7	1	3	4	4	NO	UNASSIGNED	UNASSIGNED
FLD794ace00e98616d1221b	NEQ2902aef35fdcb3d977b4	NRCe66b9f60c2631bff9c34	OTHER_B	f78	f78r	f78r.12	4	2	5	5	8	NO	UNASSIGNED	UNASSIGNED
FLDeeefbb728bf5cdb10848	NEQ14b57913603956dc1a6b	NRCa892531ab62ee662af2a	OTHER_B	f80	f80r	f80r.45	1	2	3	2	3	NO	UNASSIGNED	UNASSIGNED
FLDbc922e31941f9d8422b2	NEQ1531568c3a1b9ed93203	NRCa56b15c5b0325e18465b	OTHER_B	f80	f80v	f80v.16	3	1	3	4	5	NO	UNASSIGNED	UNASSIGNED
FLDe5923d837867943378fd	NEQ1531568c3a1b9ed93203	NRCa56b15c5b0325e18465b	OTHER_B	f81	f81r	f81r.4	3	1	3	3	4	NO	UNASSIGNED	UNASSIGNED
FLDc0ee247e1ae1b2a908a2	NEQ1531568c3a1b9ed93203	NRCa56b15c5b0325e18465b	OTHER_B	f81	f81v	f81v.27	4	1	3	3	4	NO	UNASSIGNED	UNASSIGNED
FLDe0fb91121a52772b4530	NEQ2902aef35fdcb3d977b4	NRCe66b9f60c2631bff9c34	OTHER_B	f83	f83v	f83v.2	1	2	5	5	9	NO	UNASSIGNED	UNASSIGNED
FLDfa33a7f8ff94a511b37b	NEQa1e491c552fa277d9833	NRC3d26f0fd181ff60f9669	STARS_RECIPE_B	f106	f106r	f106r.44	1	1	4	2	4	NO	UNASSIGNED	UNASSIGNED
FLD253830e913ba178d5551	NEQf2b39e64ab82d3f5b074	NRCbe89be2707f6c29e0911	STARS_RECIPE_B	f108	f108r	f108r.38	2	1	5	2	7	NO	UNASSIGNED	UNASSIGNED
FLDe1d20f5a0426838d640f	NEQa1e491c552fa277d9833	NRC3d26f0fd181ff60f9669	STARS_RECIPE_B	f111	f111r	f111r.7	1	1	4	2	4	NO	UNASSIGNED	UNASSIGNED
FLDcd0a5f5005ec226df804	NEQ6885e691b7ade949918b	NRC6d65ef25c194ce77aa56	STARS_RECIPE_B	f113	f113v	f113v.25	3	1	3	2	3	NO	UNASSIGNED	UNASSIGNED
FLDefd268ee6db65d3d1f72	NEQ6885e691b7ade949918b	NRC6d65ef25c194ce77aa56	STARS_RECIPE_B	f115	f115v	f115v.7	5	1	3	2	3	NO	UNASSIGNED	UNASSIGNED
