event_id	clause_id	physical_page	locus	surface	component_recipe	codebook_layer	learned_card_id	simple_reading_route	simple_card_reading_de
P912-E0001	P915-C001	f10r	f10r.1	pchocthy	P+CH+O+CTH+Y	PRODUCTIVE_ABBREVIATION_COMPOSITION	NONE	ROOT_LEMMA_COMPOSITION	EINSETZEN · ENTNEHMEN · AUSFÜHREN · BEREIT · DIES
P912-E0002	P915-C001	f10r	f10r.1	shor	SH+OR	PRODUCTIVE_ABBREVIATION_COMPOSITION	NONE	ROOT_LEMMA_COMPOSITION	HALTEN · ANSATZ
P912-E0003	P915-C001	f10r	f10r.1	octhody	O+CTH+O+D_ADDR+Y	PRODUCTIVE_ABBREVIATION_COMPOSITION	NONE	ROOT_LEMMA_COMPOSITION	AUSFÜHREN · BEREIT · AUSFÜHREN · TEIL · DIES
P912-E0004	P915-C001	f10r	f10r.1	chorchy	CH+OR+CH+Y	PRODUCTIVE_ABBREVIATION_COMPOSITION	NONE	ROOT_LEMMA_COMPOSITION	ENTNEHMEN · ANSATZ · ENTNEHMEN · DIES
P912-E0005	P915-C001	f10r	f10r.1	pchodol	P+CH+O+D_ADDR+OL	PRODUCTIVE_ABBREVIATION_COMPOSITION	NONE	ROOT_LEMMA_COMPOSITION	EINSETZEN · ENTNEHMEN · AUSFÜHREN · TEIL · FORTSETZEN
P912-E0006	P915-C001	f10r	f10r.1	chopchal	CH+O+P+CH+AL	PRODUCTIVE_ABBREVIATION_COMPOSITION	NONE	ROOT_LEMMA_COMPOSITION	ENTNEHMEN · AUSFÜHREN · EINSETZEN · ENTNEHMEN · ZIEL
P912-E0007	P915-C001	f10r	f10r.1	ypch	Y+P+CH	PRODUCTIVE_ABBREVIATION_COMPOSITION	NONE	ROOT_LEMMA_COMPOSITION	DIES · EINSETZEN · ENTNEHMEN
P912-E0008	P915-C001	f10r	f10r.1	kom	K+O+M_LOCAL	PRODUCTIVE_ABBREVIATION_COMPOSITION	NONE	ROOT_LEMMA_COMPOSITION	ZUGEBEN · AUSFÜHREN · MITTE
P912-E0009	P915-C001	f10r	f10r.2	dchey	CH+E+Y	PRODUCTIVE_ABBREVIATION_COMPOSITION	NONE	ROOT_LEMMA_COMPOSITION	ENTNEHMEN · KURZ · DIES
P912-E0010	P915-C001	f10r	f10r.2	cthoor	CTH+O+OR	PRODUCTIVE_ABBREVIATION_COMPOSITION	NONE	ROOT_LEMMA_COMPOSITION	BEREIT · AUSFÜHREN · ANSATZ
P912-E0011	P915-C001	f10r	f10r.2	char	AR	LEARNED_FORMULA_CARD	P942-K16	LEARNED_FORMULA_IDIOM	AUS DER QUELLE
P912-E0012	P915-C001	f10r	f10r.2	chty	CH+T+Y	PRODUCTIVE_ABBREVIATION_COMPOSITION	NONE	ROOT_LEMMA_COMPOSITION	ENTNEHMEN · EINSTELLEN · DIES
P912-E0013	P915-C001	f10r	f10r.2	os	OS	PRODUCTIVE_ABBREVIATION_COMPOSITION	NONE	ROOT_LEMMA_COMPOSITION	DAZU
P912-E0014	P915-C001	f10r	f10r.2	chair	CH+AIR	PRODUCTIVE_ABBREVIATION_COMPOSITION	NONE	ROOT_LEMMA_COMPOSITION	ENTNEHMEN · LAUF
