pair_id	pair_role	role_stratum	dry_surface	moist_surface	dry_working_candidate_de	moist_working_candidate_de	working_confidence	basis	counterevidence
SP01	PREPARATION_BASE	OUTER_CONTROL_PREPARATION	cho	sho	Trockenansatz	feuchter Ansatz	W2_W3_MIXED_WORKING	GDT661_GDT734	Ganzwortwerte sind unbestätigt; Ansatz kann eine Feld- statt Stoffrolle sein
SP02	BEGIN_SIMPLE	OUTER_CONTROL_STATE_STAGE	chy	shy	trocken am Anfang des Grades	feucht, Anfangsstufe	W1_W2_MIXED_WORKING	GDT647_GDT712	Y und CH/SH sind keine frei exportierbaren Komponenten
SP03	MIDDLE_SIMPLE	OUTER_CONTROL_STATE_STAGE	chey	shey	trocken in der Mitte des Grades	feucht in der Mitte des Grades	W2_PROVISIONAL_WORKING	GDT647	Achsen bleiben Ganzwort-Arbeitstheorie; keine freie CH/SH/E/Y-Zerlegung
SP04	END_SIMPLE_WEAK	OUTER_CONTROL_STATE_STAGE	cheey	sheey	trocken; genaue Funktion offen	feucht, Endstufe	K1_K2_WEAK_WORKING	GDT749_GDT712	Cheey verlor die starke Endstufenlesung; sheey bleibt nur W1
SP05	BEGIN_CLOSED	OUTER_CONTROL_STATE_STAGE	chdy	shdy	trockene Anfangsstufe erreicht	feuchte Anfangsstufe erreicht	W2_PROVISIONAL_WORKING	GDT689	Abschluss- und Prozessrichtung sind nicht als freie Morpheme gesichert
SP06	MIDDLE_CLOSED	OUTER_CONTROL_STATE_STAGE	chedy	shedy	mittlere Trockenstufe erreicht	mittlere Feuchtstufe erreicht	W3_SOLID_WORKING_THEORY	GDT689	Ganzwortrollen, keine bestätigten deutschen Wörter
SP07	END_CLOSED	OUTER_CONTROL_STATE_STAGE	cheedy	sheedy	trocken am Ende des Grades, abgeschlossen	feucht am Ende des Grades	W2_W3_MIXED_WORKING	GDT647_GDT689	Die beiden Formen haben ungleiche Evidenz und dürfen nicht komponentenweise zerlegt werden
SP08	QUALITY_HEAD	OUTER_CONTROL_STATE_HOST	chol	shol	trocken	feucht	W2_W3_MIXED_WORKING	GDT685	Zustandszelle ist stärker als ein universeller Ansatz- oder Stoffkopf
SP09	MATERIAL_HEAD	OUTER_CONTROL_MATERIAL	cheol	sheol	trockenes Material	feuchtes Material	W1_W3_MIXED_WORKING	GDT642_GDT712	Cheol ist sehr schwach; genaue Materia und Flüssigkeit bleiben offen
SP10	MATERIAL_PART	DISCOVERY_MATERIAL_PART	cheor	sheor	trockener Drogenteil	feuchter Drogenteil	W3_SOLID_WORKING_THEORY	GDT642_GDT648_GDT761	GDT761-Entdeckungsziel; nur in sichtbaren Trägerkonstruktionen wird der Pflanzenteil konkreter
SP11	PREPARATION_FULL	DISCOVERY_PREPARATION	cheo	sheo	trocken angesetzte Zubereitung	Feuchtzubereitung	W3_SOLID_WORKING_THEORY	GDT650_GDT734_GDT761	GDT761-Entdeckungsziel; Medium und genaue Zubereitungsart bleiben offen
