hypothesis_id	surface	hypothesis_role	working_realization_de	positive_signature	negative_signature
H01	ckhy	AQUEOUS_OR_WINE_MEDIUM	Wasser- oder Weinmedium	direkte Feuchtkontakte in Präparations- und Materialrollen ohne Trockenkontakt	ein direkter Trockenkontakt oder nur Discovery-Treffer
H02	ckhy	OIL_OR_OLEAGINOUS_BASE	Öl oder ölige Grundlage	unabhängige Flüssigkeits-, Produkt-, Abzieh- oder Kühlsignatur	nur Zustandsnähe ohne Stoffsignal
H03	ckhy	NOMINAL_PREPARATION_OR_COMPOSITUM_BEGIN	Zubereitung/Kompositum, Anfangsstufe	bestehende Ganzwortkarte und nominale Wiederkehr in einer Stufenfamilie	stabile Aktions- oder Flüssigkeitsrolle
H04	ckhy	OPEN_RELAY_OR_OTHER	offenes Ganzwort mit Radius-zwei-Feuchtrelay	direkte Transfergates fehlen, mehrere Radius-zwei-Hinweise	starke gerichtete Direktkonstruktion
H05	pcheey	AQUEOUS_WINE_OR_OIL_MEDIUM	Wasser-, Wein- oder Ölmedium	Feuchtkontakte über mindestens zwei Rollen mit unabhängiger Flüssigkeitssignatur	nur unmittelbar rechts von Präparationsköpfen und null Materialkontakt
H06	pcheey	DRY_SOURCE_OR_COMPLEMENT	Trockengut, Form II als Quelle/Zutat einer Feuchtzubereitung	alle Vorkommen unmittelbar rechts von sho oder sheo auf mehreren Seiten und formnahe Kontrollen ohne dieses Muster	gleich starke Trockenpräparations- oder umgekehrte Feuchtkontakte
H07	pcheey	POST_MOIST_RESULT	Trockenmasse oder Rückstand II nach Feuchtzubereitung	gerichtete Folge nach Feuchtpräparation plus unabhängiges Ergebnis-/Abschlusssignal	kein geschriebenes Übergangs-, Trenn- oder Abschlusssignal
H08	pcheey	RECORD_FORM_FIELD	mediales Form-II- oder Listenfeld	Auftreten neben verwandten Ganzformen und bestehende Record-Rollenanalyse	stabile Stoffquellenrelation in unabhängigen Konstruktionen
H09	pcheey	OPAQUE_OR_BOUND_SHELL	opakes Ganzwort oder Teil einer Zustands-/Präparatsschale	fused CH/SH/O-Schalen über verwandtem pchey-Körper	starke unabhängige Ganzwortbedeutung
H10	ol	AQUEOUS_OR_WINE_MEDIUM	Wasser- oder Weinmedium	klare relative Feuchtselektion und wiederholte Quellen-/Gefäßsignatur	nahezu symmetrische Trocken-/Feuchtkontakte
H11	ol	OIL_OR_OLEAGINOUS_BASE	Öl oder ölige Grundlage	unabhängige Flüssigkeits-, Produkt-, Abzieh- oder Kühlsignatur	bloße EVA-Ähnlichkeit oder breite polaritätsneutrale Trägerrolle
H12	ol	GENERAL_PREPARATION_OR_CARRIER	Ansatz-/Trägerfeld	weite Wiederkehr über mindestens drei Rollenstrata und beide Polaritäten	eng gerichtete spezifische Konstruktion
H13	ol	MATERIAL_OR_PROPERTY_HEAD	Stoff- oder Eigenschaftsträger	parallele Trocken-/Feucht-Zustandszellen und Materialkontakte	selektive konkrete Flüssigkeitsrolle
H14	ol	OPAQUE_OR_OTHER	opakes Ganzwort	keine stabile relationale Rolle	breite wiederholte Trägerkontakte
