record	source_index	atom	global_count	obligation
I.1	0	IRIS	4	shared_nonempty_prefix_free_code
I.1	1	ILLYRIA	2	shared_nonempty_prefix_free_code
I.1	2	LEAF	4	shared_nonempty_prefix_free_code
I.1	3	LEX:φέρει	1	member_of_fixed_singleton_run
I.1	4	SIMILAR	4	shared_nonempty_prefix_free_code
I.1	5	XIPHION	2	shared_nonempty_prefix_free_code
I.1	6	MORE	5	shared_nonempty_prefix_free_code
I.1	7	LARGE	2	shared_nonempty_prefix_free_code
I.1	8	DE_PARTICLE	41	shared_nonempty_prefix_free_code
I.1	9	AND	64	shared_nonempty_prefix_free_code
I.1	10	MORE	5	shared_nonempty_prefix_free_code
I.1	11	BROAD	3	shared_nonempty_prefix_free_code
I.1	12	AND	64	shared_nonempty_prefix_free_code
I.1	13	MORE	5	shared_nonempty_prefix_free_code
I.1	14	FLESHY	1	member_of_fixed_singleton_run
I.1	15	FLOWER	2	shared_nonempty_prefix_free_code
I.1	16	LEX:ἐπὶ	1	member_of_fixed_singleton_run
I.1	17	STEM	3	shared_nonempty_prefix_free_code
I.1	18	LEX:παράλληλα	1	member_of_fixed_singleton_run
I.1	19	LEX:ἐπικαμπῆ	1	member_of_fixed_singleton_run
I.1	20	LEX:ποικίλα	1	member_of_fixed_singleton_run
I.1	21	LEX:ἢ	8	shared_nonempty_prefix_free_code
I.1	22	LEX:γὰρ	2	shared_nonempty_prefix_free_code
I.1	23	WHITE	4	shared_nonempty_prefix_free_code
I.1	24	LEX:ἢ	8	shared_nonempty_prefix_free_code
I.1	25	LEX:ὠχρὰ	1	member_of_fixed_singleton_run
I.1	26	LEX:ἢ	8	shared_nonempty_prefix_free_code
I.1	27	LEX:μήλινα	1	member_of_fixed_singleton_run
I.1	28	LEX:ἢ	8	shared_nonempty_prefix_free_code
I.1	29	PURPLE	2	shared_nonempty_prefix_free_code
I.1	30	LEX:ἢ	8	shared_nonempty_prefix_free_code
I.1	31	LEX:κυανίζοντα	1	member_of_fixed_singleton_run
I.1	32	LEX:ὁρᾶται	1	member_of_fixed_singleton_run
I.1	33	LEX:ὅθεν	2	shared_nonempty_prefix_free_code
I.1	34	LEX:διὰ	2	shared_nonempty_prefix_free_code
I.1	35	LEX:τὴν	8	shared_nonempty_prefix_free_code
I.1	36	LEX:ποικιλίαν	1	member_of_fixed_singleton_run
I.1	37	LEX:ἀπεικάσθη	1	member_of_fixed_singleton_run
I.1	38	CELESTIAL_IRIS	1	member_of_fixed_singleton_run
I.1	39	LEX:οὐρανίᾳ	1	member_of_fixed_singleton_run
I.1	40	ROOT	10	shared_nonempty_prefix_free_code
I.1	41	DE_PARTICLE	41	shared_nonempty_prefix_free_code
I.1	42	LEX:ὕπεισι	1	member_of_fixed_singleton_run
I.1	43	LEX:γονατώδεις	1	member_of_fixed_singleton_run
I.1	44	LEX:στερεαί	1	member_of_fixed_singleton_run
I.1	45	FRAGRANT	4	shared_nonempty_prefix_free_code
I.1	46	LEX:ἃς	1	member_of_fixed_singleton_run
I.1	47	LEX:δεῖ	2	shared_nonempty_prefix_free_code
I.1	48	LEX:μετὰ	3	shared_nonempty_prefix_free_code
I.1	49	LEX:τὴν	8	shared_nonempty_prefix_free_code
I.1	50	LEX:τομὴν	1	member_of_fixed_singleton_run
I.1	51	LEX:ξηράναντας	1	member_of_fixed_singleton_run
