partition	edition	iris_page	included_base_rows	status	construction_seconds	solver_seconds	witnessed_base_id
0	IT2a	f17v	253	UNKNOWN_SOLVER	0.04297637299168855	20.222266092081554	NA
1	IT2a	f20r	176	UNKNOWN_SOLVER	0.034038210986182094	33.49079235596582	NA
2	IT2a	f21r	211	UNKNOWN_SOLVER	0.03548838198184967	33.45159903995227	NA
3	IT2a	f22r	90	UNKNOWN_SOLVER	0.03367700497619808	33.49310222000349	NA
4	IT2a	f23r	123	UNKNOWN_SOLVER	0.033392121898941696	32.068278501043096	NA
5	IT2a	f2r	370	UNKNOWN_SOLVER	0.042617377010174096	20.227755352971144	NA
6	IT2a	f30r	666	UNKNOWN_SOLVER	0.038889351999387145	20.01978480501566	NA
7	IT2a	f34r	222	UNKNOWN_SOLVER	0.03460038895718753	32.28522725205403	NA
8	IT2a	f34v	237	UNKNOWN_SOLVER	0.04487452993635088	20.300805478007533	NA
9	IT2a	f37v	261	UNKNOWN_SOLVER	0.03596761904191226	32.42840068298392	NA
10	IT2a	f39r	277	UNKNOWN_SOLVER	0.03617271198891103	20.044979015015997	NA
11	IT2a	f39v	82	UNKNOWN_SOLVER	0.03347272297833115	34.02053134306334	NA
12	IT2a	f40v	204	UNKNOWN_SOLVER	0.03809495992027223	20.0504264900228	NA
13	IT2a	f42v	448	UNKNOWN_SOLVER	0.03689775301609188	20.24348078900948	NA
14	IT2a	f46r	282	UNKNOWN_SOLVER	0.03588376799598336	20.035448928945698	NA
15	IT2a	f46v	81	UNKNOWN_SOLVER	0.03496797394473106	20.037074303021654	NA
16	IT2a	f48r	88	UNKNOWN_SOLVER	0.03360739501658827	20.022269980981946	NA
17	IT2a	f48v	256	UNKNOWN_SOLVER	0.03568804496899247	20.050895111984573	NA
18	IT2a	f49r	103	UNKNOWN_SOLVER	0.03508076595608145	20.058684010989964	NA
19	IT2a	f49v	451	UNKNOWN_SOLVER	0.03626299393363297	20.0210800570203	NA
20	IT2a	f50r	101	UNKNOWN_SOLVER	0.03388203901704401	20.05057924101129	NA
21	IT2a	f50v	627	UNKNOWN_SOLVER	0.03866769897285849	20.144484503078274	NA
22	IT2a	f55r	96	UNKNOWN_SOLVER	0.03318598901387304	32.43833431205712	NA
23	IT2a	f56r	499	UNKNOWN_SOLVER	0.036404566024430096	31.74235592992045	NA
24	IT2a	f66v	585	UNKNOWN_SOLVER	0.03819580201525241	32.61905368498992	NA
25	IT2a	f87r	91	UNKNOWN_SOLVER	0.034729800070635974	33.0657996829832	NA
26	IT2a	f87v	151	UNKNOWN_SOLVER	0.03531814902089536	20.002328432979994	NA
27	IT2a	f8r	159	UNKNOWN_SOLVER	0.03606330999173224	20.315088813076727	NA
28	IT2a	f8v	590	UNKNOWN_SOLVER	0.03706923499703407	20.018589620944113	NA
29	IT2a	f93r	364	UNKNOWN_SOLVER	0.036270314012654126	32.444430936011486	NA
30	IT2a	f94v	229	UNKNOWN_SOLVER	0.034132412052713335	20.03262063092552	NA
31	IT2a	f95r1	299	UNKNOWN_SOLVER	0.03628983395174146	30.296710522961803	NA
32	IT2a	f95v1	314	UNKNOWN_SOLVER	0.036280784057453275	31.058744710986502	NA
