statement_id	record_unit_id	page	surface_sequence	atomic_sequence	event_count
H1-S001	H1	f10r	dchey cthoor char chty os chair otytchol oky daiin etyd	Wurzelteil → Bereitansatz → Quelle → Zerkleinern → Gefäß → Wasserzulauf → Folgeteilfortsetzung → Einsetzen → Sollmaß → Kurzrest	10
H1-S002	H1	f10r	qokchy qotchol chol cthy	Einsetzen → Folgefortsetzung → Fortsetzung → Bereit	4
H2-S001	H2	f10r	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Auszugsansatz → Bereit → Ansatz → Bereitsollmaß → Folgefortsetzungsposten → Diesposten → Diesposten → Sollmaß → Diesposten	9
H2-S002	H2	f10r	qotchor chor otol chol cholor chol daiin dar	Folgeansatz → Ansatz → Folgefortsetzung → Fortsetzung → Fortsetzungsansatz → Fortsetzung → Sollmaß → Quelle	8
H2-S003	H2	f10r	oykchor shor chor chy kaiiin dy chodaiin	Gefäßansatz → Ansatz → Ansatz → Diesposten → Bindestufe → Diesposten → Zutatsollmaß	7
H3-S001	H3	f11r	tshol schoal cfhy shfydaiin cphy shey tchody	Blütenkraut → Zieleingabe → Auswringen → Standzeit → Nachseihen → Klarauszug → Rücknahmeschluss	7
H3-S002	H3	f11r	shoyty	Zutatfolgeteil	1
H3-S003	H3	f11r	dchol chy kchy dy daiin	Vorfortsetzung → Diesposten → Bindeposten → Diesposten → Sollmaß	5
H3-S004	H3	f11r	qotchy okchol cthy dy	Folgeposten → Fortsetzungseinsatz → Bereit → Diesposten	4
H4-S001	H4	f55v	qokaiin chaiin ykain ykan ody	Sollstellung → Sollmaß → Postenportion → Postenzweitportion → Rücknahmeschluss	5
H4-S002	H4	f55v	daiin chedy talam	Sollmaß → Umsetzen → Verwahren	3
H4-S003	H4	f55v	ykaiin cheoar cheeky oldy	Postensollmaß → Auszugnahme → Langwärme → Fortschluss	4
H4-S004	H4	f55v	aiin okal oltchy or y orain	Sollmaß → Zieleinsatz → Fortsetzungszubereitung → Ansatz → Diesposten → Ansatzportion	6
H5-S001	H5	f56r	chochor cho chodaly daiin sho kchol otchor choky dal	Zutatenansatz → Zutat → Zutatstelle → Sollmaß → Zutat → Bindefortsetzung → Folgeansatz → Einsetzen → Stelle	9
H5-S002	H5	f56r	schol choy choky cheeckhody	Vorfortsetzung → Zutatposten → Einsetzen → Auftragsschluss	4
H5-S003	H5	f56r	sh cho kchey qokokchy	Pflanzenteil → Zutat → Kurzbindeposten → Wiedereinsatz	4
H5-S004	H5	f56r	okchy chokcheo kchal	Einsetzen → Auszugzugabe → Zielbindung	3
H5-S005	H5	f56r	sho chokchy kchoar sotodan	Zutat → Einsetzen → Quellenzutatbindung → Gebrauchen	4
H5-S006	H5	f56r	otchey keol daiin	Folgeposten → Kurzbindefortsetzung → Sollmaß	3
