joint_tuple_id	surface_family	component_formula	old_atomic_value_de	new_atomic_value_de	decision	reason_de
0ec6a45e2950e8e7061d	chodaly	CHO + AL + Y	Blütebeginn	Zutatstelle	REVISE_TO_COMPONENT_LITERAL	CHO+AL+Y gives ingredient at current target, not flowering onset.
204b04837409088c48f9	oltchy	OL + TCH + Y	Anwärmen	Fortsetzungszubereitung	REVISE_TO_COMPONENT_LITERAL	OL+TCH+Y gives continued active preparation; warming requires CHK.
27d97af8c96eb056c2e6	oykchor	OYK + OR	Glasiergefäß	Gefäßansatz	REVISE_TO_COMPONENT_LITERAL	OYK+OR gives vessel plus batch; glazing was an unsupported material detail.
409de02322e7b2ca0c62	kaiiin	K + IIN	Weichstufe	Bindestufe	REVISE_TO_COMPONENT_LITERAL	K+IIN gives bound stage; softness was not encoded.
577c03a928d674d420d7	shoyty	SHO + YTY	Blütenrückhalt	Zutatfolgeteil	REVISE_TO_COMPONENT_LITERAL	SHO+YTY gives ingredient plus following part, not retained flowers.
62ff059766b21c7de083	otytchol	OT + YTY + OL	Auffangen	Folgeteilfortsetzung	REVISE_TO_COMPONENT_LITERAL	OT+YTY+OL gives following part plus continuation, not collecting.
7249edc4df3419c26999	ycheor	Y + CHEO + OR	Pflanzenspitzen	Auszugsansatz	REVISE_TO_COMPONENT_LITERAL	Y+CHEO+OR gives active extract batch, not plant tips.
75a523fcf039b006f97b	kchal	K + AL	Abseihen	Zielbindung	REVISE_TO_COMPONENT_LITERAL	K+AL gives target binding, not straining.
80ebbbbf238eee9f0aef	chety|chty	WHOLE_CARD	Zerkleinern	Zerkleinern	RESTORE_SHARED_WHOLE_CARD	The shared-deck decision is restored: this is a memorized whole card, not a CH component.
834825c61d048a6b5628	chodaiin	CHO + AIIN	Geschwür	Zutatsollmaß	REVISE_TO_COMPONENT_LITERAL	CHO+AIIN gives ingredient plus prescribed measure, not an ulcer.
893c570f3fa3fce99711	kchol	K + OL	Auflegen	Bindefortsetzung	REVISE_TO_COMPONENT_LITERAL	K+OL gives bound continuation, not applying a poultice.
97cc9ac109148723c472	ody	O + DY	Kühlschluss	Rücknahmeschluss	REVISE_TO_COMPONENT_LITERAL	O+DY gives withdrawal plus close; cooling was not encoded.
9bb7122b386ebbc6138f	keol	K + E + OL	Einzelgabe	Kurzbindefortsetzung	REVISE_TO_COMPONENT_LITERAL	K+E+OL gives short-grade bound continuation, not a single dose.
a48efd6c4491a046ba78	qotchy	OT + Y	Blütenrückhalt	Folgeposten	REVISE_TO_COMPONENT_LITERAL	OT+Y gives following item, not retained flowers.
af816c04e65874a0f2fa	qoctholy	OT_FOLLOW+OL_CONTINUE+Y_CURRENT_ITEM	Abpressen	Folgefortsetzungsposten	REVISE_TO_COMPONENT_LITERAL	OT+OL+Y gives a continued following item, not pressing.
b2812c8283c3a62438bd	kchy	K + Y	Trank	Bindeposten	REVISE_TO_COMPONENT_LITERAL	K+Y gives a bound current item, not a draught.
b74e9e65637b7c8538dd	kchey	K + E + Y	Grobzerreiben	Kurzbindeposten	REVISE_TO_COMPONENT_LITERAL	K+E+Y gives short-grade bound item, not coarse grinding.
c10aec6d4dd877ec8bd8	choy	CHO + Y	Waschen	Zutatposten	REVISE_TO_COMPONENT_LITERAL	CHO+Y gives active ingredient item, not washing.
c71c72da4e09e0833392	kchoar	K + CHO + AR	Gebrauchsauszug	Quellenzutatbindung	REVISE_TO_COMPONENT_LITERAL	K+CHO+AR gives bound ingredient from source, not use-extract.
d665560c8ff80799a82c	dchol|schol	D + OL	Fortsetzungsposten	Vorfortsetzung	REVISE_TO_COMPONENT_LITERAL	D+OL gives previous-item continuation.
d929a14ec45749b2e805	ykan	Y + K + AN	Diesportion	Postenzweitportion	REVISE_TO_COMPONENT_LITERAL	Y+K+AN gives current-item second portion.
dedc383b600397a301ee	cthoor	CTH + OR	Säubern	Bereitansatz	REVISE_TO_COMPONENT_LITERAL	CTH+OR gives ready+batch; Säubern was not compositional.
e8a6105b5c3a6220b440	qotchol	Q_FRAME+OT_FOLLOW+OL_CONTINUE_NEW_TRACK	Anwärmen	Folgefortsetzung	REVISE_TO_COMPONENT_LITERAL	OT+OL gives following continuation; warming requires CHK.
f3c23f42baf625639e1e	cthaiin	CTH + AIIN	Krautzerstoßen	Bereitsollmaß	REVISE_TO_COMPONENT_LITERAL	CTH+AIIN gives ready-state plus prescribed measure, not crushing an herb.
