family_id	written_unit	scope	minimal_working_value_de	support_gdts	support_artifacts	support_summary_de	counterevidence_de	family_bonus	family_cap
F_STATE	CH/SH/K/T	family_bound_quality_shell	trocken/feucht/heiss/kalt	GDT647|GDT685	experiments/yolo/gdt647_quality_subdegree_family_migration/REPORT.md|experiments/yolo/gdt685_v58_ch_sh_t_ol_ansatz_dispatch/REPORT.md	Vier wiederkehrende Qualitaetsschalen mit eigenen Anfang/Mitte/Ende-Zellen; CH/SH/T+OL wurde auf 540 zugelassenen Positionen als Zustandsdispatch gelesen.	Die Schalen sind Arbeitstags und keine historisch bestaetigten freien Woerter; K/T koennen Qualitaet statt realer Erhitzungs- oder Kuehlhandlung bezeichnen.	4	59
F_STAGE	Y/EY/EEY/DY/EDY/EEDY	family_bound_stage_cell	Anfang/Mitte/Ende; D-Zelle erreicht oder abgeschlossen	GDT647|GDT689	experiments/yolo/gdt647_quality_subdegree_family_migration/REPORT.md|experiments/yolo/gdt689_v62_bound_dy_sister_endpoint_dispatch/REPORT.md	Beobachtete Schwesterzellen unterscheiden Anfang, Mitte, Ende und resultative D-Zellen.	Nacktes y/dy ist strukturell; die gebundene Endpunktlesung darf nicht als freies Suffix exportiert werden.	4	59
F_O	O	bounded_preparation_frame	Ansatz- oder Zubereitungsrahmen	GDT652|GDT691|GDT692	experiments/yolo/gdt652_strict_v28_frontier_completion/REPORT.md|experiments/yolo/gdt691_preparation_head_role_dispatch/REPORT.md|experiments/yolo/gdt692_o_q_fraction_sister_compositor/REPORT.md	O bildet sichtbare Ansatzrahmen und Schwesterformen, wird aber nach Rolle als Kopf, Kontext oder Quelle gerendert.	O ist weder als Wasser noch als universeller Produktkopf bestaetigt; Kontextrelationen duerfen nicht zum Wortwert werden.	3	59
F_AL	AL/DAL	family_bound_typed_terminal	Materialklasse I / abgemessene Menge dieser Klasse	GDT655|GDT656	experiments/yolo/gdt655_dal_al_measured_material_completion/REPORT.md|experiments/yolo/gdt656_al_quality_position_shell/REPORT.md	AL/DAL bilden eine I-III-Leiter und 18 verankerte Karten; 567 Zielpositionen wurden im gemeinsamen Klassen-/Messmodell gelesen.	Direkte freie d+al- oder a+l-Grenzen fehlen; Rohstoffform und gelerntes DAL-Ganzwort bleiben Rivalen.	8	59
F_AM	AM/DAM	family_bound_measure_terminal	Mass I / abgemessenes Mass I	GDT661	experiments/yolo/gdt661_forty_eight_residual_family_completion/REPORT.md	AM/AIM/AIIM und DAM/DAIM/DAIIM bilden sichtbare Massleitern; AM und DAM besitzen 67/68 breitere V38-Vorkommen.	Am Zeilenende koennen beide zugleich schliessen; eine historische Einheit oder Dosisbezeichnung ist nicht identifiziert.	8	59
F_R	AR/AIR/AIIR/AIIIR	family_bound_selected_share	Materialanteil I/II/III/IV	GDT693|GDT694	experiments/yolo/gdt693_ar_head_semantic_tournament/REPORT.md|experiments/yolo/gdt694_residual_fraction_share_migration/REPORT.md	Sechs R/N-Paare und die vollstaendige O/Q-Schwesterfamilie trennen Anteil von Wert und Portion; 79 aktive Anteilspositionen wurden terminologisch vereinheitlicht.	Stoffklasse bleibt Rivale; Anteil bezeichnet keine Destillationsfraktion und identifiziert den Stoff nicht.	8	59
F_OR	OR	family_bound_portion_terminal	Portion	GDT654|GDT693	experiments/yolo/gdt654_ar_or_surface_consolidation/REPORT.md|experiments/yolo/gdt693_ar_head_semantic_tournament/REPORT.md	OR bleibt in den R/OR-Kontrasten der abgeteilte Portionskopf und wird nicht mit dem R-Anteil zusammengelegt.	Einheit und Stoffkopf der Portion koennen lokal offen bleiben; OR ist kein automatisch gezaehltes Zwei.	6	59
F_N	AIN/AIIN/AIIIN/DAIN/DAIIN	context_bound_value_terminal	Wert II/III/IV; lokal Grad oder Menge	GDT686	experiments/yolo/gdt686_v59_dain_daiin_qodaiin_value_head_dispatch/REPORT.md	Die geordnete Wertleiter ist stabil; GDT686 verteilt konkrete Grade und Mengen nur ueber sichtbare oder lokal gebundene Koepfe.	Der abstrakte Wortkern darf W2 erreichen; jede konkrete Achsenrealisation Grad oder Menge bleibt separat W1 und benachbarte Stoff- und Produktnamen gehoeren nicht in den Wortwert.	3	59
F_CKH	CKH/CPH	learned_family_head	technisches Mischgut oder Kompositum	GDT651|GDT652	experiments/yolo/gdt651_ckh_four_shell_family_migration/REPORT.md|experiments/yolo/gdt652_strict_v28_frontier_completion/REPORT.md	Der gelernte Kopf steht in einem wiederholten Qualitaets- und Gradraster; 17/24 CKH-Zellen sind beobachtet und die O-Schwestern besitzen sichtbare Grenzen.	Arznei, konkrete Mischung und physische Bindung sind nicht unabhaengig identifiziert; der Kopf bleibt familiengebunden.	6	49
F_MATERIA	P/S/R/L/F/CTH	initial_or_family_bound_material_head	Pulver/Samen/Wurzel/Holz/Bluete/Krautmaterial	GDT635|GDT690	experiments/yolo/gdt635_initial_head_same_remainder_swaps/REPORT.md|experiments/yolo/gdt690_noun_ordinal_provenance_main_apparatus/REPORT.md	Initiale Schwesterkoepfe und der spaetere Nomenapparat bewahren wiederkehrende Materialklassen in kompletten Formen.	Die Werte sind keine freien Einzeichenuebersetzungen und bleiben bei Label- oder Readerkontexten occurrence-scoped.	4	59
