statement_id	record_unit_id	page	fresh_surfaces	atomic_lexeme_chain	atomic_card_count	fluent_statement_de	terminal_scope	roundtrip_match	separation_rule_de
B1-S001	B1	f81v	qokedy	Kurzkontakt;	1	Lass ihn kurz einwirken	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B1-S002	B1	f81v	qokaiin kair okal char ol kain olkain al ol rol dl olor ol sheckhal aiin qokeedal aiin chckhy schedy	bemessen → Beckenlauf → Orteinsatz → davon → weiter → Portion → Folgeportion → dorthin → weiter → Anschluss → Zusatz → Gleichansatz → weiter → Zielkurzpassage → Sollmaß → Ziellanghalt → Sollmaß → durchleiten → überführen;	19	Messe den Posten ab; Führe durch den Beckenlauf; Setze ihn dort ein; Nimm davon; Arbeite weiter; Nimm eine Portion; Nimm einen weiteren Anteil; Führe ihn dorthin; Arbeite weiter; Schließe am nächsten Abschnitt an; Gib den Zusatz zu; Verwende denselben Ansatz weiter; Arbeite weiter; Führe ihn kurz durch die Zielpassage; Arbeite nach dem vorgeschriebenen Maß; Setze ihn lange am Ziel ein; Arbeite nach dem vorgeschriebenen Maß; Leite den Posten hindurch; Führe den Posten über	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B1-S003	B1	f81v	qol sshkchdy	weiter → übertragen;	2	Arbeite weiter; Übertrage ihn	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B1-S004	B1	f81v	chdy ol cheedy	überführen → weiter → Kurzabsetzung;	3	Führe den Posten über; Arbeite weiter; Lass ihn kurz absetzen	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B1-S005	B1	f81v	qolchedy	weiterführen;	1	Führe ihn weiter	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B1-S006	B1	f81v	qokain chckhy dl ral	Zugabe → durchleiten → Zusatz → Zielmarke	4	Gib einen Anteil zu; Leite den Posten hindurch; Gib den Zusatz zu; Halte die Zielmarke ein	NONCLOSE	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B1-S007	B1	f81v	qokchdy	Neueinsatz;	1	Setze einen neuen Posten ein	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B1-S008	B1	f81v	y ol cheky ol cheedy	dies → weiter → Kurzwärme → weiter → Kurzabsetzung;	5	Halte diesen Posten aktiv; Arbeite weiter; Wärme ihn kurz; Arbeite weiter; Lass ihn kurz absetzen	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B1-S009	B1	f81v	qokedy	Kurzkontakt;	1	Lass ihn kurz einwirken	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B1-S010	B1	f81v	qokedy	Kurzkontakt;	1	Lass ihn kurz einwirken	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B1-S011	B1	f81v	chckhy oky	durchleiten → einsetzen	2	Leite den Posten hindurch; Setze den Posten ein	NONCLOSE	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B1-S012	B1	f81v	lsho okey lshedy	Waschgang → Kurzkontakt → Waschgang;	3	Führe einen Waschgang aus; Lass ihn kurz einwirken; Führe einen Waschgang aus	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B1-S013	B1	f81v	lshedy	Waschgang;	1	Führe einen Waschgang aus	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B1-S014	B1	f81v	chdy qolky lchedal ol otar	überführen → Weiterweg → Zielabführung → weiter → Folgequelle	5	Führe den Posten über; Führe auf dem Weg weiter; Führe ihn am Ziel ab; Arbeite weiter; Wechsle zur folgenden Quelle	NONCLOSE	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B1-S015	B1	f81v	ytey okchedy	Kurzteil → Rücktransfer;	2	Nimm einen kleinen Teil; Führe den vorigen Posten über	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B1-S016	B1	f81v	qokal okeey ol cheedy	Orteinsatz → Langkontakt → weiter → Kurzabsetzung;	4	Setze ihn dort ein; Lass ihn länger einwirken; Arbeite weiter; Lass ihn kurz absetzen	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B1-S017	B1	f81v	al teol dchdy	dorthin → Kurzfortgang → Transfer;	3	Führe ihn dorthin; Führe ihn kurz weiter; Führe ihn über	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B1-S018	B1	f81v	ly dsheol oiiin olkeedy	Auffanggefäß → Kurzhalt → Arbeitsstufe → Langsammlung;	4	Stelle das Auffanggefäß bereit; Halte ihn kurz; Stelle die Arbeitsstufe ein; Sammle ihn lange	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B1-S019	B1	f81v	cheedy	Kurzabsetzung;	1	Lass ihn kurz absetzen	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B1-S020	B1	f81v	cheky shckhedy	Kurzwärme → durchlassen;	2	Wärme ihn kurz; Lass ihn hindurch	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B1-S021	B1	f81v	al	dorthin	1	Führe ihn dorthin	NONCLOSE	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B2-S001	B2	f82r	schedy	überführen;	1	Führe den Posten über	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B2-S002	B2	f82r	qolchedy	weiterführen;	1	Führe ihn weiter	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B2-S003	B2	f82r	qokain y qokeedy	Zugabe → dies → Langkontakt;	3	Gib einen Anteil zu; Halte diesen Posten aktiv; Lass ihn lange einwirken	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B2-S004	B2	f82r	qokal lcheckhy lched qokeey lcheckhedy	Orteinsatz → Abführpassage → Abführung → Langkontakt → Trennabzug;	5	Setze ihn dort ein; Führe ihn durch die Abführpassage; Führe ihn ab; Lass ihn länger einwirken; Ziehe die getrennte Fraktion ab	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B2-S005	B2	f82r	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	Zieleinsatz → Sollsammlung → durchleiten → bemessen → bemessen → Folgevorbereitung → Langwärmen → abziehen;	8	Setze ihn am Ziel ein; Sammle ihn bis zur Sollmenge; Leite den Posten hindurch; Messe den Posten ab; Messe den Posten ab; Setze den nächsten Durchgang an; Wärme ihn lange; Ziehe ihn ab	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B2-S006	B2	f82r	oteey qokal sheckhy qoky	Langfolge → Orteinsatz → Kurzpassage → einsetzen	4	Führe ihn länger im Folgegang weiter; Setze ihn dort ein; Führe ihn kurz hindurch; Setze den Posten ein	NONCLOSE	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B2-S007	B2	f82r	dshedy	Frischspülung;	1	Lass frische Spülflüssigkeit ein	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B2-S008	B2	f82r	otaiin qokar cheedy	Folgemaß → Quelleinsatz → Kurzabsetzung;	3	Arbeite danach nach dem nächsten Maß; Setze den Quellposten ein; Lass ihn kurz absetzen	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B2-S009	B2	f82r	solshedy	Folgeabsetzen;	1	Lass danach den nächsten Posten absetzen	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B2-S010	B2	f82r	qokeey qoky ls cheey	Langkontakt → einsetzen → Auslass → Klarlauf	4	Lass ihn länger einwirken; Setze den Posten ein; Führe zum Auslass; Nimm den klaren Ablauf	NONCLOSE	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B2-S011	B2	f82r	qokain char qokain qokeedy	Zugabe → davon → Zugabe → Langkontakt;	4	Gib einen Anteil zu; Nimm davon; Gib einen Anteil zu; Lass ihn lange einwirken	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B2-S012	B2	f82r	lchy cheey qcthey qokeey lcheey aiin y qokeeedy	Abführgut → Klarlauf → Kurzvorbereitung → Langkontakt → Klarabzug → Sollmaß → dies → Volleinsatz;	8	Nimm das abzuführende Gut; Nimm den klaren Ablauf; Bereite ihn kurz vor; Lass ihn länger einwirken; Ziehe den klaren Anteil ab; Arbeite nach dem vorgeschriebenen Maß; Halte diesen Posten aktiv; Setze ihn vollständig ein	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B2-S013	B2	f82r	lchedy	abführen;	1	Führe ihn ab	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B2-S014	B2	f82r	lar	Quellabzug	1	Ziehe ihn aus der Quelle ab	NONCLOSE	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B2-S015	B2	f82r	tshey qokeedy	Folgeklarlauf → Langkontakt;	2	Nimm danach den klaren Ablauf; Lass ihn lange einwirken	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B2-S016	B2	f82r	al lchedar ches aiin oteey qokaiin qokey pchedy	dorthin → Quellabführung → teilen → Sollmaß → Langfolge → bemessen → Kurzkontakt → Zuführung;	8	Führe ihn dorthin; Führe ihn von der Quelle ab; Teile den Posten; Arbeite nach dem vorgeschriebenen Maß; Führe ihn länger im Folgegang weiter; Messe den Posten ab; Lass ihn kurz einwirken; Führe ihn zu	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B2-S017	B2	f82r	rsheal daldy	Zielkurzhalt → Zielschluss;	2	Halte den zugeführten Posten kurz am Ziel; Schließe den Schritt am Ziel ab	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B2-S018	B2	f82r	qokeedy	Langkontakt;	1	Lass ihn lange einwirken	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B2-S019	B2	f82r	rshedy	Vollwaschung;	1	Wasche ihn vollständig	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B2-S020	B2	f82r	qoteedy	Langfolgestufe;	1	Führe die lange Folgestufe aus	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B2-S021	B2	f82r	qokeedy	Langkontakt;	1	Lass ihn lange einwirken	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
B2-S022	B2	f82r	lochedy	Abführung;	1	Führe ihn ab	TERMINAL	YES	Kartenwerte bleiben Einwortlexeme; die flüssige Handlungsanweisung ist eine Aussageexpansion.
