exemplar_id	surface	page	locus	section	reader_exact_target	zl3b_line	literal_v19_de	smoothed_partial_reading_de	known_tokens	unknown_tokens
G642-X01	cheol	f20v	f20v.2	H	1	sos ykoiin cheol chol choiin checthy otol chol chodaiin oty	[sos:?] | [ykoiin:?] | trockener Drogenstoff | trocken; nominal trockenes Gut/Material | trockene Zubereitungsform III | trockenes CTH-Drogenmaterial; im Herbal trockenes Blatt-/Krautgut | [otol:?] | trocken; nominal trockenes Gut/Material | [chodaiin:?] | kalter Ansatz, Grundform	Trockener Drogenstoff; Trockengut; Trockenpräparat Form III; trockenes CTH-Drogenmaterial; später ein kalter Ansatz in Grundform.	6	4
G642-X02	cheol	f24r	f24r.1	H	1	por or y chor opchar she cheol daiin or	Pulverportion | Teil-/Nominalträger; genaue Basisbedeutung offen | [y:?] | Pflanzen-/Reproduktionsteil | [opchar:?] | feucht, attributiv gebunden | trockener Drogenstoff | Qualitätsgrad III | Teil-/Nominalträger; genaue Basisbedeutung offen	Pulverportion / Pflanzenteil; feucht gebunden; trockener Drogenstoff, Grad III.	7	2
G642-X03	cheol	f51v	f51v.13	H	1	daiin cheol cheodain	Grad-/Maßwert III | trockener Drogenstoff | [cheodain:?]	Grad III; trockener Drogenstoff; [cheodain noch offen].	2	1
G642-X04	cheor	f15v	f15v.11	H	1	sol oiin cheor chol daiin cthy	Samenmaterial/Saatgut | [oiin:?] | trockener Drogenteil | trocken; nominal trockenes Gut/Material | Qualitätsgrad III | CTH-Drogenmaterial	Samenmaterial; [oiin offen]; trockener Drogenteil; Trockengut Grad III; CTH-Drogenmaterial.	5	1
G642-X05	cheor	f28v	f28v.4	H	1	tshoiin cheor chor o chty qotol sheol shor daiin qoty	[tshoiin:?] | trockener Drogenteil | Pflanzen-/Reproduktionsteil | [o:?] | [chty:?] | kaltes Material | feuchtes Material | Blüten-/Fruchtstand; reproduktiver Teil | Menge/Portion III | kalt, Grundform	Trockener Drogenteil / Pflanzenteil; kaltes Material; feuchtes Material; Blüten-/Fruchtstand, Portion III; kalt, Grundform.	7	3
G642-X06	cheor	f88v	f88v.26	P	1	saiin choky cheor shy	Samen/Saatgut, Typ/Charge III | [choky:?] | trockener Drogenteil | feucht, Grundform	Saatgut Typ III; [choky offen]; trockener Drogenteil; feuchte Grundform.	3	1
G642-X07	cheor	f102v2	f102v2.11	P	1	cheor	trockener Drogenteil	Trockener Drogenteil.	1	0
G642-X08	tcheol	f49r	f49r.13	H	1	d chol y tcheol daiin cthodd	[d:?] | trocken; nominal trockenes Gut/Material | [y:?] | kalt-trockener Drogenstoff | Qualitätsgrad III | [cthodd:?]	Trockengut; [Form offen]; kalt-trockener Drogenstoff, Grad III; [CTH-Abschluss offen].	3	3
G642-X09	tcheol	f107r	f107r.9	S	1	okaiin sheey tcheol kain okeey chedy okeedy chdykchedy chey kain an	heiß, Grad III, im Ansatzrahmen | feucht, Bindungsstufe II | kalt-trockener Drogenstoff | heiß, Grad II | heißer Ansatz, Bindungsstufe II | getrockneter Zustand | [okeedy:?] | [chdykchedy:?] | [chey:?] | heiß, Grad II | Menge-/Klassenwert I	Heiß Grad III; feucht gebunden; kalt-trockener Drogenstoff; heiß Grad II; heißer Ansatz; getrockneter Zustand.	8	3
G642-X10	tcheol	f107r	f107r.20	S	1	tcheol kcheedy	kalt-trockener Drogenstoff | [kcheedy:?]	Kalt-trockener Drogenstoff; [kcheedy noch offen].	1	1
