prefix	none_ol_surface	none_ol_occurrences	e_ol_surface	e_ol_occurrences	none_or_surface	none_or_occurrences	e_or_surface	e_or_occurrences	occupied_cells	complete_four_cell_grid	target_family
ch	chol	343	cheol	142	chor	190	cheor	71	4	1	1
sh	shol	163	sheol	90	shor	91	sheor	40	4	1	0
tch	tchol	16	tcheol	6	tchor	21	tcheor	3	4	1	1
kch	kchol	24	kcheol	4	kchor	19	kcheor	4	4	1	0
pch	pchol	5	pcheol	10	pchor	12	pcheor	4	4	1	0
lch	lchol	3	lcheol	8	lchor	4	lcheor	2	4	1	0
ot	otol	58	oteol	26	otor	33	oteor	10	4	1	0
ok	okol	53	okeol	44	okor	24	okeor	15	4	1	0
qo	qool	4	qoeol	2	qoor	6	qoeor	2	4	1	0
qok	qokol	88	qokeol	39	qokor	29	qokeor	18	4	1	0
qot	qotol	43	qoteol	10	qotor	26	qoteor	4	4	1	0
