audit_id	round	surface	page	locus	section	language	hand	token_ordinal	line_position	previous	following	zl3b_line	it2a_line	rf1b_line	reader_exact	split_normalized	before_state	before_gloss	after_gloss	known_other_tokens	local_before_de	local_after_de	flags	hard_collision	verdict	review_reason
G642-A01-001	1	cheol	f100r	f100r.24	P	A	1	9	MEDIAL	sai	raiin	saiichor sheor qockhody odeor yk sheey cholsheody sai cheol raiin	saiichor sheor qockhody odeor yksheey chol sheody sai cheol raiin	saiichor sheor qockhody odeor yksheey cholsheody sai cheol saiin	1	1	UNKNOWN_SURFACE	[cheol:?]	trockener Drogenstoff	2	[saiichor:?] | [sheor:?] | [qockhody:?] | [odeor:?] | [yk:?] | feucht, Bindungsstufe II | [cholsheody:?] | [sai:?] | [cheol:?] | Wurzel, Typ/Charge III	[saiichor:?] | [sheor:?] | [qockhody:?] | [odeor:?] | [yk:?] | feucht, Bindungsstufe II | [cholsheody:?] | [sai:?] | trockener Drogenstoff | Wurzel, Typ/Charge III	NONE	0	CONSISTENT_CONCRETE	material/part reading fits the visible list or quality frame without a same-slot collision
G642-A01-002	1	cheol	f100r	f100r.25	P	A	1	8	MEDIAL	cheky	cheockhy	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	1	1	UNKNOWN_SURFACE	[cheol:?]	trockener Drogenstoff	2	[sheor:?] | [qkeeody:?] | trocken; nominal trockenes Gut/Material | Qualitätsgrad III | [ctheol:?] | [olcheol:?] | [cheky:?] | [cheol:?] | [cheockhy:?] | [okeol:?]	[sheor:?] | [qkeeody:?] | trocken; nominal trockenes Gut/Material | Qualitätsgrad III | [ctheol:?] | [olcheol:?] | [cheky:?] | trockener Drogenstoff | [cheockhy:?] | [okeol:?]	NONE	0	CONSISTENT_CONCRETE	material/part reading fits the visible list or quality frame without a same-slot collision
G642-A01-003	1	cheol	f100r	f100r.27	P	A	1	2	MEDIAL	chol	cho	chol cheol cho chckheody otolchey	chol cheol cho chckheody otolchey	chol cheol cho chckheody otolchey	1	1	UNKNOWN_SURFACE	[cheol:?]	trockener Drogenstoff	1	trocken; nominal trockenes Gut/Material | [cheol:?] | [cho:?] | [chckheody:?] | [otolchey:?]	trocken; nominal trockenes Gut/Material | trockener Drogenstoff | [cho:?] | [chckheody:?] | [otolchey:?]	OPAQUE_OTHER_TOKENS	0	OPAQUE_CONTEXT	fewer than two independently glossed companion positions
G642-A01-004	1	cheol	f100v	f100v.15	P	A	1	5	MEDIAL	ol	qoolkeey	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotols	sor cheey dair al cheol qoolkeey chol cheey qokeol chotols	1	1	UNKNOWN_SURFACE	[cheol:?]	trockener Drogenstoff	3	Samenportion | [cheey:?] | [dair:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [cheol:?] | [qoolkeey:?] | trocken; nominal trockenes Gut/Material | [cheey:?] | [qokeol:?] | [chotol:?] | [s:?]	Samenportion | [cheey:?] | [dair:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trockener Drogenstoff | [qoolkeey:?] | trocken; nominal trockenes Gut/Material | [cheey:?] | [qokeol:?] | [chotol:?] | [s:?]	NONE	0	CONSISTENT_CONCRETE	material/part reading fits the visible list or quality frame without a same-slot collision
G642-A01-005	1	cheol	f102v1	f102v1.11	P	A	1	5	MEDIAL	qokol	chey	sol chol qooiin qokol cheol chey kolcheey daiin cheody dy	sol chol qooiin qokal cheol chey kolcheey daiin cheody dy	s ol chol qooiin qokol cheol chey k lcheey daiin cheody dy	1	1	UNKNOWN_SURFACE	[cheol:?]	trockener Drogenstoff	4	Samenmaterial/Saatgut | trocken; nominal trockenes Gut/Material | [qooiin:?] | [qokol:?] | [cheol:?] | [chey:?] | [kolcheey:?] | Grad-/Maßwert III | getrockneter Ansatz | [dy:?]	Samenmaterial/Saatgut | trocken; nominal trockenes Gut/Material | [qooiin:?] | [qokol:?] | trockener Drogenstoff | [chey:?] | [kolcheey:?] | Grad-/Maßwert III | getrockneter Ansatz | [dy:?]	HOT_NEIGHBOR_DIFFERENT_SLOT	0	CONSISTENT_CONCRETE	material/part reading fits the visible list or quality frame without a same-slot collision
G642-A01-006	1	cheol	f102v1	f102v1.12	P	A	1	2	MEDIAL	y	cheol	y cheol cheol doiir shekcheor s ar cheor ey pchodaiin	ycheol cheol doiir shekcheor sar cheor ckhey pchodaiin	y cheol cheol doiir shekcheor s ar cheor ckhey pchodaiin	1	1	UNKNOWN_SURFACE	[cheol:?]	trockener Drogenstoff	0	[y:?] | [cheol:?] | [cheol:?] | [doiir:?] | [shekcheor:?] | [s:?] | [ar:?] | [cheor:?] | [ey:?] | [pchodaiin:?]	[y:?] | trockener Drogenstoff | trockener Drogenstoff | [doiir:?] | [shekcheor:?] | [s:?] | [ar:?] | [cheor:?] | [ey:?] | [pchodaiin:?]	OPAQUE_OTHER_TOKENS	0	OPAQUE_CONTEXT	fewer than two independently glossed companion positions
G642-A01-007	1	cheol	f102v1	f102v1.12	P	A	1	3	MEDIAL	cheol	doiir	y cheol cheol doiir shekcheor s ar cheor ey pchodaiin	ycheol cheol doiir shekcheor sar cheor ckhey pchodaiin	y cheol cheol doiir shekcheor s ar cheor ckhey pchodaiin	0	0	UNKNOWN_SURFACE	[cheol:?]	trockener Drogenstoff	0	[y:?] | [cheol:?] | [cheol:?] | [doiir:?] | [shekcheor:?] | [s:?] | [ar:?] | [cheor:?] | [ey:?] | [pchodaiin:?]	[y:?] | trockener Drogenstoff | trockener Drogenstoff | [doiir:?] | [shekcheor:?] | [s:?] | [ar:?] | [cheor:?] | [ey:?] | [pchodaiin:?]	ALTERNATE_READER_BOUNDARY|OPAQUE_OTHER_TOKENS	0	READER_BOUNDARY_WARNING	ZL3b target is not the same exact token in every alternate reading
G642-A01-008	1	cheol	f102v1	f102v1.13	P	A	1	5	MEDIAL	qkol	daiin	toiin ol daiin qkol cheol daiin qokar oaiin cheey saiim	toiin ol daiin qkol cheol daiin qokar oaiin cheey saiim	toiin ol aiin qkol cheol daiin qokar oaiin cheey saiim	1	1	UNKNOWN_SURFACE	[cheol:?]	trockener Drogenstoff	6	[toiin:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Qualitätsgrad III | [qkol:?] | [cheol:?] | Qualitätsgrad III | heiße Portion | Ansatzmenge III | [cheey:?] | Samendroge: Mengenklasse III	[toiin:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Qualitätsgrad III | [qkol:?] | trockener Drogenstoff | Qualitätsgrad III | heiße Portion | Ansatzmenge III | [cheey:?] | Samendroge: Mengenklasse III	ACTIVE_SCOPE_RIVAL	0	CONSISTENT_CONCRETE	material/part reading fits the visible list or quality frame without a same-slot collision
G642-A01-009	1	cheol	f102v1	f102v1.22	P	A	1	4	MEDIAL	qokeos	qool	ykeeody chodaiin qokeos cheol qool chsey oteody okchy	ykchody chodaiin qokeos cheol qool chsea oteody okchy	ykeeody chodaiin qokeos cheol qool chsey oteody okchy	1	1	UNKNOWN_SURFACE	[cheol:?]	trockener Drogenstoff	0	[ykeeody:?] | [chodaiin:?] | [qokeos:?] | [cheol:?] | [qool:?] | [chsey:?] | [oteody:?] | [okchy:?]	[ykeeody:?] | [chodaiin:?] | [qokeos:?] | trockener Drogenstoff | [qool:?] | [chsey:?] | [oteody:?] | [okchy:?]	OPAQUE_OTHER_TOKENS|HOT_NEIGHBOR_DIFFERENT_SLOT	0	OPAQUE_CONTEXT	fewer than two independently glossed companion positions
G642-A01-010	1	cheol	f102v1	f102v1.24	P	A	1	4	FINAL	qoor	<EOS>	ysaiin ckhey qoor cheol	ysaiin ckhey qoor cheol	ysaiin ckhey qoor cheol	1	1	UNKNOWN_SURFACE	[cheol:?]	trockener Drogenstoff	0	[ysaiin:?] | [ckhey:?] | [qoor:?] | [cheol:?]	[ysaiin:?] | [ckhey:?] | [qoor:?] | trockener Drogenstoff	OPAQUE_OTHER_TOKENS	0	OPAQUE_CONTEXT	fewer than two independently glossed companion positions
