event_id	page	record	statement_id	case_id	surface	card_no	semantic_component_parse	standard_command_de	image_owner_or_station_de	case_material_de	application_context_de	card_word_contains_concrete_substance
E001	f10r	H1	H1-S001	C1	dchey	PROC001	CH+E+Y	ABNEHMEN · KURZ · ARBEITSPOSTEN	abgebildete breit gezähnte radialblütige Pflanze	waessriger Grundauszug der H1-Bildpflanze	mildes gemeinsames Bad oder Waschung im zweireihigen Becken	NO
E002	f10r	H1	H1-S001	C1	cthoor	PROC002	CTH+O+OR	BEREIT · ARBEITSGANG · ANSATZ	abgebildete breit gezähnte radialblütige Pflanze	waessriger Grundauszug der H1-Bildpflanze	mildes gemeinsames Bad oder Waschung im zweireihigen Becken	NO
E003	f10r	H1	H1-S001	C1	char	PROC003	AR	VORRAT	abgebildete breit gezähnte radialblütige Pflanze	waessriger Grundauszug der H1-Bildpflanze	mildes gemeinsames Bad oder Waschung im zweireihigen Becken	NO
E004	f10r	H1	H1-S001	C1	chty	PROC004	T+Y	EINTRAGEN · ARBEITSPOSTEN	abgebildete breit gezähnte radialblütige Pflanze	waessriger Grundauszug der H1-Bildpflanze	mildes gemeinsames Bad oder Waschung im zweireihigen Becken	NO
E005	f10r	H1	H1-S001	C1	os	PROC005	OS	ARBEITSFACH	abgebildete breit gezähnte radialblütige Pflanze	waessriger Grundauszug der H1-Bildpflanze	mildes gemeinsames Bad oder Waschung im zweireihigen Becken	NO
E006	f10r	H1	H1-S001	C1	chair	PROC006	CH+AIR	ABNEHMEN · FLUESSIGKEITSLAUF	abgebildete breit gezähnte radialblütige Pflanze	waessriger Grundauszug der H1-Bildpflanze	mildes gemeinsames Bad oder Waschung im zweireihigen Becken	NO
E007	f10r	H1	H1-S001	C1	otytchol	PROC007	OT+Y+T+CH+OL	DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN	abgebildete breit gezähnte radialblütige Pflanze	waessriger Grundauszug der H1-Bildpflanze	mildes gemeinsames Bad oder Waschung im zweireihigen Becken	NO
E008	f10r	H1	H1-S001	C1	oky	PROC008	OK+Y	ANSETZEN · ARBEITSPOSTEN	abgebildete breit gezähnte radialblütige Pflanze	waessriger Grundauszug der H1-Bildpflanze	mildes gemeinsames Bad oder Waschung im zweireihigen Becken	NO
E009	f10r	H1	H1-S001	C1	daiin	PROC009	AIIN	SOLLMASS	abgebildete breit gezähnte radialblütige Pflanze	waessriger Grundauszug der H1-Bildpflanze	mildes gemeinsames Bad oder Waschung im zweireihigen Becken	NO
E010	f10r	H1	H1-S001	C1	etyd	PROC010	E+T+Y	KURZ · EINTRAGEN · ARBEITSPOSTEN	abgebildete breit gezähnte radialblütige Pflanze	waessriger Grundauszug der H1-Bildpflanze	mildes gemeinsames Bad oder Waschung im zweireihigen Becken	NO
