surface	inherited_or_rival_de	best_remaining_candidate_de	decision	reason
so	Ansatz-/Zubereitungsrahmen	H2-Ganzform unbekannter Funktion	HOLD	one first, five middle and one last; neighbours and function vary
ro	Ansatz-/Zubereitungsrahmen	späte Bezugsform mit offenem Inhalt	HOLD	body o does not identify water or preparation and form is mostly late
lo	Ansatz-/Zubereitungsrahmen	internes Feld mit offenem Inhalt	HOLD	body o does not identify water or preparation
lchor	Trockenanteil	Trockenanteil bleibt Rivale	HOLD	only two of four reader-exact and split evenly between first and middle
schor	möglicher Trockenteil-Posten	möglicher Trockenteil-Posten	HOLD	three exact cases are insufficient for a stable whole card
char	trockene Teil-/Fraktionsstufe I	Teil-/Fraktionsstufe I; Trockenachse unentschieden	HOLD_CONTRADICTED_FAMILY_TRANSFER	high-capacity family comparison does not transfer
cheody	trocken aufbereitetes Ergebnis	Zubereitungs-/Resultatform unentschieden	HOLD_CONTRADICTED_FAMILY_TRANSFER	high-capacity family comparison does not transfer
sary	Teilmarke I; final abgeschlossen	Teil-/Fraktionsmarke I	HOLD	five reader-exact but six of seven H2 position exceptions; closure is only a final rival
pchor	Trockenteil-Eintrag	Teil-/Portionsträger mit offener Trockenachse	HOLD	manual reading is coherent but chor-or surface-family transfer is weak
lsheey	Feuchtform II	Feucht-/Zustandsform II	HOLD	manual contexts fit but body family did not pass the quantitative transfer gate
psheody	Feuchtzubereitungs-Eintrag	Feucht-/Resultatform mit offenem Träger	HOLD	three reader-exact opener contexts but family transfer remains undecided
lsheody	Feuchtzubereitung	Feucht-/Resultatform mit offenem Träger	HOLD	three reader-exact but only one strong semantic neighbour and two H4 position exceptions
solaiin	VERWORFENE ALTAUSLEGUNG: drei Portionen Salz	Material-/Wertposten III; Stoff und Absolutwert offen	HOLD_RETIRED_LITERAL_MATERIAL	one context; the quoted old reading is an audit target only and is not an active meaning
sols	VERWORFENE ALTAUSLEGUNG: fertige Salzspecies	fertige oder abgeschlossene Form; Stoff offen	HOLD_RETIRED_LITERAL_MATERIAL	three contexts, two reader-exact; the quoted old reading is an audit target only and is not an active meaning
