body	discovery_comparator	discovery_score	discovery_decision	w23_comparator	w23_score	w23_decision	evidence	counterevidence
ain	aiin	12	SUPPORTED_CROSS_HEAD	aiin	12	SUPPORTED_CROSS_HEAD	repeated exact nonhead neighbour surfaces and semantic fields recur under multiple qualified heads	scalar dimension and absolute start value remain open
sheedy	shedy	12	SUPPORTED_CROSS_HEAD	shedy	9	SUPPORTED_CROSS_HEAD	repeated exact qokedy neighbour recurs under H3 and H4 in the same registered frame	moist versus soaked and result dimension remain open
kar	ar	10	SUPPORTED_FAMILY_ONLY	ar	9	SUPPORTED_FAMILY_ONLY	strong part-family surface, broad-class and register analogy; frequent exact lkar form	direct cross-head repeat depended on an H2 singleton and was not counted
keey	ky	8	SUPPORTED_FAMILY_ONLY	ky	6	UNDECIDABLE	broad SEM570 heat-state family passes all three analogy gates	clean W23 axis cosine falls below the family gate; no renderer licence
kaiin	kain	7	SUPPORTED_FAMILY_ONLY	kain	7	SUPPORTED_FAMILY_ONLY	heat-value family passes surface, broad-class and register similarity gates	dimension remains open
kain	kaiin	7	SUPPORTED_FAMILY_ONLY	kaiin	7	SUPPORTED_FAMILY_ONLY	heat-value family passes surface, broad-class and register similarity gates	dimension remains open
cheol	ol	7	SUPPORTED_FAMILY_ONLY	ol	6	SUPPORTED_FAMILY_ONLY	dry-carrier family passes surface, broad-class and register similarity gates	state patient remains open; no material noun is licensed
ky	keey	7	SUPPORTED_FAMILY_ONLY	keey	6	UNDECIDABLE	broad SEM570 heat-state family passes all three analogy gates	clean W23 axis cosine falls below the family gate; no renderer licence
cheor	or	7	SUPPORTED_FAMILY_ONLY	or	6	UNDECIDABLE	broad SEM570 dry-part family passes all three analogy gates	clean W23 axis cosine falls below the family gate; no renderer licence
key	ky	6	SUPPORTED_FAMILY_ONLY	ky	5	UNDECIDABLE	broad SEM570 heat-state family passes all three analogy gates	clean W23 axis cosine falls below the family gate; no renderer licence
cheedy	chedy	4	SUPPORTED_FAMILY_ONLY	chedy	4	SUPPORTED_FAMILY_ONLY	dry-result family passes surface, broad-class and register similarity gates	result versus process pass remains open
char	ar	2	CONTRADICTED_FAMILY_TRANSFER	ar	2	CONTRADICTED_FAMILY_TRANSFER	high-capacity comparison fails the required family transfer combination	dry-part reading remains only an unlicensed rival
cheody	chody	3	CONTRADICTED_FAMILY_TRANSFER	ody	3	CONTRADICTED_FAMILY_TRANSFER	high-capacity preparation-result comparison fails the required family transfer combination	preparation/result reading remains only an unlicensed rival
