surface	selected_whole_de	first_realization_de	middle_realization_de	last_realization_de	allowed_positions	observed_positions	reader_exact_positions	discovery_card_visible	w23_renderer_license	w23_allowed_positions	w23_license_note	confidence	decision	dimension_status	patient_status	positive_evidence	counterevidence
sain	Skalarstufe II	Skalarposten II; Dimension lokal	Skalarstufe II; Dimension lokal	Skalarstufe II; Dimension lokal	FIRST|MIDDLE|LAST	FIRST|MIDDLE|LAST	FIRST|MIDDLE|LAST	1	1	FIRST|MIDDLE|LAST	W23 intersection passed; render only enumerated reader-exact occurrences	HIGH	SCOPED_EXACT_WHOLE	OPEN	NOT_APPLICABLE	60 occurrences; 53 reader-exact; cross-head value-family support	H and T often late; absolute start value and dimension open; sain ain can be redundant
rain	Skalarstufe II, Rückbezug	HOLD	Skalarstufe II, interner Rückbezug; Dimension lokal	Skalarstufe II, Abschlussbezug; Dimension lokal	MIDDLE|LAST	FIRST|MIDDLE|LAST	FIRST|MIDDLE|LAST	1	1	MIDDLE|LAST	W23 intersection passed; the exact initial position exception remains unrendered	MEDIUM_HIGH	SCOPED_EXACT_WHOLE	OPEN	NOT_APPLICABLE	21 occurrences; 14 reader-exact; cross-head value-family support	one reader-exact initial position exception; seven reader variants; dimension open
lain	internes Skalarfeld II	HOLD	internes Skalarfeld II; Dimension lokal	HOLD	MIDDLE	MIDDLE	MIDDLE	1	1	MIDDLE	W23 intersection passed; internal position only	MEDIUM	SCOPED_EXACT_WHOLE	OPEN	NOT_APPLICABLE	five occurrences; four reader-exact; cross-head value-family support	low count; dimension open
lkaiin	Wärme-/Verarbeitungsstufe III	HOLD	Wärme-/Verarbeitungsstufe III	Wärme-/Verarbeitungsstufe III	MIDDLE|LAST	FIRST|MIDDLE|LAST	FIRST|MIDDLE|LAST	1	1	MIDDLE|LAST	W23 intersection passed for middle and last; the exact initial H4 exception remains unrendered	HIGH	SCOPED_EXACT_WHOLE	OPEN	OPEN	48 occurrences; 43 reader-exact; strong heat-value family transfer	one exact initial H4 exception; local repetition; heat is leading orientation rather than recovered word
skaiin	Wärme-/Verarbeitungsstufe III	Wärme-/Verarbeitungsstufenposten III	Wärme-/Verarbeitungsstufe III	HOLD	FIRST|MIDDLE	FIRST|MIDDLE	FIRST|MIDDLE	1	1	FIRST|MIDDLE	W23 intersection passed as a learned complete whole at both observed positions	MEDIUM	LEARNED_POSITION_EXCEPTION	OPEN	OPEN	three of three reader-exact between dry and moist fields	H2 occurs twice internally; learned whole required; low count
lkain	Wärme-/Verarbeitungsstufe II	HOLD	Wärme-/Verarbeitungsstufe II	Wärme-/Verarbeitungsstufe II	MIDDLE|LAST	MIDDLE|LAST	MIDDLE|LAST	1	1	MIDDLE|LAST	W23 intersection passed; middle and last only	HIGH	SCOPED_EXACT_WHOLE	OPEN	OPEN	33 occurrences; 27 reader-exact; heat-value family transfer	one repeated line; dimension remains open
lkeey	Wärme-/Verarbeitungsform II	HOLD	Wärme-/Verarbeitungsform II	Wärme-/Verarbeitungsform II	MIDDLE|LAST	FIRST|MIDDLE|LAST	FIRST|MIDDLE|LAST	1	0	NONE	Discovery card only; W23 intersection failed and no occurrence may be rendered	HIGH	DISCOVERY_ONLY__NO_W23_RENDERER_LICENSE	OPEN	OPEN	38 occurrences; 34 reader-exact; heat-state family transfer	one exact initial H4 exception; local repetition; W23 licence absent
lkey	Wärme-/Verarbeitungsform I	HOLD	Wärme-/Verarbeitungsform I	Wärme-/Verarbeitungsform I	MIDDLE|LAST	MIDDLE|LAST	MIDDLE|LAST	1	0	NONE	Discovery card only; W23 intersection failed and no occurrence may be rendered	MEDIUM_HIGH	DISCOVERY_ONLY__NO_W23_RENDERER_LICENSE	OPEN	OPEN	seven of seven reader-exact; heat-state family transfer	small series; W23 licence absent
lky	erhitzte oder intensiv bearbeitete Grundform	HOLD	erhitzte oder intensiv bearbeitete Grundform	erhitzte oder intensiv bearbeitete Grundform	MIDDLE|LAST	MIDDLE|LAST	MIDDLE|LAST	1	0	NONE	Discovery card only; W23 intersection failed and no occurrence may be rendered	MEDIUM_HIGH	DISCOVERY_ONLY__NO_W23_RENDERER_LICENSE	OPEN	OPEN	19 occurrences; 16 reader-exact; heat-state family transfer	appears between cooling fields on one line; heat versus process intensity open; W23 licence absent
lkar	erhitzte Teil-/Fraktionsstufe I	HOLD	erhitzte Teil-/Fraktionsstufe I; Träger offen	erhitzte Teil-/Fraktionsstufe I; Träger offen	MIDDLE|LAST	MIDDLE|LAST	MIDDLE|LAST	1	1	MIDDLE|LAST	W23 intersection passed; middle and last only	HIGH	SCOPED_EXACT_WHOLE	OPEN	OPEN	31 occurrences; 29 reader-exact; strong kar-ar family analogy	state versus part hierarchy remains open; repetitions
