statement_id	page	record	event_count	local_events	motif_events	coarse_skeleton	counted_skeleton	exact_workshop_recipe	source_cards	reconstructed_cards	source_surface	reconstructed_surface	exact_roundtrip	minimal_reading_de
H1-S001	f10r	H1	10	8	2	LOCAL>BINDER>LOCAL	LOCAL7>BINDER[M02_SET_ITEM_MEASURE]>LOCAL1	LOCAL(PROC001|PROC002|PROC003|PROC004|PROC005|PROC006|PROC007)>BINDER[M02_SET_ITEM_MEASURE](PROC008|PROC009)>LOCAL(PROC010)	PROC001|PROC002|PROC003|PROC004|PROC005|PROC006|PROC007|PROC008|PROC009|PROC010	PROC001|PROC002|PROC003|PROC004|PROC005|PROC006|PROC007|PROC008|PROC009|PROC010	dchey cthoor char chty os chair otytchol oky daiin etyd	dchey cthoor char chty os chair otytchol oky daiin etyd	YES	ABNEHMEN · KURZ · ARBEITSPOSTEN / BEREIT · ARBEITSGANG · ANSATZ / VORRAT / EINTRAGEN · ARBEITSPOSTEN / ARBEITSFACH / ABNEHMEN · FLUESSIGKEITSLAUF / DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN / [POSTEN ANSETZEN, DANN SOLLMASS] / KURZ · EINTRAGEN · ARBEITSPOSTEN
H2-S001	f10r	H2	9	6	3	LOCAL>FRAME	LOCAL6>FRAME[M01_ITEM_MEASURE_FRAME]	LOCAL(PROC015|PROC014|PROC016|PROC017|PROC018|PROC019)>FRAME[M01_ITEM_MEASURE_FRAME](PROC019|PROC009|PROC019)	PROC015|PROC014|PROC016|PROC017|PROC018|PROC019|PROC019|PROC009|PROC019	PROC015|PROC014|PROC016|PROC017|PROC018|PROC019|PROC019|PROC009|PROC019	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	YES	ARBEITSPOSTEN · ABNEHMEN · KURZ · ANSATZ / BEREIT · ARBEITSPOSTEN / ANSATZ / BEREIT · SOLLMASS / ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN / ARBEITSPOSTEN / [LAUFENDER POSTEN IM SOLLMASS-RAHMEN]
H2-S002	f10r	H2	8	6	2	LOCAL>BINDER>LOCAL	LOCAL4>BINDER[M06_FEED_CONTINUATION]>LOCAL2	LOCAL(PROC020|PROC016|PROC021|PROC013)>BINDER[M06_FEED_CONTINUATION](PROC022|PROC013)>LOCAL(PROC009|PROC003)	PROC020|PROC016|PROC021|PROC013|PROC022|PROC013|PROC009|PROC003	PROC020|PROC016|PROC021|PROC013|PROC022|PROC013|PROC009|PROC003	qotchor chor otol chol cholor chol daiin dar	qotchor chor otol chol cholor chol daiin dar	YES	DANACH · ABNEHMEN · ANSATZ / ANSATZ / DANACH · FORTSETZEN / FORTSETZEN / [VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN] / SOLLMASS / VORRAT
H2-S003	f10r	H2	7	5	2	LOCAL>BINDER>LOCAL	LOCAL2>BINDER[M03_PREPARATION_ITEM]>LOCAL3	LOCAL(PROC023|PROC016)>BINDER[M03_PREPARATION_ITEM](PROC016|PROC019)>LOCAL(PROC024|PROC019|PROC025)	PROC023|PROC016|PROC016|PROC019|PROC024|PROC019|PROC025	PROC023|PROC016|PROC016|PROC019|PROC024|PROC019|PROC025	oykchor shor chor chy kaiiin dy chodaiin	oykchor shor chor chy kaiiin dy chodaiin	YES	ARBEITSGANG · ARBEITSPOSTEN · ZUDOSIEREN · ANSATZ / ANSATZ / [ANSATZ AUF DEN LAUFENDEN POSTEN BEZIEHEN] / ZUDOSIEREN · ARBEITSSTUFE / ARBEITSPOSTEN / ABNEHMEN · ARBEITSGANG · SOLLMASS
H3-S003	f11r	H3	5	3	2	LOCAL>FRAME	LOCAL3>FRAME[M01_ITEM_MEASURE_FRAME]	LOCAL(PROC034|PROC019|PROC035)>FRAME[M01_ITEM_MEASURE_FRAME](PROC019|PROC009)	PROC034|PROC019|PROC035|PROC019|PROC009	PROC034|PROC019|PROC035|PROC019|PROC009	dchol chy kchy dy daiin	dchol chy kchy dy daiin	YES	WIEDERAUFNEHMEN / ARBEITSPOSTEN / ZUDOSIEREN · ARBEITSPOSTEN / [LAUFENDER POSTEN IM SOLLMASS-RAHMEN]
H4-S004	f55v	H4	6	4	2	LOCAL>BINDER>LOCAL	LOCAL3>BINDER[M03_PREPARATION_ITEM]>LOCAL1	LOCAL(PROC009|PROC048|PROC049)>BINDER[M03_PREPARATION_ITEM](PROC016|PROC019)>LOCAL(PROC050)	PROC009|PROC048|PROC049|PROC016|PROC019|PROC050	PROC009|PROC048|PROC049|PROC016|PROC019|PROC050	aiin okal oltchy or y orain	aiin okal oltchy or y orain	YES	SOLLMASS / ANSETZEN · ZIELSTELLE / FORTSETZEN · EINTRAGEN · ARBEITSPOSTEN / [ANSATZ AUF DEN LAUFENDEN POSTEN BEZIEHEN] / ANSATZ · PORTION
B1-S002	f81v	B1	19	15	4	LOCAL>BINDER>LOCAL>BINDER>LOCAL	LOCAL6>BINDER[M08_PORTION_TARGET]>LOCAL3>BINDER[M06_FEED_CONTINUATION]>LOCAL6	LOCAL(PROC038|PROC068|PROC048|PROC003|PROC013|PROC069)>BINDER[M08_PORTION_TARGET](PROC070|PROC055)>LOCAL(PROC013|PROC071|PROC072)>BINDER[M06_FEED_CONTINUATION](PROC022|PROC013)>LOCAL(PROC073|PROC009|PROC074|PROC009|PROC075|PROC076)	PROC038|PROC068|PROC048|PROC003|PROC013|PROC069|PROC070|PROC055|PROC013|PROC071|PROC072|PROC022|PROC013|PROC073|PROC009|PROC074|PROC009|PROC075|PROC076	PROC038|PROC068|PROC048|PROC003|PROC013|PROC069|PROC070|PROC055|PROC013|PROC071|PROC072|PROC022|PROC013|PROC073|PROC009|PROC074|PROC009|PROC075|PROC076	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	YES	ANSETZEN · SOLLMASS / ZUDOSIEREN · FLUESSIGKEITSLAUF / ANSETZEN · ZIELSTELLE / VORRAT / FORTSETZEN / ZUDOSIEREN · PORTION / [PORTION ZUDOSIEREN UND AN DIE ZIELSTELLE GEBEN] / FORTSETZEN / KUEHLEN · FORTSETZEN / WEITERLEITEN / [VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN] / HALTEN · KURZ · DURCHLASSKANAL · ZIELSTELLE / SOLLMASS / ANSETZEN · LANG · ZIELSTELLE / SOLLMASS / DURCHLASSKANAL · ARBEITSPOSTEN / UMSETZEN; SCHLUSS
B1-S004	f81v	B1	3	1	2	BINDER>LOCAL	BINDER[M06_FEED_CONTINUATION]>LOCAL1	BINDER[M06_FEED_CONTINUATION](PROC042|PROC013)>LOCAL(PROC078)	PROC042|PROC013|PROC078	PROC042|PROC013|PROC078	chedy ol shedy	chedy ol shedy	YES	[VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN] / ABSETZEN; SCHLUSS
B1-S008	f81v	B1	5	3	2	LOCAL>CLOSE	LOCAL3>CLOSE[M04_CONTINUE_CLOSE]	LOCAL(PROC019|PROC013|PROC083)>CLOSE[M04_CONTINUE_CLOSE](PROC013|PROC078)	PROC019|PROC013|PROC083|PROC013|PROC078	PROC019|PROC013|PROC083|PROC013|PROC078	chey ol cheky ol shedy	chey ol cheky ol shedy	YES	ARBEITSPOSTEN / FORTSETZEN / WAERMEN · KURZ · ARBEITSPOSTEN / [FORTSETZEN, ABSETZEN UND SCHLIESSEN]
B1-S016	f81v	B1	4	2	2	LOCAL>CLOSE	LOCAL2>CLOSE[M04_CONTINUE_CLOSE]	LOCAL(PROC048|PROC092)>CLOSE[M04_CONTINUE_CLOSE](PROC013|PROC078)	PROC048|PROC092|PROC013|PROC078	PROC048|PROC092|PROC013|PROC078	qokal okeey qol cheedy	qokal okeey qol cheedy	YES	ANSETZEN · ZIELSTELLE / ANSETZEN · LANG · ARBEITSPOSTEN / [FORTSETZEN, ABSETZEN UND SCHLIESSEN]
B2-S010	f82r	B2	4	2	2	BRANCH>LOCAL	BRANCH[M09_LONG_SET_BRANCH]>LOCAL2	BRANCH[M09_LONG_SET_BRANCH](PROC092|PROC008)>LOCAL(PROC115|PROC031)	PROC092|PROC008|PROC115|PROC031	PROC092|PROC008|PROC115|PROC031	qokeey qoky ls cheey	qokeey qoky ls cheey	YES	[NACH LANGEM ANSETZEN WEITERSETZEN ODER KURZ SCHLIESSEN] / FORTSETZEN / HALTEN · LANG · ARBEITSPOSTEN
