phrase_id	position	identity	surface	old_default_de	new_whole_word_de	master_unit_id	unit	owner_de
TGP01	1	PROC087	qolky	SAMMELN · POSTEN	POSTEN SAMMELN	MU016	B1-S014	gemeinsame zweireihige Figuren-/Beckenstation
TGP01	2	PROC088	lchedal	LEITEN · UMSETZEN · ZIELSTELLE	ZUR ZIELSTELLE LEITEN UND UMSETZEN	MU016	B1-S014	gemeinsame zweireihige Figuren-/Beckenstation
TGP01	3	PROC089	otar	DANACH · QUELLE	DANACH ZUR QUELLE	MU016	B1-S014	gemeinsame zweireihige Figuren-/Beckenstation
TGP02	1	PROC101	lcheckhy	LEITEN · DURCHLASS · POSTEN	DURCH DEN DURCHLASS LEITEN	MU032	B2-S004	oberes Beckenpaar mit Zylinder
TGP02	2	PROC102	lched	LEITEN · UMSETZEN	LEITEN UND UMSETZEN	MU032	B2-S004	oberes Beckenpaar mit Zylinder
TGP02	3	PROC103	lcheckhedy	LEITEN · DURCHLASS · EIN KURZER ARBEITSGANG · SCHLUSS	KURZ DURCHLEITEN UND SCHLIESSEN	MU032	B2-S004	oberes Beckenpaar mit Zylinder
TGP03	1	PROC116	lchy	LEITEN · ENTNEHMEN · POSTEN	POSTEN LEITEN UND ENTNEHMEN	MU040	B2-S012	mittlere rechte unklare Station -> unteres grünes Mehrfigurenbecken
TGP03	2	PROC118	lcheey	DEN POSTEN LAENGER LEITEN	LAENGER LEITEN	MU040	B2-S012	mittlere rechte unklare Station -> unteres grünes Mehrfigurenbecken
TGP03	3	PROC119	qokeeedy	DEN GANZEN POSTEN ANSETZEN UND SCHLIESSEN	VOLLSTAENDIG ANSETZEN UND SCHLIESSEN	MU040	B2-S012	mittlere rechte unklare Station -> unteres grünes Mehrfigurenbecken
TGP04	1	PROC123	lchedar	LEITEN · UMSETZEN · QUELLE	AUS DER QUELLE LEITEN UND UMSETZEN	MU044	B2-S016	kleine Randstationen des unteren Beckens
TGP04	2	PROC124	ches	ENTNEHMEN · EIN KURZER ARBEITSGANG · PROBE	KURZE PROBE ENTNEHMEN	MU044	B2-S016	kleine Randstationen des unteren Beckens
TGP04	3	PROC125	pchedy	EINBRINGEN · UMSETZEN · SCHLUSS	EINBRINGEN UMSETZEN UND SCHLIESSEN	MU044	B2-S016	kleine Randstationen des unteren Beckens
TGP05	1	PROC146	cheedar	DREI KURZE ARBEITSGAENGE · QUELLE	LAENGER AUS DER QUELLE ARBEITEN	MU079	B3-S026	unverbundener Zwischenbereich -> sichtbares Figurenpaar mit gemeinsamem Bogen in B3
TGP05	2	PROC147	chldaiin	LEITEN · EIN KLEINER SCHOEPFBECHER	NACH SOLLMASS LEITEN	MU079	B3-S026	unverbundener Zwischenbereich -> sichtbares Figurenpaar mit gemeinsamem Bogen in B3
TGP05	3	PROC148	chealror	ZIELSTELLE · KUEHLEN · ANSATZ	ZIELANSATZ KUEHLEN	MU079	B3-S026	unverbundener Zwischenbereich -> sichtbares Figurenpaar mit gemeinsamem Bogen in B3
TGP06	1	PROC039	ykain	POSTEN · ZUGEBEN · EIN ABGEGRENZTER TEIL	EINE PORTION ZUGEBEN	MU089	H4-S001	Bildprodukt C.W2
TGP06	2	PROC040	ykan	POSTEN · ZUGEBEN · NACHGABE	EINE NACHGABE ZUGEBEN	MU089	H4-S001	Bildprodukt C.W2
TGP06	3	PROC041	ody	ARBEITSGANG · SCHLUSS	ARBEITSGANG SCHLIESSEN	MU089	H4-S001	Bildprodukt C.W2
TGP07	1	PROC167	lol	VON DORT WEITERLEITEN	VON DORT WEITERLEITEN	MU113	B5-S003	linke Fransenstation im B5-Nachtrag
TGP07	2	PROC168	chdal	UMSETZEN · ZIELSTELLE	AN DER ZIELSTELLE UMSETZEN	MU113	B5-S003	linke Fransenstation im B5-Nachtrag
TGP07	3	PROC169	daiiin	ZWEI · EINE EINGESTELLTE ARBEITSSTUFE	BIS ZUR ZWEITEN STUFE	MU113	B5-S003	linke Fransenstation im B5-Nachtrag
