statement_id	physical_page	register	visible_owner_or_namespace_de	locus_span	event_count	template_id	template_name_de	template_pattern_de	canonical_slot_signature	event_role_trace	observed_primary_trace	end_style	crosses_physical_line	surface_sequence	fluent_workshop_de	event_ids
P1006-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.1|f10r.2|f10r.3|f10r.4	39	T08	VOLLSTÄNDIGE MEHRSCHRITTKETTE	BESITZER → [FOLGE] → [POSTEN/QUELLE/MENGE/ANSATZ] → HANDLUNG+ → [WEG/ZIEL/ZUSTAND] → ENDE	OWNER>SEQUENCE>ITEM>SOURCE>QUANTITY>PREPARATION>ACTION>PATH>TARGET>STATE>CLOSE	ITEM+ACTION+STATE | PREPARATION+ACTION | ITEM+ACTION+TARGET+STATE | ITEM+PREPARATION+ACTION | SEQUENCE+ACTION+TARGET | ACTION+TARGET | ITEM+ACTION | ACTION | ITEM+ACTION+STATE | PREPARATION+ACTION+STATE | SOURCE | ITEM+ACTION | LOCAL_SIGN | ACTION+PATH | SEQUENCE+ITEM+ACTION | ITEM+ACTION | QUANTITY | ITEM+ACTION+STATE | SEQUENCE+PREPARATION | ACTION | ITEM+ACTION | QUANTITY | ITEM+ACTION+STATE | SEQUENCE+ITEM | SEQUENCE | PREPARATION | ITEM+ACTION | ITEM | ITEM | PREPARATION | QUANTITY+ACTION | ITEM+ACTION+STATE | ACTION+STATE | ITEM+PATH | PREPARATION | QUANTITY | PREPARATION+ACTION | SEQUENCE+QUANTITY+ACTION+TARGET | ACTION+CLOSE	STATE>PREPARATION>TARGET>PREPARATION>SEQUENCE>TARGET>ACTION>STATE>SOURCE>ACTION>LOCAL_SIGN>PATH>SEQUENCE>ACTION>QUANTITY>STATE>SEQUENCE>ACTION>QUANTITY>STATE>SEQUENCE>PREPARATION>ACTION>ITEM>PREPARATION>QUANTITY>STATE>PATH>PREPARATION>QUANTITY>PREPARATION>SEQUENCE>CLOSE	CLOSE	YES	pchocthy shor octhody chorchy pchodol chopchal ypch kom dchey cthoor char chty os chair otytchol oky daiin etyd qotor o tchy daiin chocthy qotchy chol or yty dy dy sor chaiin chcthy ctho ckhy or aiin chtchor doiir ody	Vom gezeigten Speicherwurzelstock einen Teil entnehmen, im Gefäß nach Sollmaß ansetzen, den ersten Zug auffangen, durch den Durchlass führen und bis zur Gebrauchsbereitschaft bearbeiten; den Teilgang schließen.	P912-E0001|P912-E0002|P912-E0003|P912-E0004|P912-E0005|P912-E0006|P912-E0007|P912-E0008|P912-E0009|P912-E0010|P912-E0011|P912-E0012|P912-E0013|P912-E0014|P912-E0015|P912-E0016|P912-E0017|P912-E0018|P912-E0019|P912-E0020|P912-E0021|P912-E0022|P912-E0023|P912-E0024|P912-E0025|P912-E0026|P912-E0027|P912-E0028|P912-E0029|P912-E0030|P912-E0031|P912-E0032|P912-E0033|P912-E0034|P912-E0035|P912-E0036|P912-E0037|P912-E0038|P912-E0039
P1006-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.5|f10r.6|f10r.7|f10r.8|f10r.9|f10r.10|f10r.11|f10r.12	53	T08	VOLLSTÄNDIGE MEHRSCHRITTKETTE	BESITZER → [FOLGE] → [POSTEN/QUELLE/MENGE/ANSATZ] → HANDLUNG+ → [WEG/ZIEL/ZUSTAND] → ENDE	OWNER>SEQUENCE>ITEM>SOURCE>QUANTITY>PREPARATION>ACTION>PATH>TARGET>STATE	ITEM+ACTION | SEQUENCE+ACTION | SEQUENCE | ITEM+STATE | SEQUENCE+ITEM+PREPARATION | ITEM+STATE | PREPARATION+ACTION | QUANTITY+STATE | SEQUENCE+ITEM+ACTION+STATE | ITEM | ITEM | QUANTITY+ACTION | ITEM | ITEM+TARGET | SEQUENCE+ACTION | ITEM | QUANTITY+ACTION | ITEM+ACTION | QUANTITY | STATE | QUANTITY | PATH+TARGET | TARGET | SEQUENCE+PREPARATION+ACTION | PREPARATION+ACTION | SEQUENCE | SEQUENCE | SEQUENCE+PREPARATION | SEQUENCE | QUANTITY | SOURCE+TARGET | ITEM+PREPARATION+ACTION | PREPARATION+ACTION | PREPARATION+ACTION | ITEM | QUANTITY+ACTION+TARGET | ITEM | QUANTITY+ACTION+TARGET | SEQUENCE+PREPARATION+ACTION | SEQUENCE+PREPARATION | ITEM+ACTION | PREPARATION+STATE | QUANTITY+ACTION | ITEM+QUANTITY+ACTION | SEQUENCE+PREPARATION+ACTION | SEQUENCE+ITEM | SEQUENCE+PREPARATION | ITEM+TARGET+STATE | SEQUENCE+SOURCE | QUANTITY+ACTION+TARGET | QUANTITY | SEQUENCE+ITEM | SEQUENCE+PREPARATION	ACTION>SEQUENCE>STATE>SEQUENCE>STATE>PREPARATION>STATE>SEQUENCE>ITEM>QUANTITY>ITEM>TARGET>SEQUENCE>ITEM>QUANTITY>ACTION>QUANTITY>STATE>QUANTITY>TARGET>SEQUENCE>PREPARATION>SEQUENCE>QUANTITY>TARGET>PREPARATION>ITEM>TARGET>ITEM>TARGET>SEQUENCE>ACTION>STATE>QUANTITY>SEQUENCE>TARGET>SEQUENCE>TARGET>QUANTITY>SEQUENCE	OPEN	YES	qokchy qotchol chol cthy ycheor cthy chor cthaiin qoctholy dy chy taiin shy dchy qokchol y kchaiin yty daiin cth dain dair am qotchor chor otol chol cholor chol daiin dar oykchor shor chor chy kaiiin dy chodaiin oqotor otor cfhy cthor osain ytoiin otchoshor qoty qotor cthyd otar odaiin daiin qotchy qotor	Danach einen weiteren Wurzel-, Blatt- oder Kopfanteil nehmen, anwärmen, pressen und portionsweise in den Topf geben; den Ansatz nach Sollmaß weiterführen, einen Teil trennen und die Fortsetzung offenlassen.	P912-E0040|P912-E0041|P912-E0042|P912-E0043|P912-E0044|P912-E0045|P912-E0046|P912-E0047|P912-E0048|P912-E0049|P912-E0050|P912-E0051|P912-E0052|P912-E0053|P912-E0054|P912-E0055|P912-E0056|P912-E0057|P912-E0058|P912-E0059|P912-E0060|P912-E0061|P912-E0062|P912-E0063|P912-E0064|P912-E0065|P912-E0066|P912-E0067|P912-E0068|P912-E0069|P912-E0070|P912-E0071|P912-E0072|P912-E0073|P912-E0074|P912-E0075|P912-E0076|P912-E0077|P912-E0078|P912-E0079|P912-E0080|P912-E0081|P912-E0082|P912-E0083|P912-E0084|P912-E0085|P912-E0086|P912-E0087|P912-E0088|P912-E0089|P912-E0090|P912-E0091|P912-E0092
P1006-S003	f11r	HERBAL	blühender dreikroniger Sodenstock	f11r.1	7	T06	AN ZIELSTELLE AUSFÜHREN	BESITZER → [FOLGE/POSTEN/MENGE] → HANDLUNG → ZIEL → [ZUSTAND] → ENDE	OWNER>SEQUENCE>ITEM>QUANTITY>ACTION>TARGET>STATE>CLOSE	SEQUENCE+ACTION | ACTION+TARGET | ITEM+ACTION | ITEM+QUANTITY+ACTION | ITEM+ACTION | ITEM+ACTION+STATE | ACTION+CLOSE	SEQUENCE>TARGET>ACTION>QUANTITY>ACTION>STATE>CLOSE	CLOSE	NO	tshol schoal cfhy shfydaiin cphy shey tchody	Vom Blütenkraut einen Sudansatz bilden, auswringen, die vorgeschriebene Stehzeit abwarten, nachseihen, den Klarlauf abnehmen und kalt stellen; den Teilgang schließen.	P912-E0093|P912-E0094|P912-E0095|P912-E0096|P912-E0097|P912-E0098|P912-E0099
P1006-S004	f11r	HERBAL	blühender dreikroniger Sodenstock	f11r.1|f11r.2|f11r.3|f11r.4|f11r.5|f11r.6|f11r.7	52	T08	VOLLSTÄNDIGE MEHRSCHRITTKETTE	BESITZER → [FOLGE] → [POSTEN/QUELLE/MENGE/ANSATZ] → HANDLUNG+ → [WEG/ZIEL/ZUSTAND] → ENDE	OWNER>SEQUENCE>ITEM>QUANTITY>PREPARATION>ACTION>PATH>TARGET>STATE	ITEM+ACTION | ITEM+ACTION+TARGET+STATE | SEQUENCE+PREPARATION+ACTION+TARGET | ITEM | ITEM+ACTION | QUANTITY | ITEM+ACTION | ITEM+ACTION | SEQUENCE+ACTION | QUANTITY | SEQUENCE+ITEM | SEQUENCE | ITEM+STATE | PREPARATION+TARGET | ITEM+ACTION | SEQUENCE+ITEM+ACTION | QUANTITY | QUANTITY+ACTION | QUANTITY | ACTION+TARGET | SEQUENCE+TARGET | ITEM | ITEM+ACTION | ITEM | QUANTITY | SEQUENCE+ACTION | PREPARATION+ACTION | PREPARATION+ACTION | ITEM+ACTION+TARGET | ITEM | QUANTITY | ITEM+STATE | TARGET | ITEM | ACTION+PATH+TARGET | QUANTITY | ACTION+PATH+TARGET | TARGET | LOCAL_SIGN | ITEM | SEQUENCE | QUANTITY+ACTION | ITEM+PREPARATION+ACTION | PATH+TARGET | ITEM+ACTION+TARGET | ITEM+STATE | LOCAL_SIGN | QUANTITY | SEQUENCE+ITEM | SEQUENCE+ACTION | ITEM+STATE | ITEM	ACTION>TARGET>SEQUENCE>ITEM>ACTION>QUANTITY>ACTION>SEQUENCE>QUANTITY>SEQUENCE>STATE>TARGET>ACTION>SEQUENCE>QUANTITY>TARGET>SEQUENCE>ITEM>ACTION>ITEM>QUANTITY>SEQUENCE>PREPARATION>TARGET>ITEM>QUANTITY>STATE>TARGET>ITEM>TARGET>QUANTITY>TARGET>LOCAL_SIGN>ITEM>SEQUENCE>QUANTITY>PREPARATION>TARGET>STATE>LOCAL_SIGN>QUANTITY>SEQUENCE>STATE>ITEM	OPEN	YES	shoyty socthody qodor y kshy daiin ytchy ytchoky kchol daiin qoty chol cthy dor ykychy choty dain chaiin daiin dod dchol chy kchy dy daiin tchol shor shor dky y daiin cthy d y chodl daiin odl d s y otol chaiin ykchor dair chody cthy s daiin qotchy okchol cthy dy	Einen Blütenanteil als Reserve zurücklegen, vom vorigen Ansatz die Sollmenge nehmen, weitere Teile zugeben und den Folgezug halten; einen Teil als Trank oder Gebrauchsauszug weiterleiten, der Artikelzug bleibt offen.	P912-E0100|P912-E0101|P912-E0102|P912-E0103|P912-E0104|P912-E0105|P912-E0106|P912-E0107|P912-E0108|P912-E0109|P912-E0110|P912-E0111|P912-E0112|P912-E0113|P912-E0114|P912-E0115|P912-E0116|P912-E0117|P912-E0118|P912-E0119|P912-E0120|P912-E0121|P912-E0122|P912-E0123|P912-E0124|P912-E0125|P912-E0126|P912-E0127|P912-E0128|P912-E0129|P912-E0130|P912-E0131|P912-E0132|P912-E0133|P912-E0134|P912-E0135|P912-E0136|P912-E0137|P912-E0138|P912-E0139|P912-E0140|P912-E0141|P912-E0142|P912-E0143|P912-E0144|P912-E0145|P912-E0146|P912-E0147|P912-E0148|P912-E0149|P912-E0150|P912-E0151
P1006-S005	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	f13r.1|f13r.2|f13r.3|f13r.4|f13r.5	42	T08	VOLLSTÄNDIGE MEHRSCHRITTKETTE	BESITZER → [FOLGE] → [POSTEN/QUELLE/MENGE/ANSATZ] → HANDLUNG+ → [WEG/ZIEL/ZUSTAND] → ENDE	OWNER>SEQUENCE>ITEM>SOURCE>QUANTITY>PREPARATION>ACTION>TARGET>STATE>CLOSE	PREPARATION+ACTION | ITEM+ACTION | SEQUENCE+ACTION | ITEM | ITEM+ACTION | SEQUENCE+ACTION | PREPARATION+ACTION | ITEM+ACTION+TARGET | ACTION+TARGET | SEQUENCE+TARGET | SEQUENCE | SEQUENCE+TARGET | ITEM+ACTION | ITEM+TARGET | ITEM | ITEM+ACTION | SEQUENCE+ITEM | QUANTITY | LOCAL_SIGN | ITEM | LOCAL_SIGN | ITEM | PREPARATION+ACTION+TARGET | QUANTITY+ACTION | ACTION+STATE | ITEM+PREPARATION+ACTION | PREPARATION+ACTION | ITEM+ACTION | ITEM+ACTION | ITEM+ACTION | SOURCE+TARGET | ITEM+ACTION+TARGET | ITEM+ACTION | SEQUENCE+PREPARATION+ACTION | PREPARATION+ACTION+TARGET | ITEM | ITEM+ACTION | SEQUENCE+ACTION | ITEM+ACTION+TARGET | ITEM+ACTION | SEQUENCE+ACTION | SEQUENCE+ACTION+CLOSE	PREPARATION>ACTION>SEQUENCE>ITEM>ACTION>SEQUENCE>PREPARATION>TARGET>SEQUENCE>ACTION>TARGET>ITEM>ACTION>SEQUENCE>QUANTITY>LOCAL_SIGN>ITEM>LOCAL_SIGN>ITEM>TARGET>QUANTITY>STATE>PREPARATION>ACTION>TARGET>ACTION>SEQUENCE>TARGET>ITEM>ACTION>SEQUENCE>TARGET>ACTION>SEQUENCE>CLOSE	CLOSE	YES	torshor opchy shol dy qopchy shol opchor dypchy dchg dchol chol dol shkchy ydal shy ykchy qoty daiin s y s y dchor shaiin oeees ykor chor ytshy ykchy kchy dar qodchy ytchy otchor shorodo shy tshy kchol dpchy qopchy otchol cfholdy	Die Wurzelkrone aktivieren, ein Brutknöllchen und den ersten Teil abnehmen, im Ansatz halten, nach Sollmaß zugeben und den Blütenanteil mitführen; auspressen und den Teilgang schließen.	P912-E0152|P912-E0153|P912-E0154|P912-E0155|P912-E0156|P912-E0157|P912-E0158|P912-E0159|P912-E0160|P912-E0161|P912-E0162|P912-E0163|P912-E0164|P912-E0165|P912-E0166|P912-E0167|P912-E0168|P912-E0169|P912-E0170|P912-E0171|P912-E0172|P912-E0173|P912-E0174|P912-E0175|P912-E0176|P912-E0177|P912-E0178|P912-E0179|P912-E0180|P912-E0181|P912-E0182|P912-E0183|P912-E0184|P912-E0185|P912-E0186|P912-E0187|P912-E0188|P912-E0189|P912-E0190|P912-E0191|P912-E0192|P912-E0193
P1006-S006	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	f13r.6|f13r.7	16	T08	VOLLSTÄNDIGE MEHRSCHRITTKETTE	BESITZER → [FOLGE] → [POSTEN/QUELLE/MENGE/ANSATZ] → HANDLUNG+ → [WEG/ZIEL/ZUSTAND] → ENDE	OWNER>SEQUENCE>ITEM>QUANTITY>PREPARATION>ACTION>PATH>TARGET>CLOSE	PREPARATION+ACTION | PREPARATION+TARGET | QUANTITY | SEQUENCE+ACTION | ITEM+ACTION | PREPARATION+ACTION | QUANTITY+ACTION | ITEM+PATH | TARGET | ITEM+TARGET | ITEM+ACTION | SEQUENCE | ITEM | ITEM+ACTION | TARGET | SEQUENCE+CLOSE	PREPARATION>TARGET>QUANTITY>SEQUENCE>ACTION>PREPARATION>QUANTITY>PATH>TARGET>ACTION>SEQUENCE>ITEM>ACTION>TARGET>CLOSE	CLOSE	YES	tchor dor daiin qotchol okchy okchor oiin chckhy d dchy qoky chol dy qoy d oldy	Vom restlichen Wurzelansatz eine Sollmenge nehmen, den Folgeansatz setzen, durch den Durchlass führen, an der Teilstelle fortsetzen und schließen.	P912-E0194|P912-E0195|P912-E0196|P912-E0197|P912-E0198|P912-E0199|P912-E0200|P912-E0201|P912-E0202|P912-E0203|P912-E0204|P912-E0205|P912-E0206|P912-E0207|P912-E0208|P912-E0209
P1006-S007	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	f13r.7|f13r.8|f13r.9	10	T08	VOLLSTÄNDIGE MEHRSCHRITTKETTE	BESITZER → [FOLGE] → [POSTEN/QUELLE/MENGE/ANSATZ] → HANDLUNG+ → [WEG/ZIEL/ZUSTAND] → ENDE	OWNER>SEQUENCE>ITEM>QUANTITY>PREPARATION>ACTION>TARGET>CLOSE	PREPARATION+ACTION | QUANTITY+ACTION+TARGET | ITEM | ITEM+ACTION | ITEM+PREPARATION+ACTION | ACTION | LOCAL_SIGN | ITEM+ACTION | QUANTITY | SEQUENCE+CLOSE	PREPARATION>TARGET>ITEM>ACTION>PREPARATION>ACTION>LOCAL_SIGN>ACTION>QUANTITY>CLOSE	CLOSE	YES	okchor doaiin shochy qokchy torchy k s okchey daiin oldy	Einen Blattanteil nach Sollmaß in den nächsten Ansatz geben, kurz bearbeiten, prüfen und den zweiten Teilgang schließen.	P912-E0210|P912-E0211|P912-E0212|P912-E0213|P912-E0214|P912-E0215|P912-E0216|P912-E0217|P912-E0218|P912-E0219
P1006-S008	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	f13r.9	6	T06	AN ZIELSTELLE AUSFÜHREN	BESITZER → [FOLGE/POSTEN/MENGE] → HANDLUNG → ZIEL → [ZUSTAND] → ENDE	OWNER>SEQUENCE>ITEM>QUANTITY>ACTION>TARGET>STATE>CLOSE	ITEM+ACTION+STATE | SEQUENCE | QUANTITY+ACTION+TARGET | SEQUENCE+ITEM+ACTION | ACTION+TARGET | TARGET+CLOSE	STATE>SEQUENCE>TARGET>SEQUENCE>TARGET>CLOSE	CLOSE	NO	shey chol doiin ykoly okchal daldy	Den angesetzten Posten kurz halten, auf der nächsten Arbeitsstufe fortführen, zur bezeichneten Stelle geben und dort schließen.	P912-E0220|P912-E0221|P912-E0222|P912-E0223|P912-E0224|P912-E0225
P1006-S009	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	f13r.10	3	T05	ANSATZ BILDEN ODER WEITERFÜHREN	BESITZER → [POSTEN/MENGE] → ANSATZ → HANDLUNG → [ZUSTAND] → ENDE	OWNER>SEQUENCE>ITEM>PREPARATION>ACTION	SEQUENCE+ITEM | ITEM+ACTION | ITEM+PREPARATION+ACTION	SEQUENCE>ACTION>PREPARATION	OPEN	NO	sotchy kchy okorory	Den nächsten Pflanzenteil auswählen, zugeben und mit dem vorhandenen Ansatz vereinigen; die Fortsetzung bleibt offen.	P912-E0226|P912-E0227|P912-E0228
P1006-S010	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	f17r.1	1	T01	EINFACHER ARBEITSGANG	BESITZER → HANDLUNG → [ZUSTAND] → ENDE	OWNER>ACTION>CLOSE	ACTION+CLOSE	CLOSE	CLOSE	NO	fshody	Bei der abgebildeten Pflanze: über den Nebenweg halten ausführen. Dann den Teilgang schließen.	P1003-E0001
