page_order	physical_page	register	page_description_de	groups	running_groups	address_or_label_groups	statements	template_profile	dominant_template	licensed_closes	visible_boundaries	open_ends	cross_line_statements
1	f10r	HERBAL	Pflanzenartikel mit zwei langen Zubereitungsgängen	92	92	0	2	T08:2	T08	1	0	1	2
2	f11r	HERBAL	Pflanzenartikel mit Trennen, Stehenlassen und Nachseihen	59	59	0	2	T06:1|T08:1	T06	1	0	1	1
3	f13r	HERBAL	Pflanzenartikel mit offenem Prozesslauf	77	77	0	5	T05:1|T06:1|T08:3	T08	4	0	1	3
4	f17r	HERBAL	Pflanzenartikel der grossen Blütenpflanze	80	78	2	8	T01:1|T06:2|T07:2|T08:3	T08	7	0	1	4
5	f55v	HERBAL	Pflanzen-/Anwendungsartikel mit fünf Teilgängen	106	106	0	5	T04:1|T07:1|T08:3	T08	4	0	1	4
6	f56r	HERBAL	Pflanzenartikel mit wiederaufgenommenem Bildbesitzer	105	105	0	3	T06:1|T08:2	T08	2	0	1	2
7	f67r2	CELESTIAL	mehrteiliges Himmels- und Wahlregister	190	126	64	11	T09:11	T09	3	7	1	10
8	f68r1	CELESTIAL	Sternstations- und Ringregister	65	31	34	3	T09:3	T09	2	1	0	2
9	f69v	CELESTIAL	drei lokale Himmelsräder als reines Adressregister	140	0	140	0	ADDRESS_ONLY	ADDRESS_ONLY	0	0	0	0
10	f70v	CELESTIAL	Widder- und Fischring als reines Adressregister	218	0	218	0	ADDRESS_ONLY	ADDRESS_ONLY	0	0	0	0
11	f71v	CELESTIAL	drei weitere Ringnamensräume	100	78	22	5	T09:5	T09	2	2	1	0
12	f75r	BIOLOGICAL	Becken-, Figuren- und Stationsartikel	418	408	10	111	T01:28|T02:9|T03:16|T04:7|T05:1|T06:18|T07:21|T08:11	T01	110	1	0	23
13	f77r	BIOLOGICAL	langer Körper-/Beckenstationsartikel	332	321	11	82	T01:16|T02:1|T03:17|T04:12|T06:12|T07:15|T08:9	T03	81	1	0	28
14	f81v	BIOLOGICAL	gemeinschaftliche Becken- und Anwendungseinträge	255	253	2	54	T01:8|T02:3|T03:6|T04:1|T05:1|T06:16|T07:10|T08:9	T06	53	1	0	19
15	f82r	BIOLOGICAL	mehrere lokale Figuren-/Beckenstationen	291	278	13	62	T01:12|T02:1|T03:8|T04:3|T06:8|T07:19|T08:11	T07	60	2	0	25
16	f83r	BIOLOGICAL	lokale Becken-, Bogen- und Verbindungsszenen	345	341	4	91	T01:12|T02:5|T03:13|T04:6|T05:2|T06:11|T07:30|T08:12	T07	89	1	1	27
17	f88r	PHARMA	Gefäss-/Drogenregister mit sechzehn lokalen Etiketten	150	134	16	5	T07:2|T08:3	T08	2	2	1	3
18	f88v	PHARMA	drei Gefäss- und Zutatenpartien	145	131	14	13	T01:1|T03:2|T05:1|T06:1|T07:1|T08:7	T08	11	2	0	7
