sheet_id	record	page	load_event	record_events	addressed_wrapper_entries	affected_loci	wrapper_stamps_used	load_instruction_de
RS01	H1	f10r	E001	14	2	2	q|Ø	Einmal am Recordanfang laden; Einträge nur an ihrer Locusadresse anwenden.
RS02	H2	f10r	E015	24	7	3	ch|d|q|s|sh|t	Einmal am Recordanfang laden; Einträge nur an ihrer Locusadresse anwenden.
RS03	H3	f11r	E039	17	2	2	d	Einmal am Recordanfang laden; Einträge nur an ihrer Locusadresse anwenden.
RS04	H4	f55v	E056	18	4	2	ch|Ø	Einmal am Recordanfang laden; Einträge nur an ihrer Locusadresse anwenden.
RS05	H5	f56r	E074	27	2	2	ch|s	Einmal am Recordanfang laden; Einträge nur an ihrer Locusadresse anwenden.
RS06	B1	f81v	E101	66	14	6	ch|che|q|s|t|Ø	Einmal am Recordanfang laden; Einträge nur an ihrer Locusadresse anwenden.
RS07	B2	f82r	E167	62	6	4	che|d|s|Ø	Einmal am Recordanfang laden; Einträge nur an ihrer Locusadresse anwenden.
RS08	B3	f83r	E229	86	15	7	ch|che|q|s|sh|t|Ø	Einmal am Recordanfang laden; Einträge nur an ihrer Locusadresse anwenden.
RS09	B4	f83r	E315	47	4	4	ch|q|t|Ø	Einmal am Recordanfang laden; Einträge nur an ihrer Locusadresse anwenden.
RS10	B5	f83r	E362	11	2	1	che|Ø	Einmal am Recordanfang laden; Einträge nur an ihrer Locusadresse anwenden.
RS11	B6	f83r	E373	9	1	1	d	Einmal am Recordanfang laden; Einträge nur an ihrer Locusadresse anwenden.
