sheet_id	entry_no_within_sheet	record	page	locus	event_id	input_rule_surface	retain_tail	wrapper_stamp	output_surface	address_rule	instruction_de
RS01	1	H1	f10r	f10r.2	E008	choky	oky	Ø	oky	LOCUS_PLUS_INPUT_SURFACE	In f10r.2 bei choky den Stempel Ø setzen.
RS01	2	H1	f10r	f10r.5	E011	okchy	okchy	q	qokchy	LOCUS_PLUS_INPUT_SURFACE	In f10r.5 bei okchy den Stempel q setzen.
RS02	1	H2	f10r	f10r.6	E020	chy	y	d	dy	LOCUS_PLUS_INPUT_SURFACE	In f10r.6 bei chy den Stempel d setzen.
RS02	2	H2	f10r	f10r.6	E022	daiin	aiin	t	taiin	LOCUS_PLUS_INPUT_SURFACE	In f10r.6 bei daiin den Stempel t setzen.
RS02	3	H2	f10r	f10r.6	E023	chey	y	sh	shy	LOCUS_PLUS_INPUT_SURFACE	In f10r.6 bei chey den Stempel sh setzen.
RS02	4	H2	f10r	f10r.8	E024	otchor	otchor	q	qotchor	LOCUS_PLUS_INPUT_SURFACE	In f10r.8 bei otchor den Stempel q setzen.
RS02	5	H2	f10r	f10r.8	E028	olor	olor	ch	cholor	LOCUS_PLUS_INPUT_SURFACE	In f10r.8 bei olor den Stempel ch setzen.
RS02	6	H2	f10r	f10r.9	E033	chor	hor	s	shor	LOCUS_PLUS_INPUT_SURFACE	In f10r.9 bei chor den Stempel s setzen.
RS02	7	H2	f10r	f10r.9	E037	chy	y	d	dy	LOCUS_PLUS_INPUT_SURFACE	In f10r.9 bei chy den Stempel d setzen.
RS03	1	H3	f11r	f11r.4	E050	chy	y	d	dy	LOCUS_PLUS_INPUT_SURFACE	In f11r.4 bei chy den Stempel d setzen.
RS03	2	H3	f11r	f11r.7	E055	chey	y	d	dy	LOCUS_PLUS_INPUT_SURFACE	In f11r.7 bei chey den Stempel d setzen.
RS04	1	H4	f55v	f55v.5	E057	daiin	aiin	ch	chaiin	LOCUS_PLUS_INPUT_SURFACE	In f55v.5 bei daiin den Stempel ch setzen.
RS04	2	H4	f55v	f55v.11	E068	daiin	aiin	Ø	aiin	LOCUS_PLUS_INPUT_SURFACE	In f55v.11 bei daiin den Stempel Ø setzen.
RS04	3	H4	f55v	f55v.11	E069	qokal	okal	Ø	okal	LOCUS_PLUS_INPUT_SURFACE	In f55v.11 bei qokal den Stempel Ø setzen.
RS04	4	H4	f55v	f55v.11	E072	chey	y	Ø	y	LOCUS_PLUS_INPUT_SURFACE	In f55v.11 bei chey den Stempel Ø setzen.
RS05	1	H5	f56r	f56r.8	E083	dchol	chol	s	schol	LOCUS_PLUS_INPUT_SURFACE	In f56r.8 bei dchol den Stempel s setzen.
RS05	2	H5	f56r	f56r.18	E095	okchy	okchy	ch	chokchy	LOCUS_PLUS_INPUT_SURFACE	In f56r.18 bei okchy den Stempel ch setzen.
RS06	1	B1	f81v	f81v.2	E102	qokaiin	okaiin	Ø	okaiin	LOCUS_PLUS_INPUT_SURFACE	In f81v.2 bei qokaiin den Stempel Ø setzen.
RS06	2	B1	f81v	f81v.2	E104	qokal	okal	Ø	okal	LOCUS_PLUS_INPUT_SURFACE	In f81v.2 bei qokal den Stempel Ø setzen.
RS06	3	B1	f81v	f81v.2	E105	char	ar	s	sar	LOCUS_PLUS_INPUT_SURFACE	In f81v.2 bei char den Stempel s setzen.
RS06	4	B1	f81v	f81v.2	E109	dal	al	Ø	al	LOCUS_PLUS_INPUT_SURFACE	In f81v.2 bei dal den Stempel Ø setzen.
RS06	5	B1	f81v	f81v.7	E121	ol	ol	q	qol	LOCUS_PLUS_INPUT_SURFACE	In f81v.7 bei ol den Stempel q setzen.
