decision_no	event_id	statement_id	record	page	decision_type	selected_value
1	E001	H1-S001	H1	f10r	LOAD_RECORD_RENDERER_SHEET	RS01
2	E015	H2-S001	H2	f10r	LOAD_RECORD_RENDERER_SHEET	RS02
3	E039	H3-S001	H3	f11r	LOAD_RECORD_RENDERER_SHEET	RS03
4	E056	H4-S001	H4	f55v	LOAD_RECORD_RENDERER_SHEET	RS04
5	E074	H5-S001	H5	f56r	LOAD_RECORD_RENDERER_SHEET	RS05
6	E101	B1-S001	B1	f81v	LOAD_RECORD_RENDERER_SHEET	RS06
7	E167	B2-S001	B2	f82r	LOAD_RECORD_RENDERER_SHEET	RS07
8	E229	B3-S001	B3	f83r	LOAD_RECORD_RENDERER_SHEET	RS08
9	E315	B4-S001	B4	f83r	LOAD_RECORD_RENDERER_SHEET	RS09
10	E362	B5-S001	B5	f83r	LOAD_RECORD_RENDERER_SHEET	RS10
11	E373	B6-S001	B6	f83r	LOAD_RECORD_RENDERER_SHEET	RS11
