record	locus	patient	destination	value	bound	after_last_intervention	issues	row_status
F83_P1	f83r.4:3	C	B	filled	True	False	UNNARRATED_STATE_CAUSE	recorded
F83_P1	f83r.7:8	C	B	filled	True	False	UNNARRATED_STATE_CAUSE	recorded
F83_P2	f83r.9:3	MISSING	MISSING	filled	False	False	MISSING_PATIENT;MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	recorded
F83_P2	f83r.11:6	A	B	filled	True	False	UNNARRATED_STATE_CAUSE	recorded
F83_P2	f83r.12:8	C	B	filled	True	False	UNNARRATED_STATE_CAUSE	recorded
F83_P2	f83r.13:7	A	B	filled	True	False	UNNARRATED_STATE_CAUSE	recorded
F83_P3	f83r.20:4	C	MISSING	filled	False	False	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	recorded
F83_P3	f83r.20:7	C	MISSING	filled	False	False	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	recorded
F83_P3	f83r.21:2	C	MISSING	filled	False	False	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	recorded
F83_P3	f83r.21:8	C	MISSING	filled	False	False	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	recorded
F83_P3	f83r.23:5	A	MISSING	filled	False	False	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	recorded
F83_P4	f83r.25:4	MISSING	MISSING	filled	False	False	MISSING_PATIENT;MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	recorded
F83_P4	f83r.28:4	A	MISSING	filled	False	False	MISSING_DESTINATION;TEMPORAL_LINK_UNRESOLVED	recorded
