patch_id	rule_kind	anchor_position_id	consumed_position_ids	support_position_ids	expected_locus	expected_surfaces	expected_contexts_de	render_once_de	patch_scope	source_gdt	source_artifact	source_selector	evidence_de	counterevidence_de	component_global_export_allowed	score_delta	historical_confirmation
R001_YDAIIN_F104V2	POSITION_OVERRIDE	P006	P006	P006	f104v.2	ydaiin	davon: Wert III	davon drei Maße	LINE_RENDERER_ONLY	GDT683	experiments/yolo/gdt683_ol_semantic_debt_reconciliation/artifacts/V57_51_LINE_READER.tsv	locus=f104v.2	V57 trägt an derselben sichtbaren Stelle bereits die vollständige lokale Mengenphrase; V98 behält den Kern Bezugswert III.	Maßart und historische Einheit bleiben offen.	0	0	H0_NONE
R002_DAIIN_SHCKHY_F83V12	BOUND_GROUP	P331	P331|P332	P331|P332	f83v.12	daiin|shckhy	drei || feuchte Mischung, Anfangsstufe	drei Portionen der feuchten Mischung auf Anfangsstufe	LINE_RENDERER_ONLY	GDT686	experiments/yolo/gdt686_v59_dain_daiin_qodaiin_value_head_dispatch/artifacts/V59_TARGET_POSITION_DEBT_DELTA.tsv	locus=f83v.12;ordinal=1;surface=daiin	GDT686 bindet den Wert III rechts an shckhy als drei Portionen; der aktuelle shckhy-Kopf liefert feuchte Mischung und Anfangsstufe.	Arzneikompositum aus der älteren Quellphrase wird nicht übernommen; Portion bleibt lokal.	0	0	H0_NONE
R003_CHOLCHES_OKAIN_DAIN_F116R12	POSITION_OVERRIDE	P191	P191	P189|P190|P191	f116r.12	dain	zwei	davon zwei Portionen	LINE_RENDERER_ONLY	GDT686	experiments/yolo/gdt686_v59_dain_daiin_qodaiin_value_head_dispatch/artifacts/V59_TARGET_POSITION_DEBT_DELTA.tsv	locus=f116r.12;ordinal=5;surface=dain	GDT686 bindet Wert II links an cholches als zwei Portionen; der Renderer lässt nachgetrocknetes Material und heißen Ansatz Grad II als zwei sichtbare vorstehende Einheiten stehen und ergänzt nur den Rückbezug.	Drogenidentität, genaue Reichweite des Rückbezugs und historische Einheit bleiben offen.	0	0	H0_NONE
R004_OTAL_DAIN_F116R12	BOUND_GROUP	P196	P196|P197	P196|P197	f116r.12	otal|dain	Material I im kalten Anfangsansatz || zwei	zwei Portionen des Materials I im kalten Anfangsansatz	LINE_RENDERER_ONLY	GDT686	experiments/yolo/gdt686_v59_dain_daiin_qodaiin_value_head_dispatch/artifacts/V59_TARGET_POSITION_DEBT_DELTA.tsv	locus=f116r.12;ordinal=11;surface=dain	GDT686 bindet Wert II links an otal als zwei Portionen der lokalen kalten Materialeinheit I.	Rohdroge aus der älteren Quellphrase und historische Einheit bleiben offen.	0	0	H0_NONE
R005_DAIIN_DOL_F8R15	BOUND_GROUP	P465	P465|P466	P465|P466	f8r.15	daiin|dol	drei || Materialmaß	drei Materialmaße	LINE_RENDERER_ONLY	GDT686	experiments/yolo/gdt686_v59_dain_daiin_qodaiin_value_head_dispatch/artifacts/V59_TARGET_POSITION_DEBT_DELTA.tsv	locus=f8r.15;ordinal=7;surface=daiin	GDT686 bindet Wert III rechts an dol und gibt exakt drei Materialmaße aus.	Historische Maßeinheit bleibt offen.	0	0	H0_NONE
R006_SHX_LOCAL_WOOD_F105R31	POSITION_OVERRIDE	P027	P027	P026|P027	f105r.31	shx	eingeweicht	vorstehendes Holz, eingeweicht	LINE_RENDERER_ONLY	GDT725	experiments/yolo/gdt725_v98_final_low_hardcap_dictionary_dispatch/artifacts/V98_479_CONTEXT_REALIZATIONS.tsv	position_id=P026	Das unmittelbar linke lchl liefert den sichtbaren Holzkopf; shx behält nur den Zustand eingeweicht.	Ein bloßer Materialzustand ohne Rückbezug bleibt als Rival offen; kein freier shx-Holzwert.	0	0	H0_NONE
R007_QEEEY_CONTINUATION_F107R2	POSITION_OVERRIDE	P078	P078	P077|P078	f107r.2	qeeey	die vorstehende Behandlung bis zur letzten Stufe führen und abschließen	anschließend bis zur letzten Stufe weiterführen und abschließen	LINE_RENDERER_ONLY	GDT725	experiments/yolo/gdt725_v98_final_low_hardcap_dictionary_dispatch/artifacts/V98_479_CONTEXT_REALIZATIONS.tsv	position_id=P078	Die Handlung bleibt gleich; der Renderer entfernt nur den generischen Metakopf Behandlung und markiert den Anschluss.	Der genaue Patient bleibt offen und wird nicht erfunden.	0	0	H0_NONE
R008_QOKCHO_LOCAL_PATIENT_F115R23	POSITION_OVERRIDE	P178	P178	P177|P178	f115r.23	qokcho	erhitze, trockne und setze an	diese leicht getrocknete Zubereitung erhitzen, trocknen und ansetzen	LINE_RENDERER_ONLY	GDT725	experiments/yolo/gdt725_v98_final_low_hardcap_dictionary_dispatch/artifacts/V98_479_CONTEXT_REALIZATIONS.tsv	position_id=P177	Das unmittelbar linke chody liefert eine leicht getrocknete abgeschlossene Zubereitung als lokalen Patienten; qokcho behält seine drei Verben.	Die Handlung könnte einen älteren Recordpatienten meinen; kein globaler chody-Patientenwert.	0	0	H0_NONE
R009_ARARAM_COMPACT_F86V625	POSITION_OVERRIDE	P414	P414	P412|P413|P414	f86v6.25	araram	Anteil I der vorstehenden heißen, fertig getrockneten Blütenmasse; davon ein Maß	von der vorstehenden fertigen Blütenmasse: Anteil I, davon ein Maß	LINE_RENDERER_ONLY	GDT725	experiments/yolo/gdt725_v98_final_low_hardcap_dictionary_dispatch/artifacts/V98_479_CONTEXT_REALIZATIONS.tsv	position_id=P414	Der lokale Blütenkopf und Anteil/Maß-Inhalt bleiben erhalten; der separat sichtbare qokaiin-Heizgrad wird nicht im selben Posten wiederholt.	Die Reichweite der Blütenmasse bleibt lokal und ersetzbar.	0	0	H0_NONE
R010_G725_COMPANION_P265	POSITION_OVERRIDE	P265	P265	P264|P265	f76v.10	daiin	drei	drei Portionen des vorstehenden eingeweichten Arzneikompositums	INHERITED_LINE_RENDERER_ONLY	GDT725	experiments/yolo/gdt725_v98_final_low_hardcap_dictionary_dispatch/artifacts/V98_1_COMPANION_LINE_RENDER_AUDIT.tsv	position_id=P265	GDT725 bindet die vollständige GDT686-Mengenphrase bereits als Companion-Ausgabe; der Kern bleibt Wert III.	Arzneikompositum und Portion sind nur die lokale Zeilenausgabe.	0	0	H0_NONE
