language	config	seed	unit	category	output	train_occurrences	held_occurrences
latin	B0_W11	11	ol	W	omnibus	1825	712
latin	B0_W11	11	y	W	caesar	1554	554
latin	B0_W11	11	C	W	habebat	1445	711
latin	B0_W11	11	ar	W	helvetii	1423	766
latin	B0_W11	11	or	W	longius	1322	535
latin	B0_W11	11	s	W	legiones	1322	486
latin	B0_W11	11	aN	S	tum	1169	556
latin	B0_W11	11	d	W	exercitum	1144	597
latin	B0_W11	11	o	W	civitates	1126	609
latin	B0_W11	11	ok	S	eti	1084	625
latin	B0_W11	11	ot	S	ven	1033	689
latin	B0_W11	11	k	W	helvetios	1025	478
latin	B0_W11	11	al	W	navibus	915	476
latin	B0_W11	11	S	S	con	910	439
latin	B0_W11	11	t	W	legatos	883	359
latin	B0_W11	11	Ce	S	ari	866	609
latin	B0_W11	11	qok	S	per	862	444
latin	B0_W11	11	daN	S	qua	844	387
latin	B0_W11	11	Cedy	S	ani	732	448
latin	B0_W11	11	qot	S	non	727	353
latin	B0_W11	11	e	N	<EMPTY>	699	453
latin	B0_W11	11	Cy	S	ere	671	212
latin	B0_W11	11	E	N	<EMPTY>	669	497
latin	B0_W11	11	l	N	<EMPTY>	666	524
latin	B0_W11	11	ody	S	tra	608	272
latin	B0_W11	11	dy	S	que	603	204
latin	B0_W11	11	aI	S	cum	597	414
latin	B0_W11	11	p	N	<EMPTY>	572	338
latin	B0_W11	11	Se	S	quo	570	260
latin	B0_W11	11	Col	S	int	522	188
latin	B0_W11	11	Cey	S	iis	521	264
latin	B0_W11	11	Ey	L	e	505	370
latin	B0_W11	11	ey	L	i	498	259
latin	B0_W11	11	Edy	L	e	469	312
latin	B0_W11	11	edy	L	i	446	253
latin	B0_W11	11	od	S	ter	445	222
latin	B0_W11	11	Sedy	S	et	418	173
latin	B0_W11	11	am	S	tem	408	242
latin	B0_W11	11	olk	L	s	402	152
latin	B0_W11	11	yk	L	s	396	149
latin	B0_W11	11	Cor	S	est	376	100
latin	B0_W11	11	yt	S	de	375	90
latin	B0_W11	11	r	S	nos	374	250
latin	B0_W11	11	qo	S	cer	371	233
latin	B0_W11	11	Co	S	era	364	121
latin	B0_W11	11	dal	L	a	362	174
latin	B0_W11	11	T	S	aes	344	121
latin	B0_W11	11	dar	L	a	341	227
latin	B0_W11	11	Cdy	S	ant	331	167
latin	B0_W11	11	a	L	e	278	128
latin	B0_W11	11	Ky	S	tur	273	120
latin	B0_W11	11	ai	L	s	264	143
latin	B0_W11	11	air	L	a	254	210
latin	B0_W11	11	Ty	L	t	251	74
latin	B0_W11	11	K	L	s	250	98
latin	B0_W11	11	Sey	L	a	236	148
latin	B0_W11	11	N	L	e	222	88
latin	B0_W11	11	f	N	<EMPTY>	220	104
latin	B0_W11	11	ky	L	t	204	69
latin	B0_W11	11	So	S	tri	201	76
latin	B0_W11	11	qokaI	D	cc	201	74
latin	B0_W11	11	i	L	i	199	118
latin	B0_W11	11	op	N	<EMPTY>	198	110
latin	B0_W11	11	Sol	S	ac	195	51
latin	B0_W11	11	qokaN	S	si	190	72
latin	B0_W11	11	qokEdy	L	c	189	105
latin	B0_W11	11	qokal	L	e	187	41
