event_serial	statement_id	record_unit_id	page	assigned_renderer	workshop_hand	master_card_id	semantic_atoms	actual_visible_surface	profile_preferred_surface	surface_match	learning_mode
1	H1-S001	H1	f10r	R-D	KURZHAND	MC071	DCHE+Y	dchey	dchey	YES	COPY_SINGLETON_FROM_MASTER
2	H1-S001	H1	f10r	R-D	KURZHAND	MC158	CTH+OR	cthoor	cthoor	YES	COPY_SINGLETON_FROM_MASTER
3	H1-S001	H1	f10r	R-D	KURZHAND	MC055	AR	char	dar	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
4	H1-S001	H1	f10r	R-D	KURZHAND	MC086	PARTITION+TY	chty	chty	YES	MEMORIZE_SHARED_17
5	H1-S001	H1	f10r	R-D	KURZHAND	MC159	OS	os	os	YES	COPY_SINGLETON_FROM_MASTER
6	H1-S001	H1	f10r	R-D	KURZHAND	MC014	AIR	chair	chair	YES	COPY_SINGLETON_FROM_MASTER
7	H1-S001	H1	f10r	R-D	KURZHAND	MC069	OT+TY+OL	otytchol	otytchol	YES	COPY_SINGLETON_FROM_MASTER
8	H1-S001	H1	f10r	R-D	KURZHAND	MC026	OK+Y	oky	oky	YES	MEMORIZE_SHARED_17
9	H1-S001	H1	f10r	R-D	KURZHAND	MC039	AIIN	daiin	aiin	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
10	H1-S001	H1	f10r	R-D	KURZHAND	MC108	E+TY	etyd	etyd	YES	COPY_SINGLETON_FROM_MASTER
11	H1-S002	H1	f10r	R-D	KURZHAND	MC103	OK+Y	qokchy	okchy	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	COPY_SINGLETON_FROM_MASTER
12	H1-S002	H1	f10r	R-D	KURZHAND	MC163	OT+OL	qotchol	qotchol	YES	COPY_SINGLETON_FROM_MASTER
13	H1-S002	H1	f10r	R-D	KURZHAND	MC153	OL	chol	ol	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
14	H1-S002	H1	f10r	R-D	KURZHAND	MC161	CTH+Y	cthy	cthy	YES	MEMORIZE_SHARED_17
15	H2-S001	H2	f10r	R-B	Q-EINTRITTSHAND	MC075	Y+CHEO+OR	ycheor	ycheor	YES	COPY_SINGLETON_FROM_MASTER
16	H2-S001	H2	f10r	R-B	Q-EINTRITTSHAND	MC161	CTH+Y	cthy	checthy	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
17	H2-S001	H2	f10r	R-B	Q-EINTRITTSHAND	MC080	OR	chor	chor	YES	MEMORIZE_SHARED_17
18	H2-S001	H2	f10r	R-B	Q-EINTRITTSHAND	MC169	CTH+AIIN	cthaiin	cthaiin	YES	COPY_SINGLETON_FROM_MASTER
19	H2-S001	H2	f10r	R-B	Q-EINTRITTSHAND	MC115	CTH+OL+Y	qoctholy	qoctholy	YES	COPY_SINGLETON_FROM_MASTER
20	H2-S001	H2	f10r	R-B	Q-EINTRITTSHAND	MC123	Y	dy	chey	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
21	H2-S001	H2	f10r	R-B	Q-EINTRITTSHAND	MC123	Y	chy	chey	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
22	H2-S001	H2	f10r	R-B	Q-EINTRITTSHAND	MC039	AIIN	taiin	aiin	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
23	H2-S001	H2	f10r	R-B	Q-EINTRITTSHAND	MC123	Y	shy	chey	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
24	H2-S002	H2	f10r	R-B	Q-EINTRITTSHAND	MC013	OT+OR	qotchor	qotchor	YES	COPY_SINGLETON_FROM_MASTER
25	H2-S002	H2	f10r	R-B	Q-EINTRITTSHAND	MC080	OR	chor	chor	YES	MEMORIZE_SHARED_17
26	H2-S002	H2	f10r	R-B	Q-EINTRITTSHAND	MC053	OT+OL	otol	otol	YES	COPY_SINGLETON_FROM_MASTER
27	H2-S002	H2	f10r	R-B	Q-EINTRITTSHAND	MC153	OL	chol	qol	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
28	H2-S002	H2	f10r	R-B	Q-EINTRITTSHAND	MC157	OL+OR	cholor	cholor	YES	MEMORIZE_SHARED_17
29	H2-S002	H2	f10r	R-B	Q-EINTRITTSHAND	MC153	OL	chol	qol	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
30	H2-S002	H2	f10r	R-B	Q-EINTRITTSHAND	MC039	AIIN	daiin	aiin	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
31	H2-S002	H2	f10r	R-B	Q-EINTRITTSHAND	MC055	AR	dar	char	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
32	H2-S003	H2	f10r	R-B	Q-EINTRITTSHAND	MC027	Y+KCH+OR	oykchor	oykchor	YES	COPY_SINGLETON_FROM_MASTER
33	H2-S003	H2	f10r	R-B	Q-EINTRITTSHAND	MC080	OR	shor	chor	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
34	H2-S003	H2	f10r	R-B	Q-EINTRITTSHAND	MC080	OR	chor	chor	YES	MEMORIZE_SHARED_17
35	H2-S003	H2	f10r	R-B	Q-EINTRITTSHAND	MC123	Y	chy	chey	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
36	H2-S003	H2	f10r	R-B	Q-EINTRITTSHAND	MC048	IIN	kaiiin	kaiiin	YES	COPY_SINGLETON_FROM_MASTER
37	H2-S003	H2	f10r	R-B	Q-EINTRITTSHAND	MC123	Y	dy	chey	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
38	H2-S003	H2	f10r	R-B	Q-EINTRITTSHAND	MC087	HO+AIIN	chodaiin	chodaiin	YES	COPY_SINGLETON_FROM_MASTER
39	H3-S001	H3	f11r	R-D	KURZHAND	MC098	HO+L	tshol	tshol	YES	COPY_SINGLETON_FROM_MASTER
40	H3-S001	H3	f11r	R-D	KURZHAND	MC049	HO+AL	schoal	schoal	YES	COPY_SINGLETON_FROM_MASTER
41	H3-S001	H3	f11r	R-D	KURZHAND	MC129	CFH+Y	cfhy	cfhy	YES	COPY_SINGLETON_FROM_MASTER
42	H3-S001	H3	f11r	R-D	KURZHAND	MC111	SH+AIIN	shfydaiin	shfydaiin	YES	COPY_SINGLETON_FROM_MASTER
43	H3-S001	H3	f11r	R-D	KURZHAND	MC156	CPH+Y	cphy	cphy	YES	COPY_SINGLETON_FROM_MASTER
44	H3-S001	H3	f11r	R-D	KURZHAND	MC119	CHEEY	shey	shey	YES	MEMORIZE_SHARED_17
45	H3-S001	H3	f11r	R-D	KURZHAND	MC037	HO+CLOSE	tchody	tchody	YES	COPY_SINGLETON_FROM_MASTER
46	H3-S002	H3	f11r	R-D	KURZHAND	MC062	HO+Y+TY	shoyty	shoyty	YES	COPY_SINGLETON_FROM_MASTER
47	H3-S003	H3	f11r	R-D	KURZHAND	MC142	DCHOL	dchol	dchol	YES	COPY_SINGLETON_FROM_MASTER
48	H3-S003	H3	f11r	R-D	KURZHAND	MC123	Y	chy	y	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
49	H3-S003	H3	f11r	R-D	KURZHAND	MC117	KCH+Y	kchy	kchy	YES	COPY_SINGLETON_FROM_MASTER
50	H3-S003	H3	f11r	R-D	KURZHAND	MC123	Y	dy	y	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
51	H3-S003	H3	f11r	R-D	KURZHAND	MC039	AIIN	daiin	aiin	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
52	H3-S004	H3	f11r	R-D	KURZHAND	MC107	OT+Y	qotchy	qotchy	YES	COPY_SINGLETON_FROM_MASTER
53	H3-S004	H3	f11r	R-D	KURZHAND	MC041	OK+OL	okchol	okchol	YES	COPY_SINGLETON_FROM_MASTER
54	H3-S004	H3	f11r	R-D	KURZHAND	MC161	CTH+Y	cthy	cthy	YES	MEMORIZE_SHARED_17
55	H3-S004	H3	f11r	R-D	KURZHAND	MC123	Y	dy	y	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
56	H4-S001	H4	f55v	R-D	KURZHAND	MC120	OK+AIIN	qokaiin	okaiin	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
57	H4-S001	H4	f55v	R-D	KURZHAND	MC039	AIIN	chaiin	aiin	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
58	H4-S001	H4	f55v	R-D	KURZHAND	MC047	Y+AIN	ykain	ykain	YES	COPY_SINGLETON_FROM_MASTER
59	H4-S001	H4	f55v	R-D	KURZHAND	MC148	Y+AIN	ykan	ykan	YES	COPY_SINGLETON_FROM_MASTER
60	H4-S001	H4	f55v	R-D	KURZHAND	MC100	ODY	ody	ody	YES	COPY_SINGLETON_FROM_MASTER
61	H4-S002	H4	f55v	R-D	KURZHAND	MC039	AIIN	daiin	aiin	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
62	H4-S002	H4	f55v	R-D	KURZHAND	MC074	CHD+Y	chedy	chdy	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
63	H4-S002	H4	f55v	R-D	KURZHAND	MC160	AL+AM	talam	talam	YES	COPY_SINGLETON_FROM_MASTER
64	H4-S003	H4	f55v	R-D	KURZHAND	MC170	Y+AIIN	ykaiin	ykaiin	YES	COPY_SINGLETON_FROM_MASTER
65	H4-S003	H4	f55v	R-D	KURZHAND	MC085	CHEO+AR	cheoar	cheoar	YES	COPY_SINGLETON_FROM_MASTER
66	H4-S003	H4	f55v	R-D	KURZHAND	MC032	CHK+EE+Y	cheeky	cheeky	YES	MEMORIZE_SHARED_17
67	H4-S003	H4	f55v	R-D	KURZHAND	MC019	OL+CLOSE	oldy	oldy	YES	MEMORIZE_SHARED_17
68	H4-S004	H4	f55v	R-D	KURZHAND	MC039	AIIN	aiin	aiin	YES	MEMORIZE_SHARED_17
69	H4-S004	H4	f55v	R-D	KURZHAND	MC040	OK+AL	okal	okal	YES	MEMORIZE_SHARED_17
70	H4-S004	H4	f55v	R-D	KURZHAND	MC021	OL+CTH+Y	oltchy	oltchy	YES	COPY_SINGLETON_FROM_MASTER
71	H4-S004	H4	f55v	R-D	KURZHAND	MC080	OR	or	or	YES	MEMORIZE_SHARED_17
72	H4-S004	H4	f55v	R-D	KURZHAND	MC123	Y	y	y	YES	MEMORIZE_SHARED_17
73	H4-S004	H4	f55v	R-D	KURZHAND	MC072	OR+AIN	orain	orain	YES	COPY_SINGLETON_FROM_MASTER
74	H5-S001	H5	f56r	R-C	S-FLUSSHAND	MC125	HO+OR	chochor	chochor	YES	COPY_SINGLETON_FROM_MASTER
75	H5-S001	H5	f56r	R-C	S-FLUSSHAND	MC034	HO	cho	sho	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_RECURRENT_SECTION_CARD
76	H5-S001	H5	f56r	R-C	S-FLUSSHAND	MC010	HO+AL+Y	chodaly	chodaly	YES	COPY_SINGLETON_FROM_MASTER
77	H5-S001	H5	f56r	R-C	S-FLUSSHAND	MC039	AIIN	daiin	saiin	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
78	H5-S001	H5	f56r	R-C	S-FLUSSHAND	MC034	HO	sho	sho	YES	MEMORIZE_RECURRENT_SECTION_CARD
79	H5-S001	H5	f56r	R-C	S-FLUSSHAND	MC090	KCH+OL	kchol	kchol	YES	COPY_SINGLETON_FROM_MASTER
80	H5-S001	H5	f56r	R-C	S-FLUSSHAND	MC013	OT+OR	otchor	otchor	YES	COPY_SINGLETON_FROM_MASTER
81	H5-S001	H5	f56r	R-C	S-FLUSSHAND	MC026	OK+Y	choky	choky	YES	MEMORIZE_SHARED_17
82	H5-S001	H5	f56r	R-C	S-FLUSSHAND	MC154	AL	dal	sal	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17
83	H5-S002	H5	f56r	R-C	S-FLUSSHAND	MC142	DCHOL	schol	schol	YES	COPY_SINGLETON_FROM_MASTER
84	H5-S002	H5	f56r	R-C	S-FLUSSHAND	MC131	HO+Y	choy	choy	YES	COPY_SINGLETON_FROM_MASTER
85	H5-S002	H5	f56r	R-C	S-FLUSSHAND	MC026	OK+Y	choky	choky	YES	MEMORIZE_SHARED_17
86	H5-S002	H5	f56r	R-C	S-FLUSSHAND	MC099	EE+CKH+HO+CLOSE	cheeckhody	cheeckhody	YES	COPY_SINGLETON_FROM_MASTER
87	H5-S003	H5	f56r	R-C	S-FLUSSHAND	MC114	SH	sh	sh	YES	COPY_SINGLETON_FROM_MASTER
88	H5-S003	H5	f56r	R-C	S-FLUSSHAND	MC034	HO	cho	sho	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_RECURRENT_SECTION_CARD
89	H5-S003	H5	f56r	R-C	S-FLUSSHAND	MC122	KCH+E+Y	kchey	kchey	YES	COPY_SINGLETON_FROM_MASTER
90	H5-S003	H5	f56r	R-C	S-FLUSSHAND	MC015	OK+OK+Y	qokokchy	qokokchy	YES	COPY_SINGLETON_FROM_MASTER
91	H5-S004	H5	f56r	R-C	S-FLUSSHAND	MC103	OK+Y	okchy	chokchy	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_RECURRENT_SECTION_CARD
92	H5-S004	H5	f56r	R-C	S-FLUSSHAND	MC006	OK+CHEO	chokcheo	chokcheo	YES	COPY_SINGLETON_FROM_MASTER
93	H5-S004	H5	f56r	R-C	S-FLUSSHAND	MC077	KCH+AL	kchal	kchal	YES	COPY_SINGLETON_FROM_MASTER
