record_unit_id	page	assigned_renderer	workshop_hand	day_start	day_end	event_count	surface_matches	page_exemplar_overrides	assignment_reason
H1	f10r	R-D	KURZHAND	4	5	14	10	4	highest or tied-highest simple renderer fit on this record; master hand retains final correction
H2	f10r	R-B	Q-EINTRITTSHAND	4	6	24	12	12	highest or tied-highest simple renderer fit on this record; master hand retains final correction
H3	f11r	R-D	KURZHAND	6	8	17	13	4	highest or tied-highest simple renderer fit on this record; master hand retains final correction
H4	f55v	R-D	KURZHAND	9	11	18	14	4	highest or tied-highest simple renderer fit on this record; master hand retains final correction
H5	f56r	R-C	S-FLUSSHAND	4	7	27	21	6	highest or tied-highest simple renderer fit on this record; master hand retains final correction
B1	f81v	R-D	KURZHAND	12	18	66	45	21	highest or tied-highest simple renderer fit on this record; master hand retains final correction
B2	f82r	R-B	Q-EINTRITTSHAND	7	12	62	54	8	highest or tied-highest simple renderer fit on this record; master hand retains final correction
B3	f83r	R-B	Q-EINTRITTSHAND	13	20	86	60	26	highest or tied-highest simple renderer fit on this record; master hand retains final correction
B4	f83r	R-C	S-FLUSSHAND	8	13	47	35	12	highest or tied-highest simple renderer fit on this record; master hand retains final correction
B5	f83r	R-A	VORLAGENHAND	4	5	11	8	3	highest or tied-highest simple renderer fit on this record; master hand retains final correction
B6	f83r	R-D	KURZHAND	19	20	9	7	2	highest or tied-highest simple renderer fit on this record; master hand retains final correction
