phrase_id	statement_id	record_unit_id	page	visible_owner	window_start_event	visible_window	card_value_window	axis_signature	working_phrase_de
P01	B3-S003	B3	f83r	obere offene Fächer-Randstation	E232	chey daiin chey	dies > Sollwert > dies	Y > AIIN > Y	zwei aktuelle Posten unter demselben vorgeschriebenen Wert
P01	H2-S001	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E021	chy taiin shy	dies > Sollwert > dies	Y > AIIN > Y	zwei aktuelle Posten unter demselben vorgeschriebenen Wert
P02	B1-S016	B1	f81v	gemeinsames zweireihiges Figuren-/Beckenfeld	E153	okeey qol cheedy	lange einwirken > weiter > kurz absetzen; Schluss	OK+Y > OL > DY	einen aktiven Gang fortsetzen und schließen
P02	B4-S003	B4	f83r	Hauptpaar am sichtbaren ungerichteten Bogen	E323	qoky tol shedy	einsetzen > weiter > kurz absetzen; Schluss	OK+Y > OL > DY	einen aktiven Gang fortsetzen und schließen
P03	B1-S002	B1	f81v	gemeinsames zweireihiges Figuren-/Beckenfeld	E109	al ol rol	dorthin > weiter > Anschluss	AL > OL > OL	am Ziel in demselben Weg weitergehen
P03	B5-S003	B5	f83r	linker offener Fransen-Endposten	E365	dal cheol lol	dorthin > weiter > Weiterabzug	AL > OL > OL	am Ziel in demselben Weg weitergehen
P04	B1-S002	B1	f81v	gemeinsames zweireihiges Figuren-/Beckenfeld	E118	daiin chckhy schedy	Sollwert > durchleiten > überführen; Schluss	AIIN > Y > CHED~CHD	einen bemessenen Posten in den nächsten Ort überführen
P04	B3-S003	B3	f83r	obere offene Fächer-Randstation	E233	daiin chey lchedy	Sollwert > dies > abführen; Schluss	AIIN > Y > CHED~CHD	einen bemessenen Posten in den nächsten Ort überführen
P05	B4-S008	B4	f83r	Hauptpaar am sichtbaren ungerichteten Bogen	E332	saiin cheeky sheey	Sollwert > länger bearbeiten > Langhalt	AIIN > Y > Y	zwei Phasen oder Portionen unter einem Sollwert
P05	H4-S001	H4	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	E057	chaiin ykain ykan	Sollwert > erste Portion > zweite Portion	AIIN > Y > Y	zwei Phasen oder Portionen unter einem Sollwert
P06	H2-S001	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E020	dy chy taiin	dies > dies > Sollwert	Y > Y > AIIN	aktiven Posten wiederaufnehmen und bemessen
P06	H3-S003	H3	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	E049	kchy dy daiin	Bearbeiten > dies > Sollwert	Y > Y > AIIN	aktiven Posten wiederaufnehmen und bemessen
