edition	iris_code	xiphion_code	page_pairs	acorus_triples	four_page_assignments
IT2a	c	k	20	1940	184504
IT2a	c	kc	2	194	18448
IT2a	c	kch	2	194	18448
IT2a	c	ks	7	676	64016
IT2a	c	ksh	5	481	45376
IT2a	c	o	3	292	27864
IT2a	c	ok	2	195	18640
IT2a	c	okc	1	97	9224
IT2a	c	okch	1	97	9224
IT2a	c	ot	1	97	9224
IT2a	c	otc	1	97	9224
IT2a	c	otch	1	97	9224
IT2a	c	otcha	1	97	9224
IT2a	c	p	45	4371	416232
IT2a	c	pc	20	1943	185056
IT2a	c	pch	20	1943	185056
IT2a	c	pche	8	778	74176
IT2a	c	py	3	291	27672
IT2a	c	pyd	1	97	9224
IT2a	c	t	22	2134	202952
IT2a	c	ta	1	97	9224
IT2a	c	tc	5	485	46132
IT2a	c	tch	5	485	46132
IT2a	c	tchy	1	97	9224
IT2a	c	to	6	580	54972
IT2a	c	tol	3	289	27300
IT2a	c	ty	1	97	9224
IT2a	ct	k	17	1099	104705
IT2a	ct	kc	2	128	12180
IT2a	ct	kch	2	128	12180
IT2a	ct	ks	5	324	30766
IT2a	ct	ksh	3	195	18427
IT2a	ct	o	2	128	12180
IT2a	ct	ok	1	64	6090
IT2a	ct	okc	1	64	6090
IT2a	ct	okch	1	64	6090
IT2a	ct	ot	1	64	6090
IT2a	ct	otc	1	64	6090
IT2a	ct	otch	1	64	6090
IT2a	ct	otcha	1	64	6090
IT2a	ct	p	37	2386	227296
IT2a	ct	pc	16	1030	98138
IT2a	ct	pch	16	1030	98138
IT2a	ct	pche	5	322	30704
IT2a	ct	py	3	194	18460
IT2a	ct	pyd	1	66	6280
IT2a	ct	t	13	842	80248
IT2a	ct	ta	1	65	6185
IT2a	ct	tc	2	130	12498
IT2a	ct	tch	2	130	12498
IT2a	ct	to	3	194	18332
IT2a	ct	tol	1	65	6057
IT2a	ct	ty	1	64	6090
IT2a	cth	k	17	1049	99934
IT2a	cth	kc	2	122	11608
IT2a	cth	kch	2	122	11608
IT2a	cth	ks	5	310	29436
IT2a	cth	ksh	3	186	17575
IT2a	cth	o	2	122	11608
IT2a	cth	ok	1	61	5804
IT2a	cth	okc	1	61	5804
IT2a	cth	okch	1	61	5804
IT2a	cth	ot	1	61	5804
IT2a	cth	otc	1	61	5804
IT2a	cth	otch	1	61	5804
IT2a	cth	otcha	1	61	5804
IT2a	cth	p	37	2277	216892
IT2a	cth	pc	16	983	93651
IT2a	cth	pch	16	983	93651
IT2a	cth	pche	5	307	29271
IT2a	cth	py	3	185	17602
IT2a	cth	pyd	1	63	5994
IT2a	cth	t	13	804	76619
IT2a	cth	ta	1	62	5899
IT2a	cth	tc	2	124	11920
IT2a	cth	tch	2	124	11920
IT2a	cth	to	3	185	17480
IT2a	cth	tol	1	62	5777
IT2a	cth	ty	1	61	5804
IT2a	ctho	cths	1	24	2283
IT2a	ctho	k	11	280	26735
IT2a	ctho	ks	3	76	7255
IT2a	ctho	ksh	2	50	4756
IT2a	ctho	o	2	49	4661
IT2a	ctho	ok	1	24	2283
IT2a	ctho	okc	1	24	2283
IT2a	ctho	okch	1	24	2283
IT2a	ctho	ot	1	25	2378
IT2a	ctho	otc	1	25	2378
IT2a	ctho	otch	1	25	2378
IT2a	ctho	otcha	1	25	2378
IT2a	ctho	p	25	634	60381
IT2a	ctho	pc	10	252	23994
IT2a	ctho	pch	10	252	23994
IT2a	ctho	pche	1	24	2283
IT2a	ctho	py	2	52	4946
IT2a	ctho	pyd	1	26	2473
IT2a	ctho	t	9	228	21765
IT2a	ctho	tc	1	26	2499
IT2a	ctho	tch	1	26	2499
IT2a	ctho	to	2	51	4851
IT2a	ctho	ty	1	24	2283
IT2a	cthod	k	7	13	1246
IT2a	cthod	ks	1	2	193
IT2a	cthod	p	8	14	1340
IT2a	cthod	pc	6	11	1053
IT2a	cthod	pch	6	11	1053
IT2a	cthod	pche	1	1	96
IT2a	cthod	t	4	8	766
IT2a	cthod	to	1	2	191
IT2a	cthod	ty	1	2	191
IT2a	k	c	21	1992	189159
IT2a	k	ct	21	1992	189159
IT2a	k	cth	21	1992	189159
IT2a	k	ctho	8	762	72644
IT2a	k	cthod	2	191	18256
IT2a	k	f	24	2278	216482
IT2a	k	fa	1	93	8665
IT2a	k	fai	1	93	8665
IT2a	k	faii	1	93	8665
IT2a	k	fc	9	858	81867
IT2a	k	fch	9	858	81867
IT2a	k	fcho	6	573	54768
IT2a	k	fo	2	193	18638
IT2a	k	o	21	1999	190487
IT2a	k	ok	14	1335	127434
IT2a	k	okc	5	476	45355
IT2a	k	okch	5	476	45355
IT2a	k	okche	2	191	18256
IT2a	k	oke	4	383	36712
IT2a	k	okeo	2	193	18638
IT2a	k	okeod	1	96	9223
IT2a	k	ot	7	664	63053
IT2a	k	otc	6	569	54020
IT2a	k	otch	6	569	54020
IT2a	k	otcha	2	190	18066
IT2a	k	otchal	1	95	9033
IT2a	k	p	313	29739	2827951
IT2a	k	pa	4	382	36512
IT2a	k	pai	1	95	9033
IT2a	k	paii	1	95	9033
IT2a	k	paiin	1	95	9033
IT2a	k	pc	113	10740	1021330
IT2a	k	pch	113	10740	1021330
IT2a	k	pcha	2	191	18161
IT2a	k	pchai	1	95	9033
IT2a	k	pche	23	2191	208899
IT2a	k	pched	1	95	9033
IT2a	k	pcheda	1	95	9033
IT2a	k	pcheo	5	477	45545
IT2a	k	pcheod	3	287	27479
IT2a	k	pcheoda	1	96	9223
IT2a	k	pchey	1	95	9033
IT2a	k	pcho	16	1522	144908
IT2a	k	pchoc	1	95	9033
IT2a	k	pchoct	1	95	9033
IT2a	k	pchocth	1	95	9033
IT2a	k	pchocthy	1	95	9033
IT2a	k	pd	3	285	27099
IT2a	k	pda	1	95	9033
IT2a	k	pdai	1	95	9033
IT2a	k	ps	5	465	43325
IT2a	k	psh	5	465	43325
IT2a	k	psho	1	93	8665
IT2a	k	pshol	1	93	8665
IT2a	k	py	3	285	27099
IT2a	k	t	151	14331	1361691
IT2a	k	ta	3	283	26731
IT2a	k	tar	1	93	8665
IT2a	k	tc	34	3229	307044
IT2a	k	tch	34	3229	307044
IT2a	k	tche	3	286	27289
IT2a	k	tcho	9	855	81333
IT2a	k	tchoc	1	96	9223
IT2a	k	tchod	2	189	17888
IT2a	k	tchoda	1	96	9223
IT2a	k	tchodar	1	96	9223
IT2a	k	tchody	1	93	8665
IT2a	k	tchy	4	381	36322
IT2a	k	tchyd	2	190	18066
IT2a	k	te	4	379	35954
IT2a	k	to	40	3784	358408
IT2a	k	toc	1	95	9033
IT2a	k	tol	18	1701	160952
IT2a	k	told	4	380	36132
IT2a	k	tor	4	382	36512
IT2a	k	torc	1	95	9033
IT2a	k	torch	1	95	9033
IT2a	k	tors	1	96	9223
IT2a	k	ts	7	667	63611
IT2a	k	tsh	7	667	63611
IT2a	k	tsho	5	477	45545
IT2a	k	tshol	1	96	9223
IT2a	k	ty	3	283	26731
IT2a	ko	c	3	136	13077
IT2a	ko	ct	3	136	13077
IT2a	ko	cth	3	136	13077
IT2a	ko	ctho	2	90	8654
IT2a	ko	cthod	1	45	4327
IT2a	ko	f	3	137	13219
IT2a	ko	fc	2	91	8750
IT2a	ko	fch	2	91	8750
IT2a	ko	fcho	2	91	8750
IT2a	ko	fo	1	46	4469
IT2a	ko	kc	1	44	4231
IT2a	ko	kch	1	44	4231
IT2a	ko	kche	1	44	4231
IT2a	ko	ks	4	177	16852
IT2a	ko	ksh	4	177	16852
IT2a	ko	kshe	1	44	4147
IT2a	ko	o	3	135	13025
IT2a	ko	ok	2	91	8794
IT2a	ko	okc	1	46	4423
IT2a	ko	okch	1	46	4423
IT2a	ko	okche	1	46	4423
IT2a	ko	oke	1	45	4371
IT2a	ko	okeo	1	45	4371
IT2a	ko	ot	1	44	4231
IT2a	ko	otc	1	44	4231
IT2a	ko	otch	1	44	4231
IT2a	ko	p	34	1537	148056
IT2a	ko	pa	1	45	4327
