prediction_id	predicted_components	matched_surfaces	registered_actual_atoms	reconciliation_verdict	revised_workshop_use
P01	OK+AIIN	okaiin,qokaiin	OK+AIIN	SUPPORTED_EXACT_COMPONENT_SEQUENCE	retain composition
P02	OK+AIN	okain,qokain	OK+AIN	SUPPORTED_EXACT_COMPONENT_SEQUENCE	retain composition
P03	OK+AL	okal,qokal	OK+AL	SUPPORTED_EXACT_COMPONENT_SEQUENCE	retain composition
P04	OK+AR	qokar	OK+AR	SUPPORTED_EXACT_COMPONENT_SEQUENCE	retain composition
P05	OK+AIR	okair	OK+AIR	SUPPORTED_EXACT_COMPONENT_SEQUENCE	retain composition
P06	OK+Y	okchy,oky,qokchy,qoky	OK+Y	SUPPORTED_EXACT_COMPONENT_SEQUENCE	retain composition
P07	OK+E+Y	okey,qokey	OK+E+Y	SUPPORTED_EXACT_COMPONENT_SEQUENCE	retain composition
P08	OK+EE+Y	okeey,qokeey	OK+EE+Y	SUPPORTED_EXACT_COMPONENT_SEQUENCE	retain composition
P09	OK+E+CLOSE	qokedy	OK+E+CLOSE	SUPPORTED_EXACT_COMPONENT_SEQUENCE	retain composition
P10	OK+EE+CLOSE	qokeedy	OK+EE+CLOSE	SUPPORTED_EXACT_COMPONENT_SEQUENCE	retain composition
P11	OK+EEE+CLOSE	qokeeedy	OK+EEE+CLOSE	SUPPORTED_EXACT_COMPONENT_SEQUENCE	retain composition
P12	OT+AL	otal,qotal	OT+AL	SUPPORTED_EXACT_COMPONENT_SEQUENCE	retain composition
P13	OL+OR	cholor,olor	OL+OR	SUPPORTED_EXACT_COMPONENT_SEQUENCE	retain composition
P14	OT+OR	otchor,qotchor	OT+OR	SUPPORTED_EXACT_COMPONENT_SEQUENCE	retain composition
P15	CHD+Y	chdy,chedy	CHD+Y	SUPPORTED_EXACT_COMPONENT_SEQUENCE	retain composition
P16	CHD+AL	chdal,lchedal,pchedal	CHD+AL|L+CHD+AL|P+CHD+AL	SUPPORTED_INSIDE_LICENSED_OUTER_FRAME	retain composition
P17	CHD+AR	cheedar,lchedar	CHD+AR|L+CHD+AR	SUPPORTED_INSIDE_LICENSED_OUTER_FRAME	retain composition
P18	CKH+Y	chckhy	CKH+Y	SUPPORTED_EXACT_COMPONENT_SEQUENCE	retain composition
P19	CKH+E+CLOSE	lcheckhedy,shckhedy	CKHE+CLOSE|L+CKHE+CLOSE	WITHDRAW_MATCH__RENDERER_ALIAS_NOT_COMPOUND	use registered whole-card/allograph value
P20	SHED+CLOSE	schedy,shedy,sheedy	CHD+CLOSE|SHED+E+CLOSE|SHED+EE+CLOSE	MIXED_SURFACE_FAMILY_REQUIRES_WHOLE_CARD_CHECK	use registered whole-card/allograph value
P21	SOLK+AIIN	solkaiin	SOLK+AIIN	SUPPORTED_EXACT_COMPONENT_SEQUENCE	retain composition
P22	CHEO+AR	cheoar	CHEO+AR	SUPPORTED_EXACT_COMPONENT_SEQUENCE	retain composition
P23	HO+AIIN	chodaiin	HO+AIIN	SUPPORTED_EXACT_COMPONENT_SEQUENCE	retain composition
P24	TY+AIIN	taiin	AIIN	WITHDRAW_MATCH__RENDERER_ALIAS_NOT_COMPOUND	use registered whole-card/allograph value
P27	CTH+AIIN	cthaiin	CTH+AIIN	SUPPORTED_EXACT_COMPONENT_SEQUENCE	retain composition
P31	KCH+AL	chckhal,kchal	CKH+AL|KCH+AL	MIXED_SURFACE_FAMILY_REQUIRES_WHOLE_CARD_CHECK	use registered whole-card/allograph value
P33	HO+AL	schoal	HO+AL	SUPPORTED_EXACT_COMPONENT_SEQUENCE	retain composition
