head	head_value_de	tail_class	tail_value_de	cell_status	observed_master_cards	observed_events	observed_surfaces	forward_sequences	economical_reading_de
OK	ansetzen	BARE	NONE	NO_LICENSED_COMBINATION_YET	0	0	NONE	NONE	ansetzen
OK	ansetzen	Y	dies	FILLED_VISIBLE_CELL	2	13	chokchy|choky|okchy|oky|qokchy|qoky	NONE	ansetzen dies
OK	ansetzen	CLOSE	Schluss	NO_LICENSED_COMBINATION_YET	0	0	NONE	NONE	ansetzen Schluss
OK	ansetzen	AIIN	Sollmaß	FILLED_VISIBLE_CELL	1	9	okaiin|qokaiin	NONE	ansetzen Sollmaß
OK	ansetzen	AIN	Anteil	FILLED_VISIBLE_CELL	1	7	okain|qokain	NONE	ansetzen Anteil
OK	ansetzen	IIN	Stufe	FORWARD_PRODUCTIVE_GAP	0	0	NONE	OK+IIN	ansetzen Stufe
OK	ansetzen	AL	Ziel	FILLED_VISIBLE_CELL	1	6	okal|qokal	NONE	ansetzen Ziel
OK	ansetzen	AR	Quelle	FILLED_VISIBLE_CELL	1	1	qokar	NONE	ansetzen Quelle
OK	ansetzen	AIR	Lauf	FILLED_VISIBLE_CELL	1	1	okair	NONE	ansetzen Lauf
OK	ansetzen	OR	Ansatz	FORWARD_PRODUCTIVE_GAP	0	0	NONE	OK+OR	ansetzen Ansatz
OK	ansetzen	GRADED_Y	kurz/länger/voll und offen	FILLED_VISIBLE_CELL	2	9	okeey|okey|qokeey|qokey	NONE	ansetzen kurz/länger/voll und offen
OK	ansetzen	GRADED_CLOSE	kurz/länger/voll und Schluss	FILLED_VISIBLE_CELL	3	19	qokedy|qokeedy|qokeeedy	NONE	ansetzen kurz/länger/voll und Schluss
OT	danach	BARE	NONE	NO_LICENSED_COMBINATION_YET	0	0	NONE	NONE	danach
OT	danach	Y	dies	FILLED_VISIBLE_CELL	2	3	otchey|qotchy	NONE	danach dies
OT	danach	CLOSE	Schluss	NO_LICENSED_COMBINATION_YET	0	0	NONE	NONE	danach Schluss
OT	danach	AIIN	Sollmaß	FILLED_VISIBLE_CELL	1	3	otaiin|sotaiin	NONE	danach Sollmaß
OT	danach	AIN	Anteil	FORWARD_PRODUCTIVE_GAP	0	0	NONE	OT+AIN	danach Anteil
OT	danach	IIN	Stufe	NO_LICENSED_COMBINATION_YET	0	0	NONE	NONE	danach Stufe
OT	danach	AL	Ziel	FILLED_VISIBLE_CELL	1	3	otal|qotal	NONE	danach Ziel
OT	danach	AR	Quelle	FILLED_VISIBLE_CELL	1	1	otar	NONE	danach Quelle
OT	danach	AIR	Lauf	FORWARD_PRODUCTIVE_GAP	0	0	NONE	OT+AIR	danach Lauf
OT	danach	OR	Ansatz	FILLED_VISIBLE_CELL	1	2	otchor|qotchor	NONE	danach Ansatz
OT	danach	GRADED_Y	kurz/länger/voll und offen	FILLED_VISIBLE_CELL	1	2	oteey	NONE	danach kurz/länger/voll und offen
