head	minimal_value_de	filled_grid_cells	forward_gap_cells	other_complex_card_types	grid_master_card_types	grid_events	productivity_tier	apprentice_rule
OK	ansetzen	8	2	12	12	65	BROAD_PRODUCTIVE_PARADIGM	compose routinely; check long-card collisions
OT	danach	7	2	7	9	18	BROAD_PRODUCTIVE_PARADIGM	compose routinely; check long-card collisions
OL	weiter	5	3	3	7	28	BOUNDED_PRODUCTIVE_PARADIGM	compose only listed tail classes
L	abführen	5	0	9	7	8	BOUNDED_PRODUCTIVE_PARADIGM	compose only listed tail classes
CHD	umsetzen	5	2	0	7	20	BOUNDED_PRODUCTIVE_PARADIGM	compose only listed tail classes
CTH	bereit	4	2	3	5	12	BOUNDED_PRODUCTIVE_PARADIGM	compose only listed tail classes
CKH	Durchlass	3	2	1	3	6	NARROW_RECURRENT_PATTERN	learn the attested mini-family; predict cautiously
CHK	wärmen	2	1	0	4	7	NARROW_RECURRENT_PATTERN	learn the attested mini-family; predict cautiously
SHED	absetzen	3	1	0	5	17	NARROW_RECURRENT_PATTERN	learn the attested mini-family; predict cautiously
SOLK	sammeln	3	2	0	4	6	NARROW_RECURRENT_PATTERN	learn the attested mini-family; predict cautiously
HO	Zutat	6	2	3	6	9	BOUNDED_PRODUCTIVE_PARADIGM	compose only listed tail classes
CHEO	Auszug	1	1	0	2	2	WHOLE_CARD_FIRST	memorize exact cards; component value is only a hint
KCH	bearbeiten	3	1	1	4	4	NARROW_RECURRENT_PATTERN	learn the attested mini-family; predict cautiously
TY	Teil	0	2	0	0	0	WHOLE_CARD_FIRST	memorize exact cards; component value is only a hint
SH	halten	3	0	3	3	3	NARROW_RECURRENT_PATTERN	learn the attested mini-family; predict cautiously
