unified_serial	source_kind	section	unit_id	page	locus_or_field	source_id	visible_owner	visible_surface	normalized_id	primary_layer	portable_core_value_de	local_expansion_de	component_axes	layer_rule_de	r221_revision
1	PROSE_EVENT	HERBAL	H1	f10r	F001	E001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	dchey	MC071	LOCAL_WHOLE_CARD	NONE	Wurzel	NONE	gelernte lokale Prosa-Ganzkarte	UNCHANGED
2	PROSE_EVENT	HERBAL	H1	f10r	F001	E002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	cthoor	MC158	LOCAL_CARD_WITH_COMMON_AXIS	NONE	Vorbereitung	OR+CTH	lokale Prosakarte, die mindestens eine gemeinsame Achse enthält	UNCHANGED
3	PROSE_EVENT	HERBAL	H1	f10r	F001	E003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	char	MC055	COMMON_PORTABLE_CARD	davon	davon	AR	exakte Karte mit demselben Kernwert in Herbal, Bio und Astro	UNCHANGED
4	PROSE_EVENT	HERBAL	H1	f10r	F001	E004	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chty	MC086	PROSE_COMPONENT_CARD	NONE	Teil	TY	komponierte Herbal/Bio-Karte ohne derzeit portablen Astro-Ganzwert	UNCHANGED
5	PROSE_EVENT	HERBAL	H1	f10r	F001	E005	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	os	MC159	LOCAL_WHOLE_CARD	NONE	Aufnahmegefäß	NONE	gelernte lokale Prosa-Ganzkarte	UNCHANGED
6	PROSE_EVENT	HERBAL	H1	f10r	F001	E006	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chair	MC014	PROSE_COMPONENT_CARD	NONE	Zuguss	AIR	komponierte Herbal/Bio-Karte ohne derzeit portablen Astro-Ganzwert	UNCHANGED
7	PROSE_EVENT	HERBAL	H1	f10r	F001	E007	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	otytchol	MC069	LOCAL_CARD_WITH_COMMON_AXIS	NONE	Folgeteil	OL+OT+TY	lokale Prosakarte, die mindestens eine gemeinsame Achse enthält	UNCHANGED
8	PROSE_EVENT	HERBAL	H1	f10r	F001	E008	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	oky	MC026	COMMON_PORTABLE_CARD	einsetzen	einsetzen	OK+Y	exakte Karte mit demselben Kernwert in Herbal, Bio und Astro	UNCHANGED
9	PROSE_EVENT	HERBAL	H1	f10r	F001	E009	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	daiin	MC039	COMMON_PORTABLE_CARD	Sollwert	Sollmaß	AIIN	exakte Karte mit demselben Kernwert in Herbal, Bio und Astro	UNCHANGED
10	PROSE_EVENT	HERBAL	H1	f10r	F001	E010	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	etyd	MC108	PROSE_COMPONENT_CARD	NONE	kleiner Rest	E+TY	komponierte Herbal/Bio-Karte ohne derzeit portablen Astro-Ganzwert	UNCHANGED
11	PROSE_EVENT	HERBAL	H1	f10r	F002	E011	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qokchy	MC103	LOCAL_CARD_WITH_COMMON_AXIS	NONE	weiterbearbeiten	OK+Y	lokale Prosakarte, die mindestens eine gemeinsame Achse enthält	UNCHANGED
