master_card_id	master_form	registered_surfaces	surface_count	current_value_de	syntactic_type	event_count	records	component_class	component_formula	component_reading_snapshot_de	teaching_symbol	reader_normalization_families	previous_current_value_de	r221_revision
MC001	chdal	chdal	1	Zieltransfer	LEARNED_TRANSFER_OR_ADDRESS	1	B5	PRODUCTIVE_COMPOSITION	CHD_TRANSFER+AL_TO	dort umsetzen	P	MASTER_ONLY	Zieltransfer	UNCHANGED
MC002	okeey	okeey|qokeey	2	lange einwirken	DURATIVE_ACTION	7	B1|B2|B3|B4	PRODUCTIVE_COMPOSITION	OK_SET+GRADE_2+Y_CURRENT_ITEM	länger ansetzen	P	R1_Q_ACTIVE	lange einwirken	UNCHANGED
MC003	sheedy	sheedy	1	Langabsetzen; Schluss	LEARNED_PROCESS_OR_STATE	1	B3	PRODUCTIVE_COMPOSITION	SHED_SETTLE+GRADE_2+DY_CLOSE	länger absetzen; Schluss	P	MASTER_ONLY	Langabsetzen; Schluss	UNCHANGED
MC004	ldy	ldy	1	abziehen; Schluss	TERMINAL_ACTION	2	B2|B3	PRODUCTIVE_COMPOSITION	L_OUT+CLOSE_EXACT	abziehen; Ende	P	MASTER_ONLY	abziehen; Schluss	UNCHANGED
MC005	okchedy	okchedy|qokchedy	2	einführen; Schluss	TERMINAL_ACTION	2	B1|B3	PRODUCTIVE_COMPOSITION	OK+CHED_TRANSFER+CLOSE	umsetzen; Schluss	P	R1_Q_ACTIVE	einführen; Schluss	UNCHANGED
MC006	chokcheo	chokcheo	1	Auszug einsetzen	LEARNED_LOCAL_ACTION	1	H5	PRODUCTIVE_COMPOSITION	CH_RENDERER+OK_ADD+CHEO_EXTRACT	Auszug zugeben	P	MASTER_ONLY	Auszug einsetzen	UNCHANGED
MC007	okey	okey|qokey	2	kurz einwirken	DURATIVE_ACTION	2	B1|B2	PRODUCTIVE_COMPOSITION	OK_SET+GRADE_1+Y_CURRENT_ITEM	kurz ansetzen	P	R1_Q_ACTIVE	kurz einwirken	UNCHANGED
MC008	lchy	lchy	1	Abführgut	LEARNED_TRANSFER_OR_ADDRESS	1	B2	PRODUCTIVE_COMPOSITION	LCH_WITHDRAW+Y_ITEM	abziehen	P	MASTER_ONLY	Abführgut	UNCHANGED
MC009	chary	chary	1	Quellposten	LEARNED_TRANSFER_OR_ADDRESS	1	B3	PRODUCTIVE_COMPOSITION	AR_FROM+Y_CURRENT	daraus	P	MASTER_ONLY	Quellposten	UNCHANGED
MC010	chodaly	chodaly	1	Zielzugabe	LEARNED_OBJECT	1	H5	PRODUCTIVE_COMPOSITION	HO_INGREDIENT+AL_TO+Y_ITEM	Zutat dorthin	P	MASTER_ONLY	Zielzugabe	UNCHANGED
