event_id	statement_id	record_unit_id	page	field_id	field_position	visible_surface	normalized_master_form	master_card_id	portable_value_de	normalization_rule	field_frame_mode	visible_owner	terminal_status	previous_portable_value_de	r221_revision
E001	H1-S001	H1	f10r	F001	1	dchey	dchey	MC071	Wurzel	MASTER_FORM	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	Wurzel	UNCHANGED
E002	H1-S001	H1	f10r	F001	2	cthoor	cthoor	MC158	Vorbereitung	MASTER_FORM	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	Vorbereitung	UNCHANGED
E003	H1-S001	H1	f10r	F001	3	char	char	MC055	davon	MASTER_FORM	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	davon	UNCHANGED
E004	H1-S001	H1	f10r	F001	4	chty	chety	MC086	Teil	R10_PAIRED_ALLOGRAPH	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	Teil	UNCHANGED
E005	H1-S001	H1	f10r	F001	5	os	os	MC159	Aufnahmegefäß	MASTER_FORM	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	Aufnahmegefäß	UNCHANGED
E006	H1-S001	H1	f10r	F001	6	chair	chair	MC014	Zuguss	MASTER_FORM	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	Zuguss	UNCHANGED
E007	H1-S001	H1	f10r	F001	7	otytchol	otytchol	MC069	Folgeteil	MASTER_FORM	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	Folgeteil	UNCHANGED
E008	H1-S001	H1	f10r	F001	8	oky	choky	MC026	einsetzen	R10_PAIRED_ALLOGRAPH	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	einsetzen	UNCHANGED
E009	H1-S001	H1	f10r	F001	9	daiin	aiin	MC039	Sollwert	R2_AIIN_MEASURE	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	Sollwert	UNCHANGED
E010	H1-S001	H1	f10r	F001	10	etyd	etyd	MC108	kleiner Rest	MASTER_FORM	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	kleiner Rest	UNCHANGED
E011	H1-S002	H1	f10r	F002	1	qokchy	chokchy	MC103	weiterbearbeiten	R1_Q_ACTIVE	MIXED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	weiterbearbeiten	UNCHANGED
E012	H1-S002	H1	f10r	F002	2	qotchol	qotchol	MC163	Folgegang	MASTER_FORM	MIXED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	Folgegang	UNCHANGED
E013	H1-S002	H1	f10r	F002	3	chol	cheol	MC153	weiter	R5_OL_CONTINUE	MIXED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	weiter	UNCHANGED
