statement_id	record_unit_id	visible_owner	visible_sequence	layered_card_reading	fluent_owner_expansion_de	event_count	common_portable_count	local_common_axis_count	prose_extension_count	whole_or_local_count	r218_editorial_status	r218_owner_expansion_de	r221_literal_card_reading	r221_owner_expansion_de	r221_revision
H1-S001	H1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	dchey cthoor char chty os chair otytchol oky daiin etyd	[GANZKARTE:Wurzel] [ACHSE:OR+CTH→Vorbereitung] [KERN:davon] [PROSA:Teil] [GANZKARTE:Aufnahmegefäß] [PROSA:Zuguss] [ACHSE:OL+OT+TY→Folgeteil] [KERN:einsetzen] [KERN:Sollwert] [PROSA:kleiner Rest]	Die Wurzel der Bildpflanze nehmen, einen Teil im Aufnahmegefäß vorbereiten, Flüssigkeit zugießen, den Folgeteil einsetzen, auf Sollmaß bringen und einen kleinen Rest belassen.	10	3	2	3	2	TIGHTENED	Wurzel nehmen, Teil im Aufnahmegefäß vorbereiten, zugießen, Folgeteil einsetzen, auf Sollwert bringen und kleinen Rest belassen.	Wurzel | Vorbereitung | davon | Teil | Aufnahmegefäß | Zuguss | Folgeteil | einsetzen | Sollwert | kleiner Rest	Wurzel nehmen, Teil im Aufnahmegefäß vorbereiten, zugießen, Folgeteil einsetzen, auf Sollwert bringen und kleinen Rest belassen.	UNCHANGED
H1-S002	H1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qokchy qotchol chol cthy	[ACHSE:OK+Y→weiterbearbeiten] [ACHSE:OL+OT→Folgegang] [KERN:weiter] [ACHSE:Y+CTH→bereit]	Die erste Charge weiterbearbeiten, im Folgegang weiterführen und als bereit halten.	4	1	3	0	0	UNCHANGED	Die erste Charge weiterbearbeiten, im Folgegang weiterführen und als bereit halten.	weiterbearbeiten | Folgegang | weiter | bereit	Die erste Charge weiterbearbeiten, im Folgegang weiterführen und als bereit halten.	UNCHANGED
H2-S001	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	[ACHSE:Y+OR+CHEO→Auszugsansatz] [ACHSE:Y+CTH→bereit] [KERN:Ansatz] [ACHSE:AIIN+CTH→Sollvorbereitung] [ACHSE:OL+Y+CTH→bereiter Folgeposten] [KERN:dies] [KERN:dies] [KERN:Sollwert] [KERN:dies]	Aus dem bereiten Auszugsansatz die nächste Charge ansetzen, den bereiten Folgeposten wählen und diesen auf Sollmaß bringen.	9	5	4	0	0	UNCHANGED	Aus dem bereiten Auszugsansatz die nächste Charge ansetzen, den bereiten Folgeposten wählen und diesen auf Sollmaß bringen.	Auszugsansatz | bereit | Ansatz | Sollvorbereitung | bereiter Folgeposten | dies | dies | Sollwert | dies	Aus dem bereiten Auszugsansatz die nächste Charge ansetzen, den bereiten Folgeposten wählen und diesen auf Sollmaß bringen.	UNCHANGED
H2-S002	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qotchor chor otol chol cholor chol daiin dar	[ACHSE:OT+OR→Folgeansatz] [KERN:Ansatz] [ACHSE:OL+OT→Fortgang] [KERN:weiter] [KERN:derselbe Ansatz] [KERN:weiter] [KERN:Sollwert] [KERN:davon]	Den Folgeansatz und denselben aktiven Ansatz weiterführen, davon eine Sollmenge nehmen und die Folge beibehalten.	8	6	2	0	0	UNCHANGED	Den Folgeansatz und denselben aktiven Ansatz weiterführen, davon eine Sollmenge nehmen und die Folge beibehalten.	Folgeansatz | Ansatz | Fortgang | weiter | derselbe Ansatz | weiter | Sollwert | davon	Den Folgeansatz und denselben aktiven Ansatz weiterführen, davon eine Sollmenge nehmen und die Folge beibehalten.	UNCHANGED
H2-S003	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	oykchor shor chor chy kaiiin dy chodaiin	[GANZKARTE:Zubereitungsgefäß] [KERN:Ansatz] [KERN:Ansatz] [KERN:dies] [PROSA:Bearbeitungsstufe] [KERN:dies] [ACHSE:AIIN+HO→Zugabemaß]	Im Zubereitungsgefäß den Ansatz in der Bearbeitungsstufe bearbeiten und die vorgeschriebene Zugabemenge einsetzen.	7	4	1	1	1	UNCHANGED	Im Zubereitungsgefäß den Ansatz in der Bearbeitungsstufe bearbeiten und die vorgeschriebene Zugabemenge einsetzen.	Zubereitungsgefäß | Ansatz | Ansatz | dies | Bearbeitungsstufe | dies | Zugabemaß	Im Zubereitungsgefäß den Ansatz in der Bearbeitungsstufe bearbeiten und die vorgeschriebene Zugabemenge einsetzen.	UNCHANGED
H3-S001	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	tshol schoal cfhy shfydaiin cphy shey tchody	[PROSA:Kochgut] [ACHSE:AL+HO→Sudansatz] [GANZKARTE:auswringen] [ACHSE:AIIN→Stehzeit] [GANZKARTE:nachseihen] [KERN:Ergebnis] [GANZKARTE:kalt stellen; Schluss]	Das Kochgut in einem Sud ansetzen, auswringen, eine Stehzeit abwarten, nachseihen, den Klarlauf abnehmen und kalt stellen; Schluss.	7	1	2	1	3	TIGHTENED	Kochgut zum Sud ansetzen, auswringen, Stehzeit abwarten, nachseihen, Freigabewert abnehmen und kalt stellen; Schluss.	Kochgut | Sudansatz | auswringen | Stehzeit | nachseihen | Ergebnis | kalt stellen; Schluss	Kochgut zum Sud ansetzen, auswringen, Stehzeit abwarten, nachseihen, Ergebnis abnehmen und kalt stellen; Schluss.	RESULT_OR_CLOSE_REVISED
H3-S002	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	shoyty	[ACHSE:Y+HO+TY→Zugabeteil]	Den weiteren Zugabeteil bereitlegen.	1	0	1	0	0	UNCHANGED	Den weiteren Zugabeteil bereitlegen.	Zugabeteil	Den weiteren Zugabeteil bereitlegen.	UNCHANGED
H3-S003	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	dchol chy kchy dy daiin	[GANZKARTE:vom vorigen] [KERN:dies] [ACHSE:Y→Bearbeiten] [KERN:dies] [KERN:Sollwert]	Vom vorigen Ansatz diesen Posten weiterbearbeiten und auf Sollmaß bringen.	5	3	1	0	1	UNCHANGED	Vom vorigen Ansatz diesen Posten weiterbearbeiten und auf Sollmaß bringen.	vom vorigen | dies | Bearbeiten | dies | Sollwert	Vom vorigen Ansatz diesen Posten weiterbearbeiten und auf Sollmaß bringen.	UNCHANGED
H3-S004	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	qotchy okchol cthy dy	[ACHSE:OT+Y→nächster Posten] [ACHSE:OK+OL→weiter einsetzen] [ACHSE:Y+CTH→bereit] [KERN:dies]	Zum nächsten Posten wechseln, ihn weiter einsetzen, Bereitschaft prüfen und als aktuellen Posten halten.	4	1	3	0	0	TIGHTENED	Zum Nächsten wechseln, weiter einsetzen, Bereitschaft prüfen und dies halten.	nächster Posten | weiter einsetzen | bereit | dies	Zum Nächsten wechseln, weiter einsetzen, Bereitschaft prüfen und dies halten.	UNCHANGED
H4-S001	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	qokaiin chaiin ykain ykan ody	[ACHSE:OK+AIIN→bemessen] [KERN:Sollwert] [ACHSE:Y+AIN→erste Portion] [ACHSE:Y+AIN→zweite Portion] [GANZKARTE:abkühlen; Schluss]	Den Ansatz bemessen, auf Sollmaß in eine erste und zweite Portion teilen und abkühlen lassen; Schluss.	5	1	3	0	1	TIGHTENED	Bemessen, auf Sollwert in erste und zweite Portion teilen und abkühlen lassen; Schluss.	bemessen | Sollwert | erste Portion | zweite Portion | abkühlen; Schluss	Bemessen, auf Sollwert in erste und zweite Portion teilen und abkühlen lassen; Schluss.	UNCHANGED
