unified_serial	source_kind	section	unit_id	page	locus_or_field	source_id	visible_owner	visible_surface	normalized_id	primary_layer	portable_core_value_de	local_expansion_de	component_axes	layer_rule_de	r221_revision
44	PROSE_EVENT	HERBAL	H3	f11r	F006	E044	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	shey	MC119	COMMON_PORTABLE_CARD	Ergebnis	Klarlauf	NONE	exakte Karte mit demselben Kernwert in Herbal, Bio und Astro	THREE_OWNER_SIMPLIFICATION
67	PROSE_EVENT	HERBAL	H4	f55v	F012	E067	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	oldy	MC019	COMMON_PORTABLE_CARD	Schluss	Schluss	OL+DY	exakte Karte mit demselben Kernwert in Herbal, Bio und Astro	THREE_OWNER_SIMPLIFICATION
197	PROSE_EVENT	BIOLOGICAL	B2	f82r	F056	E197	mittlere linke Geräte-/Inline-Knotenstation	cheey	MC119	COMMON_PORTABLE_CARD	Ergebnis	Klarlauf	NONE	exakte Karte mit demselben Kernwert in Herbal, Bio und Astro	THREE_OWNER_SIMPLIFICATION
203	PROSE_EVENT	BIOLOGICAL	B2	f82r	F059	E203	unteres grünes Mehrfigurenfeld	cheey	MC119	COMMON_PORTABLE_CARD	Ergebnis	Klarlauf	NONE	exakte Karte mit demselben Kernwert in Herbal, Bio und Astro	THREE_OWNER_SIMPLIFICATION
337	PROSE_EVENT	BIOLOGICAL	B4	f83r	F119	E337	Hauptpaar am sichtbaren ungerichteten Bogen	oldy	MC019	COMMON_PORTABLE_CARD	Schluss	Schluss	OL+DY	exakte Karte mit demselben Kernwert in Herbal, Bio und Astro	THREE_OWNER_SIMPLIFICATION
353	PROSE_EVENT	BIOLOGICAL	B4	f83r	F125	E353	linke offene Fransen-/Unterlaufstation	shey	MC119	COMMON_PORTABLE_CARD	Ergebnis	Klarlauf	NONE	exakte Karte mit demselben Kernwert in Herbal, Bio und Astro	THREE_OWNER_SIMPLIFICATION
416	ASTRO_GROUP	ASTRO	A1	f67r2	f67r2.14	A035	A1_RIGHT_RING_BAND_02	oldy	MC019	COMMON_PORTABLE_SURFACE	Schluss	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: fortsetzen und den Eintrag schliessen.	LOCAL_ASTRO_PARSE	Astrogruppe, deren ganze Oberfläche eine gemeinsame Kernkarte ist	THREE_OWNER_SIMPLIFICATION
584	ASTRO_GROUP	ASTRO	A2	f68r1	f68r1.2	A203	A2_MIDDLE_PANEL_HEADER	cheey	MC119	COMMON_PORTABLE_SURFACE	Ergebnis	Sternplatz A2_MIDDLE_PANEL_HEADER: Ergebnis oder abgelesener Diagrammwert.	LOCAL_ASTRO_PARSE	Astrogruppe, deren ganze Oberfläche eine gemeinsame Kernkarte ist	THREE_OWNER_SIMPLIFICATION
591	ASTRO_GROUP	ASTRO	A2	f68r1	f68r1.3	A210	A2_RIGHT_PANEL_HEADER	shey	MC119	COMMON_PORTABLE_SURFACE	Ergebnis	Sektorplatz A2_RIGHT_PANEL_HEADER: Ergebnis oder abgelesener Diagrammwert.	LOCAL_ASTRO_PARSE	Astrogruppe, deren ganze Oberfläche eine gemeinsame Kernkarte ist	THREE_OWNER_SIMPLIFICATION
683	ASTRO_GROUP	ASTRO	A3	f69v	f69v.2	A302	A3_MIDDLE_WHEEL_RING_TEXT	cheey	MC119	COMMON_PORTABLE_SURFACE	Ergebnis	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: Ergebnis oder abgelesener Diagrammwert.	LOCAL_ASTRO_PARSE	Astrogruppe, deren ganze Oberfläche eine gemeinsame Kernkarte ist	THREE_OWNER_SIMPLIFICATION
