chol	world	source_event	kind	location	patient	O_before	I_before	O_after	I_after	O_status	I_status	O_origin	I_origin	row_status
D	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	15	ACTION	f102v2.35:5	f102v2.35:7	{}	"{""PHYSICAL:thermal"":""cold""}"	"{""PHYSICAL:moisture"":""wet""}"	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""cold""}"	ASSUMED_EFFECT_APPLIED	ASSUMED_EFFECT_APPLIED			recorded
D	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	16	ACTION	f102v2.35:6	f102v2.35:7	"{""PHYSICAL:moisture"":""wet""}"	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""cold""}"	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""warm""}"	ASSUMED_EFFECT_APPLIED	ASSUMED_EFFECT_APPLIED			recorded
D	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	17	QUALITY	f102v2.35:8	f102v2.35:7	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""warm""}"	{}	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""cold""}"	CONFLICT	INITIAL_CONSTRAINT	f102v2.35:6		recorded
H	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	15	ACTION	f102v2.35:5	f102v2.35:7	{}	"{""PHYSICAL:thermal"":""cold""}"	"{""PHYSICAL:moisture"":""wet""}"	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""cold""}"	ASSUMED_EFFECT_APPLIED	ASSUMED_EFFECT_APPLIED			recorded
H	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	16	ACTION	f102v2.35:6	f102v2.35:7	"{""PHYSICAL:moisture"":""wet""}"	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""cold""}"	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""warm""}"	ASSUMED_EFFECT_APPLIED	ASSUMED_EFFECT_APPLIED			recorded
H	E|ZL3b|J|f102v2|f102v2.30-f102v2.39	17	QUALITY	f102v2.35:8	f102v2.35:7	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""warm""}"	{}	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""cold""}"	CONFLICT	INITIAL_CONSTRAINT	f102v2.35:6		recorded
D	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	15	ACTION	f102v2.35:5	f102v2.35:7	{}	"{""PHYSICAL:thermal"":""cold""}"	"{""PHYSICAL:moisture"":""wet""}"	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""cold""}"	ASSUMED_EFFECT_APPLIED	ASSUMED_EFFECT_APPLIED			recorded
D	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	16	ACTION	f102v2.35:6	f102v2.35:7	"{""PHYSICAL:moisture"":""wet""}"	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""cold""}"	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""warm""}"	ASSUMED_EFFECT_APPLIED	ASSUMED_EFFECT_APPLIED			recorded
D	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	17	QUALITY	f102v2.35:8	f102v2.35:7	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""warm""}"	{}	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""cold""}"	CONFLICT	INITIAL_CONSTRAINT	f102v2.35:6		recorded
H	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	15	ACTION	f102v2.35:5	f102v2.35:7	{}	"{""PHYSICAL:thermal"":""cold""}"	"{""PHYSICAL:moisture"":""wet""}"	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""cold""}"	ASSUMED_EFFECT_APPLIED	ASSUMED_EFFECT_APPLIED			recorded
H	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	16	ACTION	f102v2.35:6	f102v2.35:7	"{""PHYSICAL:moisture"":""wet""}"	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""cold""}"	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""warm""}"	ASSUMED_EFFECT_APPLIED	ASSUMED_EFFECT_APPLIED			recorded
H	E|ZL3b|M|f102v2|f102v2.30-f102v2.39	17	QUALITY	f102v2.35:8	f102v2.35:7	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""warm""}"	{}	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""warm""}"	"{""PHYSICAL:thermal"":""cold""}"	CONFLICT	INITIAL_CONSTRAINT	f102v2.35:6		recorded
