chol	world	timing	object	state	row_status
D	E|ZL3b|B|f6v|f6v.6-f6v.21	O	f6v.6:2	"{""PHYSICAL:moisture"":""wet""}"	recorded
D	E|ZL3b|B|f6v|f6v.6-f6v.21	O	f6v.7:4	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	recorded
D	E|ZL3b|B|f6v|f6v.6-f6v.21	O	f6v.8:2	"{""PHYSICAL:thermal"":""hot""}"	recorded
D	E|ZL3b|B|f6v|f6v.6-f6v.21	O	f6v.9:4	"{""PHYSICAL:moisture"":""dry""}"	recorded
D	E|ZL3b|B|f6v|f6v.6-f6v.21	O	f6v.10:3	{}	recorded
D	E|ZL3b|B|f6v|f6v.6-f6v.21	O	f6v.11:2	{}	recorded
D	E|ZL3b|B|f6v|f6v.6-f6v.21	O	f6v.11:3	{}	recorded
D	E|ZL3b|B|f6v|f6v.6-f6v.21	O	f6v.11:4	{}	recorded
D	E|ZL3b|B|f6v|f6v.6-f6v.21	O	f6v.12:4	"{""PHYSICAL:thermal"":""warm""}"	recorded
D	E|ZL3b|B|f6v|f6v.6-f6v.21	O	f6v.16:2	"{""PHYSICAL:thermal"":""cold""}"	recorded
D	E|ZL3b|B|f6v|f6v.6-f6v.21	O	f6v.17:4	{}	recorded
D	E|ZL3b|B|f6v|f6v.6-f6v.21	O	f6v.18:1	"{""PHYSICAL:moisture"":""wet""}"	recorded
D	E|ZL3b|B|f6v|f6v.6-f6v.21	O	f6v.19:1	"{""CONSTITUTION:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	recorded
D	E|ZL3b|B|f6v|f6v.6-f6v.21	O	f6v.20:1	{}	recorded
D	E|ZL3b|B|f6v|f6v.6-f6v.21	O	f6v.20:2	"{""CONSTITUTION:moisture"":""dry""}"	recorded
D	E|ZL3b|B|f6v|f6v.6-f6v.21	O	f6v.20:3	{}	recorded
D	E|ZL3b|B|f6v|f6v.6-f6v.21	I	f6v.6:2	"{""PHYSICAL:moisture"":""wet""}"	recorded
D	E|ZL3b|B|f6v|f6v.6-f6v.21	I	f6v.7:4	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	recorded
D	E|ZL3b|B|f6v|f6v.6-f6v.21	I	f6v.8:2	"{""PHYSICAL:thermal"":""hot""}"	recorded
D	E|ZL3b|B|f6v|f6v.6-f6v.21	I	f6v.9:4	"{""PHYSICAL:moisture"":""dry""}"	recorded
