grammar	paragraph	mention	form	patient	patient_form	axis	value	status	operations	new_input_order	raw_line	row_status
B	f6v|f6v.6-f6v.21	f6v.12:2	shy			moisture	wet	MISSING_PATIENT			ytcho[s:r] shy qokam cthy	recorded
B	f6v|f6v.6-f6v.21	f6v.15:4	chy	f6v.14:3	cthol	thermal	hot	NOT_DIRECT_PRECEDING_MATERIAL	f6v.14:2		chockhy s or chy s ain ar	recorded
B	f6v|f6v.6-f6v.21	f6v.19:3	chy	f6v.19:1	ocholy	thermal	hot	NOT_DIRECT_PRECEDING_MATERIAL			ocholy kchos chy dor	recorded
J	f6v|f6v.6-f6v.21	f6v.12:2	shy			moisture	wet	MISSING_PATIENT			ytcho[s:r] shy qokam cthy	recorded
J	f6v|f6v.6-f6v.21	f6v.15:4	chy	f6v.14:3	cthol	thermal	hot	NOT_DIRECT_PRECEDING_MATERIAL	f6v.14:1;f6v.14:2		chockhy s or chy s ain ar	recorded
J	f6v|f6v.6-f6v.21	f6v.19:3	chy	f6v.19:1	ocholy	thermal	hot	NOT_DIRECT_PRECEDING_MATERIAL			ocholy kchos chy dor	recorded
M	f6v|f6v.6-f6v.21	f6v.12:2	shy			moisture	wet	MISSING_PATIENT			ytcho[s:r] shy qokam cthy	recorded
M	f6v|f6v.6-f6v.21	f6v.15:4	chy	f6v.14:3	cthol	thermal	hot	NOT_DIRECT_PRECEDING_MATERIAL	f6v.14:1;f6v.14:2		chockhy s or chy s ain ar	recorded
M	f6v|f6v.6-f6v.21	f6v.19:3	chy	f6v.19:1	ocholy	thermal	hot	NOT_DIRECT_PRECEDING_MATERIAL			ocholy kchos chy dor	recorded
B	f9v|f9v.5-f9v.12	f9v.9:2	chy			thermal	hot	MISSING_PATIENT			daiin chy tor chyty dary ytoldy	recorded
B	f9v|f9v.5-f9v.12	f9v.10:1	oty	f9v.10:2	kchol	thermal	cold	NOT_DIRECT_PRECEDING_MATERIAL			oty kchol chol chy kyty	recorded
B	f9v|f9v.5-f9v.12	f9v.10:4	chy	f9v.10:2	kchol	thermal	hot	NOT_DIRECT_PRECEDING_MATERIAL			oty kchol chol chy kyty	recorded
B	f9v|f9v.5-f9v.12	f9v.11:3	oky	f9v.11:2	chshoty	thermal	warm	NO_PRECEDING_ACTION_ON_POSTPOSED_MATERIAL			ychor chshoty oky kaiin	recorded
J	f9v|f9v.5-f9v.12	f9v.9:2	chy			thermal	hot	MISSING_PATIENT			daiin chy tor chyty dary ytoldy	recorded
J	f9v|f9v.5-f9v.12	f9v.10:1	oty	f9v.10:2	kchol	thermal	cold	NOT_DIRECT_PRECEDING_MATERIAL			oty kchol chol chy kyty	recorded
J	f9v|f9v.5-f9v.12	f9v.10:4	chy	f9v.10:2	kchol	thermal	hot	NOT_DIRECT_PRECEDING_MATERIAL			oty kchol chol chy kyty	recorded
J	f9v|f9v.5-f9v.12	f9v.11:3	oky	f9v.11:2	chshoty	thermal	warm	NO_PRECEDING_ACTION_ON_POSTPOSED_MATERIAL			ychor chshoty oky kaiin	recorded
M	f9v|f9v.5-f9v.12	f9v.9:2	chy			thermal	hot	MISSING_PATIENT			daiin chy tor chyty dary ytoldy	recorded
M	f9v|f9v.5-f9v.12	f9v.10:1	oty	f9v.10:2	kchol	thermal	cold	NOT_DIRECT_PRECEDING_MATERIAL			oty kchol chol chy kyty	recorded
M	f9v|f9v.5-f9v.12	f9v.10:4	chy	f9v.10:2	kchol	thermal	hot	NOT_DIRECT_PRECEDING_MATERIAL			oty kchol chol chy kyty	recorded
M	f9v|f9v.5-f9v.12	f9v.11:3	oky	f9v.11:2	chshoty	thermal	warm	NO_PRECEDING_ACTION_ON_POSTPOSED_MATERIAL			ychor chshoty oky kaiin	recorded
B	f17v|f17v.1-f17v.23	f17v.9:2	shol	f17v.9:3	kchol	moisture	wet	NOT_DIRECT_PRECEDING_MATERIAL			ycheol shol kchol choltaiin ol	recorded
J	f17v|f17v.1-f17v.23	f17v.9:2	shol	f17v.9:3	kchol	moisture	wet	NOT_DIRECT_PRECEDING_MATERIAL			ycheol shol kchol choltaiin ol	recorded
M	f17v|f17v.1-f17v.23	f17v.9:2	shol	f17v.9:3	kchol	moisture	wet	NOT_DIRECT_PRECEDING_MATERIAL			ycheol shol kchol choltaiin ol	recorded
B	f19v|f19v.8-f19v.14	f19v.9:2	oky	f19v.9:3	chor	thermal	warm	NOT_DIRECT_PRECEDING_MATERIAL			ychor oky chor yt[o:a]l chol oky ddor	recorded
B	f19v|f19v.8-f19v.14	f19v.9:6	oky	f19v.9:3	chor	thermal	warm	NOT_DIRECT_PRECEDING_MATERIAL			ychor oky chor yt[o:a]l chol oky ddor	recorded
B	f19v|f19v.8-f19v.14	f19v.13:3	oty	f19v.13:7	ytaiin	thermal	cold	NOT_DIRECT_PRECEDING_MATERIAL			yees ykchol oty ytor ytar ytchor ytaiin	recorded
J	f19v|f19v.8-f19v.14	f19v.9:2	oky	f19v.9:3	chor	thermal	warm	NOT_DIRECT_PRECEDING_MATERIAL			ychor oky chor yt[o:a]l chol oky ddor	recorded
J	f19v|f19v.8-f19v.14	f19v.9:6	oky	f19v.9:3	chor	thermal	warm	NOT_DIRECT_PRECEDING_MATERIAL			ychor oky chor yt[o:a]l chol oky ddor	recorded
J	f19v|f19v.8-f19v.14	f19v.13:3	oty	f19v.13:7	ytaiin	thermal	cold	NOT_DIRECT_PRECEDING_MATERIAL			yees ykchol oty ytor ytar ytchor ytaiin	recorded
M	f19v|f19v.8-f19v.14	f19v.9:2	oky	f19v.9:3	chor	thermal	warm	NOT_DIRECT_PRECEDING_MATERIAL			ychor oky chor yt[o:a]l chol oky ddor	recorded
M	f19v|f19v.8-f19v.14	f19v.9:6	oky	f19v.9:3	chor	thermal	warm	NOT_DIRECT_PRECEDING_MATERIAL			ychor oky chor yt[o:a]l chol oky ddor	recorded
M	f19v|f19v.8-f19v.14	f19v.13:3	oty	f19v.13:7	ytaiin	thermal	cold	NOT_DIRECT_PRECEDING_MATERIAL			yees ykchol oty ytor ytar ytchor ytaiin	recorded
B	f22v|f22v.6-f22v.16	f22v.6:2	shy	f22v.6:3	tchor	moisture	wet	NOT_DIRECT_PRECEDING_MATERIAL			fshor shy tchor otaiin	recorded
B	f22v|f22v.6-f22v.16	f22v.11:2	oty			thermal	cold	MISSING_PATIENT			sokaiin oty dy	recorded
B	f22v|f22v.6-f22v.16	f22v.14:3	shol			moisture	wet	MISSING_PATIENT			qotch[y:?] olshly shol daiin	recorded
J	f22v|f22v.6-f22v.16	f22v.6:2	shy	f22v.6:3	tchor	moisture	wet	NOT_DIRECT_PRECEDING_MATERIAL			fshor shy tchor otaiin	recorded
J	f22v|f22v.6-f22v.16	f22v.11:2	oty			thermal	cold	MISSING_PATIENT			sokaiin oty dy	recorded
J	f22v|f22v.6-f22v.16	f22v.14:3	shol			moisture	wet	MISSING_PATIENT			qotch[y:?] olshly shol daiin	recorded
M	f22v|f22v.6-f22v.16	f22v.6:2	shy	f22v.6:3	tchor	moisture	wet	NOT_DIRECT_PRECEDING_MATERIAL			fshor shy tchor otaiin	recorded
M	f22v|f22v.6-f22v.16	f22v.11:2	oty			thermal	cold	MISSING_PATIENT			sokaiin oty dy	recorded
M	f22v|f22v.6-f22v.16	f22v.14:3	shol			moisture	wet	MISSING_PATIENT			qotch[y:?] olshly shol daiin	recorded
B	f24r|f24r.1-f24r.20	f24r.2:5	oky	f24r.2:2	char	thermal	warm	NOT_DIRECT_PRECEDING_MATERIAL			qotaiin char odaiin okai{ikh}al oky	recorded
B	f24r|f24r.1-f24r.20	f24r.17:5	oky	f24r.17:3	sham	thermal	warm	NOT_DIRECT_PRECEDING_MATERIAL			sshey otam sham cthoj oky	recorded
