sequence	statement_id	record_id	page	statement_ordinal	entry_boundary	exit_boundary	visible_owner_pre	visible_owner_operation	visible_owner_post	owner_break_inside_statement	active_pre	active_operation	active_post	target_pre	target_operation	target_post	previous_pre	previous_operation	previous_post	memory_slots_filled_pre	memory_slots_filled_post	visible_card_cues	surface_sequence	atom_sequence	macro_program	literal_card_reading_de	expanded_workshop_reading_de	scribe_memory_instruction_de
1	H1-S001	H1	f10r	1	RECORD_START	RESUME_ACTIVE_ITEM	LEER	AUS_BILD_SETZEN	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	LEER	INTRODUCE	H1:I001	LEER	INTRODUCE	H1:T001	LEER	INTRODUCE	H1:I002	0	4	NÄCHSTER_POSTEN|FORTSETZEN|QUELLE_SICHTBAR|AKTUELLER_POSTEN|SOLLWERT	dchey cthoor char chty os chair otytchol oky daiin etyd	DCHE+Y | CTH+OR | AR | PARTITION+TY | OS | AIR | OT+TY+OL | OK+Y | AIIN | E+TY	M04[H1-S001-U01+H1-S001-U02] | M05[H1-S001-U03+H1-S001-U04]	Wurzel als aktueller Posten; Ansatz bereit; aus dem Ansatz; Teil abtrennen; Mischgefäß; Wasserzulauf; naechsten Teilposten weiterfuehren; aktuellen Posten ansetzen; Sollmaß; kleiner Restteil	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel. Säubere ihn. Führe ihn als denselben Arbeitsansatz weiter. Zerschneide ihn. Gib die Stücke in ein Gefäß. Gieße Quellwasser darüber. Fange den ersten Auszug in einem Glas auf. Gebrauche diesen Auszug innerlich. Nimm davon das örtlich vorgeschriebene kleine Maß. Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.	Besitzer aus bild setzen: WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; Posten introduce: H1:I001; Ziel introduce: H1:T001; Voriges introduce: H1:I002.
2	H1-S002	H1	f10r	2	RESUME_ACTIVE_ITEM	RECORD_END	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MITFÜHREN	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	H1:I001	RESUME	H1:I001	H1:T001	CARRY	H1:T001	H1:I002	RESUME	H1:I002	4	4	NÄCHSTER_POSTEN|FORTSETZEN|AKTUELLER_POSTEN	qokchy qotchol chol cthy	OK+Y | OT+OL | OL | CTH+Y	M06[H1-S002-U01+H1-S002-U02] | SINGLE_CONTINUE[H1-S002-U03] | SINGLE_READY[H1-S002-U04]	Posten zur Weiterbearbeitung ansetzen; danach weiterfuehren; fortsetzen; bereit	Nimm erneut von dem frischen ersten Auszug. Erwärme ihn gelinde. Führe ihn als denselben laufenden Ansatz fort. Sobald er zum Gebrauch bereit ist, gebrauche ihn.	Besitzer mitführen: WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; Posten resume: H1:I001; Ziel carry: H1:T001; Voriges resume: H1:I002.
3	H2-S001	H2	f10r	1	RECORD_START	RESUME_ACTIVE_ITEM	LEER	AUS_BILD_SETZEN	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	LEER	INTRODUCE	H2:I001	LEER	RESET	LEER	LEER	RESET	LEER	0	2	FORTSETZEN|AKTUELLER_POSTEN|SOLLWERT	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Y+CHEO+OR | CTH+Y | OR | CTH+AIIN | CTH+OL+Y | Y | Y | AIIN | Y	SINGLE_READY[H2-S001-U01] | SINGLE_READY[H2-S001-U02] | SINGLE_READY[H2-S001-U03]	Auszugsansatz; bereit; Ansatz; Fertigmaß; bereiten Posten weiterfuehren; dieser Posten; dieser Posten; Sollmaß; dieser Posten	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze. Sammle sie, wenn sie sich eben öffnen. Führe sie als frischen Ansatz. Zerstoße das Kraut. Presse den Saft durch ein Tuch. Fange die erste Fraktion auf. Gib Olivenöl hinzu. Nimm das örtlich vorgeschriebene Maß. Erwärme gelinde.	Besitzer aus bild setzen: WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; Posten introduce: H2:I001; Ziel reset: LEER; Voriges reset: LEER.
4	H2-S002	H2	f10r	2	RESUME_ACTIVE_ITEM	NEXT_PARALLEL_CELL	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MITFÜHREN	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	H2:I001	RESUME	H2:I002	LEER	CARRY	LEER	LEER	RESUME	H2:I001	2	3	NÄCHSTER_POSTEN|FORTSETZEN|QUELLE_SICHTBAR|SOLLWERT	qotchor chor otol chol cholor chol daiin dar	OT+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	M01[H2-S002-U01+H2-S002-U02+H2-S002-U03] | SINGLE_CONTINUE[H2-S002-U04]	Folgeansatz; Ansatz; danach fortsetzen; fortsetzen; Fortsetzungsansatz; fortsetzen; Sollmaß; aus dem Ansatz	Nimm vor voller Blüte eine zweite Portion der Spitzen. Führe den ersten Ansatz weiter. Nimm eine Handvoll. Verknüpfe diese Fraktion mit dem laufenden Arbeitsstand. Nimm den vorherigen Posten hinzu. Führe beide als neuen aktiven Posten. Gib von beiden das gleiche örtliche Maß. Vereinige die beiden Fraktionen.	Besitzer mitführen: WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; Posten resume: H2:I002; Ziel carry: LEER; Voriges resume: H2:I001.
5	H2-S003	H2	f10r	3	NEXT_PARALLEL_CELL	RECORD_END	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MITFÜHREN	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	H2:I002	INTRODUCE	H2:I003	LEER	RESET	LEER	H2:I001	INTRODUCE	H2:I002	3	3	AKTUELLER_POSTEN|SOLLWERT|STUFE	oykchor shor chor chy kaiiin dy chodaiin	Y+KCH+OR | OR | OR | Y | IIN | Y | HO+AIIN	SINGLE_PROCESS[H2-S003-U01]	aktuellen Ansatz bearbeiten; Ansatz; Ansatz; dieser Posten; Weichstufe; dieser Posten; Zutatenmaß	Gib sie in ein glasiertes Gefäß. Führe die Mischung als Salbenansatz. Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten. Rühre bei kleinem Feuer. Bis eine weiche Salbe entsteht. Bewahre sie bedeckt. Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung.	Besitzer mitführen: WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; Posten introduce: H2:I003; Ziel reset: LEER; Voriges introduce: H2:I002.
6	H3-S001	H3	f11r	1	RECORD_START	WITHIN_LOCUS_FIELD_BOUNDARY	LEER	AUS_BILD_SETZEN	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NO	LEER	INTRODUCE	H3:I001	LEER	INTRODUCE	H3:T002	LEER	RESET	LEER	0	3	ZIEL_SICHTBAR|AKTUELLER_POSTEN|SOLLWERT|ZELLE_SCHLIESSEN	tshol schoal cfhy shfydaiin cphy shey tchody	HO+L | HO+AL | CFH+Y | SH+AIIN | CPH+Y | CHEEY | HO+CLOSE	SINGLE_LEAD_OUT[H3-S001-U01] | SINGLE_SQUEEZE[H3-S001-U02] | SINGLE_HOLD[H3-S001-U03] | SINGLE_STRAIN_AGAIN[H3-S001-U04]	Zutat entnehmen; Zutat an die Arbeitsstelle geben; aktuellen Posten auswringen; Standmaß; aktuellen Posten nachseihen; klarer Auszug; Eingangsposten beiseitestellen; Schluss	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze. Koche sie in reinem Wein. Wring den Ansatz durch ein feines Tuch. Lass den Auszug stehen. Seihe ihn nochmals durch ein Tuch. Warte, bis der örtlich verlangte klare Zustand erreicht ist. Lass ihn abkühlen; damit endet der erste Posten.	Besitzer aus bild setzen: WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT; Posten introduce: H3:I001; Ziel introduce: H3:T002; Voriges reset: LEER.
7	H3-S002	H3	f11r	2	WITHIN_LOCUS_FIELD_BOUNDARY	RESUME_ACTIVE_ITEM	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	MITFÜHREN	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NO	H3:I001	CARRY	H3:I001	H3:T002	CARRY	H3:T002	LEER	INTRODUCE	H3:I002	3	4	AKTUELLER_POSTEN	shoyty	HO+Y+TY	SINGLE_OWNER_ACTION[H3-S002-U01]	Zutatenteil	Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück.	Besitzer mitführen: WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT; Posten carry: H3:I001; Ziel carry: H3:T002; Voriges introduce: H3:I002.
8	H3-S003	H3	f11r	3	RESUME_ACTIVE_ITEM	NEXT_PARALLEL_CELL	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	MITFÜHREN	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NO	H3:I001	RESUME	H3:I001	H3:T002	INTRODUCE	H3:T003	H3:I002	CARRY	H3:I002	4	4	FORTSETZEN|AKTUELLER_POSTEN|SOLLWERT	dchol chy kchy dy daiin	PREV+OL | Y | KCH+Y | Y | AIIN	SINGLE_PROCESS[H3-S003-U01]	vorigen Posten fortsetzen; dieser Posten; diesen Posten bearbeiten; dieser Posten; Sollmaß	Nimm den ersten Auszug wieder auf. Nimm davon einen Anteil. Gib ihn als Trank. Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust. Gib ein kleines örtliches Maß.	Besitzer mitführen: WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT; Posten resume: H3:I001; Ziel introduce: H3:T003; Voriges carry: H3:I002.
9	H3-S004	H3	f11r	4	NEXT_PARALLEL_CELL	RECORD_END	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	MITFÜHREN	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NO	H3:I001	INTRODUCE	H3:I003	H3:T003	RESET	LEER	H3:I002	INTRODUCE	H3:I001	4	3	NÄCHSTER_POSTEN|FORTSETZEN|AKTUELLER_POSTEN	qotchy okchol cthy dy	OT+Y | OK+OL | CTH+Y | Y	M09[H3-S004-U01+H3-S004-U02]	anschließender Arbeitsposten; weiterlaufenden Posten aufnehmen; bereit; dieser Posten	Nimm die zurückbehaltenen Blüten. Erwärme sie in Olivenöl. Warte, bis der örtliche Bereitschaftszustand erreicht ist. Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren.	Besitzer mitführen: WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT; Posten introduce: H3:I003; Ziel reset: LEER; Voriges introduce: H3:I001.
10	H4-S001	H4	f55v	1	RECORD_START	WITHIN_LOCUS_FIELD_BOUNDARY	LEER	AUS_BILD_SETZEN	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NO	LEER	INTRODUCE	H4:I001	LEER	RESET	LEER	LEER	RESET	LEER	0	2	AKTUELLER_POSTEN|SOLLWERT|PORTION	qokaiin chaiin ykain ykan ody	OK+AIIN | AIIN | Y+AIN | Y+AIN | ODY	SINGLE_SET[H4-S001-U01] | SINGLE_WITHDRAW[H4-S001-U02]	auf Sollmaß einstellen; Sollmaß; Postenportion; dieser Anteil; kühlen	Setze den ersten Posten an. Nimm ein örtlich vorgeschriebenes Maß. Zerstoße breite Blätter der unbenannten Pflanze. Gib Weißwein hinzu. Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten.	Besitzer aus bild setzen: WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT; Posten introduce: H4:I001; Ziel reset: LEER; Voriges reset: LEER.
