job_step	phase	statement_id	page	owner_pre	owner_operation	owner_post	active_pre	active_operation	active_post	target_pre	target_operation	target_post	previous_pre	previous_operation	previous_post	visible_card_cues	surface_sequence	macro_program	master_dictation_de	scribe_readback_de
1	WHAT	H3-S001	f11r	LEER	AUS_BILD_SETZEN	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LEER	INTRODUCE	H3:I001	LEER	INTRODUCE	H3:T002	LEER	RESET	LEER	ZIEL_SICHTBAR|AKTUELLER_POSTEN|SOLLWERT|ZELLE_SCHLIESSEN	tshol schoal cfhy shfydaiin cphy shey tchody	SINGLE_LEAD_OUT[H3-S001-U01] | SINGLE_SQUEEZE[H3-S001-U02] | SINGLE_HOLD[H3-S001-U03] | SINGLE_STRAIN_AGAIN[H3-S001-U04]	Nimm ausgewähltes Material der abgebildeten Pflanze, bringe es zur Arbeitsstelle, wringe es aus, lasse den Auszug bis zum Sollstand stehen, seihe nach und stelle den sichtbaren klaren Anteil beiseite.	Nimm ausgewähltes Material der abgebildeten Pflanze, bringe es zur Arbeitsstelle, wringe es aus, lasse den Auszug bis zum Sollstand stehen, seihe nach und stelle den sichtbaren klaren Anteil beiseite.
2	WHAT	H3-S002	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	MITFÜHREN	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	H3:I001	CARRY	H3:I001	H3:T002	CARRY	H3:T002	LEER	INTRODUCE	H3:I002	AKTUELLER_POSTEN	shoyty	SINGLE_OWNER_ACTION[H3-S002-U01]	Behalte eine Portion des frischen Pflanzenmaterials für einen zweiten Ansatz zurück.	Behalte eine Portion des frischen Pflanzenmaterials für einen zweiten Ansatz zurück.
3	WHAT	H3-S003	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	MITFÜHREN	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	H3:I001	RESUME	H3:I001	H3:T002	INTRODUCE	H3:T003	H3:I002	CARRY	H3:I002	FORTSETZEN|AKTUELLER_POSTEN|SOLLWERT	dchol chy kchy dy daiin	SINGLE_PROCESS[H3-S003-U01]	Nimm den ersten Auszug wieder auf, bearbeite ihn weiter und miss die vorgesehene Gebrauchsportion ab.	Nimm den ersten Auszug wieder auf, bearbeite ihn weiter und miss die vorgesehene Gebrauchsportion ab.
4	WHAT	H3-S004	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	MITFÜHREN	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	H3:I001	INTRODUCE	H3:I003	H3:T003	RESET	LEER	H3:I002	INTRODUCE	H3:I001	NÄCHSTER_POSTEN|FORTSETZEN|AKTUELLER_POSTEN	qotchy okchol cthy dy	M09[H3-S004-U01+H3-S004-U02]	Nimm das zurückbehaltene Material als nächsten Posten, beginne den Fortsetzungsgang und halte die zweite Bereitung bereit.	Nimm das zurückbehaltene Material als nächsten Posten, beginne den Fortsetzungsgang und halte die zweite Bereitung bereit.
5	HOW	B2-S001	f82r	LEER	AUS_BILD_SETZEN	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	LEER	INTRODUCE	B2:I001	LEER	INTRODUCE	B2:T001	LEER	RESET	LEER	ZELLE_SCHLIESSEN	dchedy	SINGLE_TRANSFER[B2-S001-U01]	Spüle oder übertrage den ersten Gang an den oberen Paarbecken und schließe diesen kurzen Schritt.	Spüle oder übertrage den ersten Gang an den oberen Paarbecken und schließe diesen kurzen Schritt.
6	HOW	B2-S002	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	MITFÜHREN	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	B2:I001	CARRY	B2:I001	B2:T001	INTRODUCE	B2:T002	LEER	CARRY	LEER	FORTSETZEN|ZELLE_SCHLIESSEN	qolchedy	SINGLE_CONTINUE[B2-S002-U01]	Führe die Übertragung weiter, stelle die erste Charge örtlich beiseite und schließe.	Führe die Übertragung weiter, stelle die erste Charge örtlich beiseite und schließe.
7	HOW	B2-S003	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	MITFÜHREN	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	B2:I001	CARRY	B2:I001	B2:T002	CARRY	B2:T002	LEER	CARRY	LEER	AKTUELLER_POSTEN|PORTION|ZELLE_SCHLIESSEN	qokain dy qokeedy	M19[B2-S003-U01+B2-S003-U02]	Gib eine abgemessene Portion ein, halte sie als aktiven Posten länger in der Station und schließe.	Gib eine abgemessene Portion ein, halte sie als aktiven Posten länger in der Station und schließe.
8	HOW	B2-S004	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	MITFÜHREN	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	B2:I001	CARRY	B2:I001	B2:T002	INTRODUCE	B2:T003	LEER	INTRODUCE	B2:I002	ZIEL_SICHTBAR|AKTUELLER_POSTEN|ZELLE_SCHLIESSEN	qokal lcheckhy lched qokeey lcheckhedy	SINGLE_SET[B2-S004-U01] | SINGLE_LEAD_OUT[B2-S004-U02] | SINGLE_LEAD_OUT[B2-S004-U03] | SINGLE_SET[B2-S004-U04] | SINGLE_LEAD_OUT[B2-S004-U05]	Setze die Charge an der bezeichneten oberen Station an, führe sie durch den örtlichen Ausgang weiter, halte sie länger und trenne sie am Ende ab.	Setze die Charge an der bezeichneten oberen Station an, führe sie durch den örtlichen Ausgang weiter, halte sie länger und trenne sie am Ende ab.
9	HOW	B2-S005	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	MITFÜHREN	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	B2:I001	CARRY	B2:I001	B2:T003	INTRODUCE	B2:T006	B2:I002	RESUME	B2:I002	FORTSETZEN|ZIEL_SICHTBAR|AKTUELLER_POSTEN|SOLLWERT|ZELLE_SCHLIESSEN	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	SINGLE_SET[B2-S005-U01] | SINGLE_COLLECT[B2-S005-U02] | M08[B2-S005-U03+B2-S005-U04] | M09[B2-S005-U05+B2-S005-U06] | SINGLE_WARM[B2-S005-U07] | SINGLE_LEAD_OUT[B2-S005-U08]	Führe den Posten zum zweiten Lauf, sammle bis zum Sollwert, leite ihn durch die verbundenen Gänge, halte die Einstellung, wärme länger und führe den Rest ab.	Führe den Posten zum zweiten Lauf, sammle bis zum Sollwert, leite ihn durch die verbundenen Gänge, halte die Einstellung, wärme länger und führe den Rest ab.
10	HOW	B2-S006	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	MITFÜHREN	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	B2:I001	CARRY	B2:I001	B2:T006	INTRODUCE	B2:T007	B2:I002	CARRY	B2:I002	NÄCHSTER_POSTEN|ZIEL_SICHTBAR|AKTUELLER_POSTEN	oteey qokal sheckhy qoky	M07[B2-S006-U01+B2-S006-U02] | SINGLE_SET[B2-S006-U03]	Nimm den vorbereiteten Folgeposten, setze ihn am Ziel an, führe ihn kurz durch und halte ihn als laufenden Posten verfügbar.	Nimm den vorbereiteten Folgeposten, setze ihn am Ziel an, führe ihn kurz durch und halte ihn als laufenden Posten verfügbar.
