source_id	whole_source	whole_working_translation	required_word_count	tested_targets	word_count_contradictions	same_count_contradictions	survivors	independent_confirmation_capacity
PEACH:NONE:COLD:SOUR	אלכוך בארד ומא כאן מנה חאמצֹא פהו קוי אלברד מעתדל אלרטובה ואליבס	The peach is cold. If some of it is sour, it is strongly cold and balanced in moisture and dryness.	12	49	49	0	0	0
PEACH:NONE:COLD:SWEET	אלכוך בארד ומא כאן מנה חלוא פהו מעתדל אלמזאגֹ פי אלחרארה ואלברודה	The peach is cold. If some of it is sweet, its temperament is balanced in heat and cold.	12	49	49	0	0	0
PEACH:NONE:COLD:UNRIPE	אלכוך בארד ומא כאן מנה גיר נצֹיגֹ פהו עסר אלאנהצֹאם בטי אלאנחדאר ען אלמעדה קוי אלחבס ללטביעה	The peach is cold. If some of it is unripe, it is difficult to digest, slow to descend from the stomach, and strongly binding.	17	49	45	4	0	0
PEACH:NONE:COLD:JUICE_BODY	אלכוך בארד ומאוה אשד תקויה ללמעדה ואקל חבסא ללטביעה וגֹרמה אשד חבסא	The peach is cold. Its juice strengthens the stomach more and binds less; its bulk binds more.	12	49	49	0	0	0
PEACH:NONE:COLD:BEFORE_AFTER	אלכוך בארד עאקל ללטביעה אדא אכל קבל אלטעאם וילין אלטביעה אדא אכל בעד אלטעאם	The peach is cold. It is binding when eaten before food, and softens the bowels when eaten after food.	14	49	45	4	0	0
PEACH:NONE:COLD_MOIST:SOUR	אלכוך בארד רטב ומא כאן מנה חאמצֹא פהו קוי אלברד מעתדל אלרטובה ואליבס	The peach is cold and moist. If some of it is sour, it is strongly cold and balanced in moisture and dryness.	13	49	48	1	0	0
PEACH:NONE:COLD_MOIST:SWEET	אלכוך בארד רטב ומא כאן מנה חלוא פהו מעתדל אלמזאגֹ פי אלחרארה ואלברודה	The peach is cold and moist. If some of it is sweet, its temperament is balanced in heat and cold.	13	49	48	1	0	0
PEACH:NONE:COLD_MOIST:UNRIPE	אלכוך בארד רטב ומא כאן מנה גיר נצֹיגֹ פהו עסר אלאנהצֹאם בטי אלאנחדאר ען אלמעדה קוי אלחבס ללטביעה	The peach is cold and moist. If some of it is unripe, it is difficult to digest, slow to descend from the stomach, and strongly binding.	18	49	46	3	0	0
PEACH:NONE:COLD_MOIST:JUICE_BODY	אלכוך בארד רטב ומאוה אשד תקויה ללמעדה ואקל חבסא ללטביעה וגֹרמה אשד חבסא	The peach is cold and moist. Its juice strengthens the stomach more and binds less; its bulk binds more.	13	49	48	1	0	0
PEACH:NONE:COLD_MOIST:BEFORE_AFTER	אלכוך בארד רטב עאקל ללטביעה אדא אכל קבל אלטעאם וילין אלטביעה אדא אכל בעד אלטעאם	The peach is cold and moist. It is binding when eaten before food, and softens the bowels when eaten after food.	15	49	44	5	0	0
PEACH:NONE:COLD_DRY:SOUR	אלכוך בארד יאבס ומא כאן מנה חאמצֹא פהו קוי אלברד מעתדל אלרטובה ואליבס	The peach is cold and dry. If some of it is sour, it is strongly cold and balanced in moisture and dryness.	13	49	48	1	0	0
PEACH:NONE:COLD_DRY:SWEET	אלכוך בארד יאבס ומא כאן מנה חלוא פהו מעתדל אלמזאגֹ פי אלחרארה ואלברודה	The peach is cold and dry. If some of it is sweet, its temperament is balanced in heat and cold.	13	49	48	1	0	0
PEACH:NONE:COLD_DRY:UNRIPE	אלכוך בארד יאבס ומא כאן מנה גיר נצֹיגֹ פהו עסר אלאנהצֹאם בטי אלאנחדאר ען אלמעדה קוי אלחבס ללטביעה	The peach is cold and dry. If some of it is unripe, it is difficult to digest, slow to descend from the stomach, and strongly binding.	18	49	46	3	0	0
