target_id	edition	page	physical_folio	source_candidates	word_count_contradictions	same_count_contradictions	survivors	independent_confirmation_capacity
IT2a:G807-P0006	IT2a	f3r	f3	81	81	0	0	0
IT2a:G807-P0016	IT2a	f5r	f5	81	81	0	0	0
IT2a:G807-P0081	IT2a	f23r	f23	81	81	0	0	0
IT2a:G807-P0128	IT2a	f37r	f37	81	81	0	0	0
IT2a:G807-P0132	IT2a	f37v	f37	81	81	0	0	0
IT2a:G807-P0166	IT2a	f45r	f45	81	81	0	0	0
IT2a:G807-P0260	IT2a	f79v	f79	81	69	12	0	0
IT2a:G807-P0298	IT2a	f83r	f83	81	69	12	0	0
IT2a:G807-P0308	IT2a	f85r1	f85	81	81	0	0	0
IT2a:G807-P0311	IT2a	f85r2	f85	81	81	0	0	0
IT2a:G807-P0358	IT2a	f95v1	f95	81	78	3	0	0
IT2a:G807-P0385	IT2a	f103r	f103	81	81	0	0	0
IT2a:G807-P0391	IT2a	f103r	f103	81	57	24	0	0
IT2a:G807-P0392	IT2a	f103r	f103	81	75	6	0	0
IT2a:G807-P0393	IT2a	f103r	f103	81	81	0	0	0
IT2a:G807-P0395	IT2a	f103r	f103	81	69	12	0	0
IT2a:G807-P0402	IT2a	f103v	f103	81	81	0	0	0
IT2a:G807-P0409	IT2a	f103v	f103	81	75	6	0	0
IT2a:G807-P0443	IT2a	f105r	f105	81	81	0	0	0
IT2a:G807-P0444	IT2a	f105r	f105	81	81	0	0	0
IT2a:G807-P0452	IT2a	f105v	f105	81	81	0	0	0
IT2a:G807-P0454	IT2a	f105v	f105	81	75	6	0	0
IT2a:G807-P0508	IT2a	f107v	f107	81	69	12	0	0
IT2a:G807-P0512	IT2a	f107v	f107	81	81	0	0	0
IT2a:G807-P0514	IT2a	f107v	f107	81	66	15	0	0
IT2a:G807-P0515	IT2a	f107v	f107	81	78	3	0	0
IT2a:G807-P0546	IT2a	f111v	f111	81	81	0	0	0
IT2a:G807-P0578	IT2a	f113r	f113	81	81	0	0	0
IT2a:G807-P0582	IT2a	f113r	f113	81	81	0	0	0
IT2a:G807-P0584	IT2a	f113r	f113	81	81	0	0	0
IT2a:G807-P0588	IT2a	f113r	f113	81	78	3	0	0
IT2a:G807-P0601	IT2a	f113v	f113	81	81	0	0	0
IT2a:G807-P0602	IT2a	f113v	f113	81	69	12	0	0
IT2a:G807-P0605	IT2a	f113v	f113	81	69	12	0	0
IT2a:G807-P0634	IT2a	f115r	f115	81	81	0	0	0
IT2a:G807-P0641	IT2a	f115r	f115	81	81	0	0	0
IT2a:G807-P0643	IT2a	f115r	f115	81	69	12	0	0
IT2a:G807-P0646	IT2a	f115v	f115	81	81	0	0	0
IT2a:G807-P0648	IT2a	f115v	f115	81	66	15	0	0
IT2a:G807-P0653	IT2a	f115v	f115	81	81	0	0	0
IT2a:G807-P0654	IT2a	f115v	f115	81	81	0	0	0
RF1b:G807-P0166	RF1b	f45r	f45	81	81	0	0	0
RF1b:G807-P0260	RF1b	f79v	f79	81	66	15	0	0
RF1b:G807-P0515	RF1b	f107v	f107	81	78	3	0	0
RF1b:G807-P0643	RF1b	f115r	f115	81	69	12	0	0
RF1b:G807-P0653	RF1b	f115v	f115	81	81	0	0	0
ZL3b:G807-P0298	ZL3b	f83r	f83	81	69	12	0	0
ZL3b:G807-P0391	ZL3b	f103r	f103	81	66	15	0	0
ZL3b:G807-P0395	ZL3b	f103r	f103	81	69	12	0	0
