precedence	renderer_rule	identity_count	mark_count	instruction
1	ROOT_ORDER_COPY	230	436	Keep the root order unchanged before applying allographs.
2	OPTIONAL_Q_CARRIER	30	92	At a card onset q may carry an O-frame without adding meaning.
3	OK_FRAME_ALLOGRAPH	25	81	Render OK with qok-, ok- or the learned chok- frame.
4	OT_FRAME_ALLOGRAPH	26	37	Render OT with ot- or qot-; q is a carrier choice.
5	OL_FRAME_ALLOGRAPH	28	52	Render OL with ol-, chol-, qol-, ls- or sol- from the local deck.
6	CH_BODY_ALLOGRAPH	53	92	Render CH/CHD/CHK/CKH inside the operation body with ch/ched/check variants.
7	E_GRADE_LENGTH	68	110	One, two or three visible e grades encode E, EE or EEE where the frame licenses it.
8	ARGUMENT_OR_ADDRESS_TAIL	62	123	Render AIIN/AIN/AL/AR/AIR at the right argument, address or path edge when available.
9	L_PATH_ONSET	18	27	Use l- as the ordinary transfer/path onset.
10	R_STATE_ONSET	8	8	Use r- as the cool-state onset.
11	Y_OPEN_ENDPOINT	81	146	Use the learned y/chy/chey/dy/shy/sy open-post allograph licensed by the card family.
12	DY_CLOSED_ENDPOINT	41	94	Use a learned -dy close only for recipes whose final component is DY.
13	LOCAL_SIGN_COPY	20	20	Copy diagram-local carriers or contractions as well as address, label and material signs.
14	MEMORIZED_WHOLE_FORM	1	1	Copy TALAM as the sole learned whole-root spelling.
15	REPEATED_ROOT_COPY	12	12	Repeat a root visibly when the recipe repeats the same address or referent.
