case_id	policy	model	edition	block	source_group_id	locus	group_index	raw	role	head_id	head_raw	participant_id	participant_raw	participant_role	status	head_cross_line	head_gap_groups	unknown_head_gap_groups	participant_gap_groups	unknown_participant_gap_groups	audit_gap_basis	intervening_bare_nominals	intervening_copulas	material_mentions_after_flow	immediate_path_id	immediate_path_reading	meaning_confirmed
LOCAL|M|ZL3b|f77r.11|G007	LOCAL	M	ZL3b	f77r:P1	ZL3b|f77r.11|G007	f77r.11	7	qokeedy	FLOW						NO_ANTECEDENT	False					head	[]	[]	[]			False
LOCAL|M|ZL3b|f77r.13|G001	LOCAL	M	ZL3b	f77r:P1	ZL3b|f77r.13|G001	f77r.13	1	qokeedy	FLOW						NO_ANTECEDENT	False					head	[]	[]	[]			False
LOCAL|M|ZL3b|f77r.14|G007	LOCAL	M	ZL3b	f77r:P1	ZL3b|f77r.14|G007	f77r.14	7	qokeedy	FLOW	ZL3b|f77r.14|G006	shedy	ZL3b|f77r.14|G006	shedy	MATERIAL	COMPATIBLE	False	0	0	0	0	participant	[]	[]	[]	ZL3b|f77r.14|G008	aus der Mündung	False
LOCAL|M|ZL3b|f77r.15|G001	LOCAL	M	ZL3b	f77r:P1	ZL3b|f77r.15|G001	f77r.15	1	qokeedy	FLOW	ZL3b|f77r.14|G006	shedy	ZL3b|f77r.14|G006	shedy	MATERIAL	COMPATIBLE	True	2	0	2	0	participant	[]	[]	[]			False
LOCAL|M|ZL3b|f77r.16|G007	LOCAL	M	ZL3b	f77r:P1	ZL3b|f77r.16|G007	f77r.16	7	qokeedy	FLOW						NO_ANTECEDENT	False					head	[]	[]	[]			False
LOCAL|M|ZL3b|f77r.17|G008	LOCAL	M	ZL3b	f77r:P1	ZL3b|f77r.17|G008	f77r.17	8	qokeedy	FLOW						NO_ANTECEDENT	False					head	[]	[]	[]			False
LOCAL|M|ZL3b|f77r.19|G001	LOCAL	M	ZL3b	f77r:P1	ZL3b|f77r.19|G001	f77r.19	1	qokeedy	FLOW						NO_ANTECEDENT	False					head	[]	[]	[]			False
LOCAL|M|ZL3b|f77r.19|G004	LOCAL	M	ZL3b	f77r:P1	ZL3b|f77r.19|G004	f77r.19	4	qokeedy	FLOW						NO_ANTECEDENT	False					head	[]	[]	[]			False
LOCAL|M|ZL3b|f77r.19|G005	LOCAL	M	ZL3b	f77r:P1	ZL3b|f77r.19|G005	f77r.19	5	qokeedy	FLOW						NO_ANTECEDENT	False					head	[]	[]	[]			False
LOCAL|M|ZL3b|f77r.20|G003	LOCAL	M	ZL3b	f77r:P1	ZL3b|f77r.20|G003	f77r.20	3	qokeedy	FLOW						NO_ANTECEDENT	False					head	[]	[]	[]			False
LOCAL|M|ZL3b|f77r.21|G003	LOCAL	M	ZL3b	f77r:P1	ZL3b|f77r.21|G003	f77r.21	3	qokeedy	FLOW	ZL3b|f77r.21|G002	shedy	ZL3b|f77r.21|G002	shedy	MATERIAL	COMPATIBLE	False	0	0	0	0	participant	[]	[]	[]			False
LOCAL|M|ZL3b|f77r.23|G006	LOCAL	M	ZL3b	f77r:P1	ZL3b|f77r.23|G006	f77r.23	6	qokeedy	FLOW						NO_ANTECEDENT	False					head	[]	[]	[]			False
TYPED_BACK|M|ZL3b|f77r.11|G007	TYPED_BACK	M	ZL3b	f77r:P1	ZL3b|f77r.11|G007	f77r.11	7	qokeedy	FLOW	ZL3b|f77r.11|G005	shedy	ZL3b|f77r.11|G005	shedy	MATERIAL	COMPATIBLE	False	1	1	1	1	participant	[]	[]	[]			False
TYPED_BACK|M|ZL3b|f77r.13|G001	TYPED_BACK	M	ZL3b	f77r:P1	ZL3b|f77r.13|G001	f77r.13	1	qokeedy	FLOW	ZL3b|f77r.11|G005	shedy	ZL3b|f77r.11|G005	shedy	MATERIAL	COMPATIBLE	True	12	10	12	10	participant	[]	[]	[]			False
TYPED_BACK|M|ZL3b|f77r.14|G007	TYPED_BACK	M	ZL3b	f77r:P1	ZL3b|f77r.14|G007	f77r.14	7	qokeedy	FLOW	ZL3b|f77r.14|G006	shedy	ZL3b|f77r.14|G006	shedy	MATERIAL	COMPATIBLE	False	0	0	0	0	participant	[]	[]	[]	ZL3b|f77r.14|G008	aus der Mündung	False
TYPED_BACK|M|ZL3b|f77r.15|G001	TYPED_BACK	M	ZL3b	f77r:P1	ZL3b|f77r.15|G001	f77r.15	1	qokeedy	FLOW	ZL3b|f77r.14|G006	shedy	ZL3b|f77r.14|G006	shedy	MATERIAL	COMPATIBLE	True	2	0	2	0	participant	[]	[]	[]			False
TYPED_BACK|M|ZL3b|f77r.16|G007	TYPED_BACK	M	ZL3b	f77r:P1	ZL3b|f77r.16|G007	f77r.16	7	qokeedy	FLOW	ZL3b|f77r.16|G005	shedy	ZL3b|f77r.16|G005	shedy	MATERIAL	COMPATIBLE	False	1	1	1	1	participant	[]	[]	[]			False
TYPED_BACK|M|ZL3b|f77r.17|G008	TYPED_BACK	M	ZL3b	f77r:P1	ZL3b|f77r.17|G008	f77r.17	8	qokeedy	FLOW	ZL3b|f77r.16|G005	shedy	ZL3b|f77r.16|G005	shedy	MATERIAL	COMPATIBLE	True	10	7	10	7	participant	[]	[]	[]			False
TYPED_BACK|M|ZL3b|f77r.19|G001	TYPED_BACK	M	ZL3b	f77r:P1	ZL3b|f77r.19|G001	f77r.19	1	qokeedy	FLOW	ZL3b|f77r.16|G005	shedy	ZL3b|f77r.16|G005	shedy	MATERIAL	COMPATIBLE	True	23	19	23	19	participant	[]	[]	[]			False
TYPED_BACK|M|ZL3b|f77r.19|G004	TYPED_BACK	M	ZL3b	f77r:P1	ZL3b|f77r.19|G004	f77r.19	4	qokeedy	FLOW	ZL3b|f77r.16|G005	shedy	ZL3b|f77r.16|G005	shedy	MATERIAL	COMPATIBLE	True	26	21	26	21	participant	[]	[]	[]			False
TYPED_BACK|M|ZL3b|f77r.19|G005	TYPED_BACK	M	ZL3b	f77r:P1	ZL3b|f77r.19|G005	f77r.19	5	qokeedy	FLOW	ZL3b|f77r.16|G005	shedy	ZL3b|f77r.16|G005	shedy	MATERIAL	COMPATIBLE	True	27	21	27	21	participant	[]	[]	[]			False
TYPED_BACK|M|ZL3b|f77r.20|G003	TYPED_BACK	M	ZL3b	f77r:P1	ZL3b|f77r.20|G003	f77r.20	3	qokeedy	FLOW	ZL3b|f77r.16|G005	shedy	ZL3b|f77r.16|G005	shedy	MATERIAL	COMPATIBLE	True	34	27	34	27	participant	[]	[]	[]			False
TYPED_BACK|M|ZL3b|f77r.21|G003	TYPED_BACK	M	ZL3b	f77r:P1	ZL3b|f77r.21|G003	f77r.21	3	qokeedy	FLOW	ZL3b|f77r.21|G002	shedy	ZL3b|f77r.21|G002	shedy	MATERIAL	COMPATIBLE	False	0	0	0	0	participant	[]	[]	[]			False
TYPED_BACK|M|ZL3b|f77r.23|G006	TYPED_BACK	M	ZL3b	f77r:P1	ZL3b|f77r.23|G006	f77r.23	6	qokeedy	FLOW	ZL3b|f77r.21|G002	shedy	ZL3b|f77r.21|G002	shedy	MATERIAL	COMPATIBLE	True	21	18	21	18	participant	[]	[]	[]			False
NOMINAL_BACK|M|ZL3b|f77r.11|G007	NOMINAL_BACK	M	ZL3b	f77r:P1	ZL3b|f77r.11|G007	f77r.11	7	qokeedy	FLOW	ZL3b|f77r.11|G005	shedy	ZL3b|f77r.11|G005	shedy	MATERIAL	COMPATIBLE	False	1	1	1	1	participant	[]	[]	[]			False
NOMINAL_BACK|M|ZL3b|f77r.13|G001	NOMINAL_BACK	M	ZL3b	f77r:P1	ZL3b|f77r.13|G001	f77r.13	1	qokeedy	FLOW	ZL3b|f77r.11|G005	shedy	ZL3b|f77r.11|G005	shedy	MATERIAL	COMPATIBLE	True	12	10	12	10	participant	[]	[]	[]			False
NOMINAL_BACK|M|ZL3b|f77r.14|G007	NOMINAL_BACK	M	ZL3b	f77r:P1	ZL3b|f77r.14|G007	f77r.14	7	qokeedy	FLOW	ZL3b|f77r.14|G006	shedy	ZL3b|f77r.14|G006	shedy	MATERIAL	COMPATIBLE	False	0	0	0	0	participant	[]	[]	[]	ZL3b|f77r.14|G008	aus der Mündung	False
NOMINAL_BACK|M|ZL3b|f77r.15|G001	NOMINAL_BACK	M	ZL3b	f77r:P1	ZL3b|f77r.15|G001	f77r.15	1	qokeedy	FLOW	ZL3b|f77r.14|G006	shedy	ZL3b|f77r.14|G006	shedy	MATERIAL	COMPATIBLE	True	2	0	2	0	participant	[]	[]	[]			False
NOMINAL_BACK|M|ZL3b|f77r.16|G007	NOMINAL_BACK	M	ZL3b	f77r:P1	ZL3b|f77r.16|G007	f77r.16	7	qokeedy	FLOW	ZL3b|f77r.16|G005	shedy	ZL3b|f77r.16|G005	shedy	MATERIAL	COMPATIBLE	False	1	1	1	1	participant	[]	[]	[]			False
NOMINAL_BACK|M|ZL3b|f77r.17|G008	NOMINAL_BACK	M	ZL3b	f77r:P1	ZL3b|f77r.17|G008	f77r.17	8	qokeedy	FLOW	ZL3b|f77r.16|G005	shedy	ZL3b|f77r.16|G005	shedy	MATERIAL	COMPATIBLE	True	10	7	10	7	participant	[]	[]	[]			False
