variant	paragraph	locus	mention	form	kind	axis	value	scope	patient	patient_form	phase	rule	debts	row_status
B	f6v|f6v.6-f6v.21	f6v.6	f6v.6:2	shocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.6:2	shocthol	0	NOMINAL_INPUT		recorded
B	f6v|f6v.6-f6v.21	f6v.12	f6v.12:2	shy	STANDALONE	moisture	wet	PHYSICAL			0	MISSING	MISSING_MATERIAL_BINDING	recorded
B	f6v|f6v.6-f6v.21	f6v.14	f6v.14:2	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f6v.14:3	cthol	1	REGISTERED_ACTION_RESULT		recorded
B	f6v|f6v.6-f6v.21	f6v.15	f6v.15:4	chy	STANDALONE	thermal	hot	PHYSICAL	f6v.14:3	cthol	1	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
B	f6v|f6v.6-f6v.21	f6v.18	f6v.18:1	ytchocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.18:1	ytchocthol	0	NOMINAL_INPUT		recorded
B	f6v|f6v.6-f6v.21	f6v.19	f6v.19:1	ocholy	BARE_NOMINAL	moisture	dry	CONSTITUTION	f6v.19:1	ocholy	0	NOMINAL_INPUT		recorded
B	f6v|f6v.6-f6v.21	f6v.19	f6v.19:3	chy	STANDALONE	thermal	hot	PHYSICAL	f6v.19:1	ocholy	1	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	recorded
B	f6v|f6v.6-f6v.21	f6v.20	f6v.20:2	choldar	BARE_NOMINAL	moisture	dry	CONSTITUTION	f6v.20:2	choldar	0	NOMINAL_INPUT		recorded
J	f6v|f6v.6-f6v.21	f6v.6	f6v.6:2	shocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.6:2	shocthol	0	NOMINAL_INPUT		recorded
J	f6v|f6v.6-f6v.21	f6v.12	f6v.12:2	shy	STANDALONE	moisture	wet	PHYSICAL			0	MISSING	MISSING_MATERIAL_BINDING	recorded
J	f6v|f6v.6-f6v.21	f6v.14	f6v.14:2	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f6v.14:3	cthol	2	REGISTERED_ACTION_RESULT		recorded
J	f6v|f6v.6-f6v.21	f6v.15	f6v.15:4	chy	STANDALONE	thermal	hot	PHYSICAL	f6v.14:3	cthol	1	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
J	f6v|f6v.6-f6v.21	f6v.18	f6v.18:1	ytchocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.18:1	ytchocthol	0	NOMINAL_INPUT		recorded
J	f6v|f6v.6-f6v.21	f6v.19	f6v.19:1	ocholy	BARE_NOMINAL	moisture	dry	CONSTITUTION	f6v.19:1	ocholy	0	NOMINAL_INPUT		recorded
J	f6v|f6v.6-f6v.21	f6v.19	f6v.19:3	chy	STANDALONE	thermal	hot	PHYSICAL	f6v.19:1	ocholy	1	ACTION_RESULT_REFERENCE	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	recorded
J	f6v|f6v.6-f6v.21	f6v.20	f6v.20:2	choldar	BARE_NOMINAL	moisture	dry	CONSTITUTION	f6v.20:2	choldar	0	NOMINAL_INPUT		recorded
M	f6v|f6v.6-f6v.21	f6v.6	f6v.6:2	shocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.6:2	shocthol	0	NOMINAL_INPUT		recorded
M	f6v|f6v.6-f6v.21	f6v.12	f6v.12:2	shy	STANDALONE	moisture	wet	PHYSICAL			0	MISSING	MISSING_MATERIAL_BINDING	recorded
M	f6v|f6v.6-f6v.21	f6v.14	f6v.14:2	chol	ACTION_EFFECT	moisture	dry	PHYSICAL	f6v.14:3	cthol	2	REGISTERED_ACTION_RESULT		recorded
