paragraph	locus	index	raw	unchanged_W04_C	status	row_status
f6v|f6v.6-f6v.21	f6v.6	1	tchody	Bereitung	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.6	2	shocthol	benetztes Krautpulver	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.6	3	cho{cthh}y	[ungelesen: cho{cthh}y]	UNREAD	recorded
f6v|f6v.6-f6v.21	f6v.6	4	s	jeweils	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.7	1	ychos	zerkleinere	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.7	2	ychol	trockne	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.7	3	daiin	Dosis Q	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.7	4	cthol	Krautpulver	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.7	5	dol	Portion	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.8	1	ychor	ferner	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.8	2	chor	Blüten	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.8	3	okchey	zerstoße fein	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.8	4	qokom	erwärme portionsweise	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.9	1	oeeo	miss ab	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.9	2	dal	Maß	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.9	3	chor	Blüten	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.9	4	cthom	Kräuterportion	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.9	5	s	jeweils	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.10	1	qokchod	trockne vollständig	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.10	2	ychear	vermische	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.10	3	kchdy	feines Pulver	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.11	1	lor	mit	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.11	2	char	Blütenanteil	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.11	3	otam	Ansatzmasse	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.11	4	ctho	Krautmehl	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.11	5	m	danach	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.11	6	dy	fertig	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.12	1	ytcho[s:r]	[ungelesen: ytcho[s:r]]	UNREAD	recorded
f6v|f6v.6-f6v.21	f6v.12	2	shy	feucht	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.12	3	qokam	erwärme	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.12	4	cthy	Kraut	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.13	1	yodaiin	weitere Dosis Q	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.13	2	cthy	Kraut	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.13	3	s	jeweils	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.13	4	chor	Blüten	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.13	5	oees	gemischt	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.13	6	or	Anteil	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.14	1	qokor	erhitze	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.14	2	chol	trockne	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.14	3	cthol	Krautpulver	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.14	4	tchalody	fein gesiebt	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.15	1	chockhy	vermische	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.15	2	s	jeweils	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.15	3	or	Anteil	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.15	4	chy	heiß	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.15	5	s	jeweils	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.15	6	ain	Maßzahl P	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.15	7	ar	Teil	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.16	1	ochy	kühle	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.16	2	cthar	kleine Kräuterportion	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.16	3	cth[a:o]r	[ungelesen: cth[a:o]r]	UNREAD	recorded
f6v|f6v.6-f6v.21	f6v.16	4	cthy	Kraut	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.17	1	y	und	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.17	2	chaies	weich	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.17	3	ckhal	presse aus	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.17	4	cthodam	Kräuterrückstand	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.17	5	dy	fertig	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.18	1	ytchocthol	benetztes Krautmehl	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.18	2	ches	stampfe	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.18	3	{ith}or	[ungelesen: {ith}or]	UNREAD	recorded
f6v|f6v.6-f6v.21	f6v.19	1	ocholy	trockenes Feinmehl [nominale Qualität: Stoffkonstitution]	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.19	2	kchos	zerreibe	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.19	3	chy	heiß	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.19	4	dor	abgemessene Menge	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.20	1	dchor	Blütenportion	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.20	2	choldar	Trockenanteil [nominale Qualität: Stoffkonstitution]	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.20	3	okol	Grundansatz	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.20	4	daiin	Dosis Q	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.21	1	ycheor	zum Schluss	ASSUMED	recorded
