edition	variant	paragraph	operation	form	old_patient	new_patient	old_patient_form	new_patient_form	old_second	new_second	old_debts	new_debts	row_status
ZL3b	J	f6v|f6v.6-f6v.21	f6v.10:1	qokchod	f6v.9:4	f6v.10:3	cthom	kchdy			IMPLICIT_SUBJECT_CONTINUATION		recorded
ZL3b	J	f6v|f6v.6-f6v.21	f6v.14:1	qokor	f6v.13:4	f6v.14:3	chor	cthol			IMPLICIT_SUBJECT_CONTINUATION		recorded
ZL3b	M	f6v|f6v.6-f6v.21	f6v.7:1	ychos	f6v.6:2	f6v.7:4	shocthol	cthol			UNREAD_BETWEEN:f6v.6:3;IMPLICIT_SUBJECT_CONTINUATION		recorded
ZL3b	M	f6v|f6v.6-f6v.21	f6v.10:1	qokchod	f6v.9:4	f6v.10:3	cthom	kchdy			IMPLICIT_SUBJECT_CONTINUATION		recorded
ZL3b	M	f6v|f6v.6-f6v.21	f6v.14:1	qokor	f6v.13:4	f6v.14:3	chor	cthol			IMPLICIT_SUBJECT_CONTINUATION		recorded
ZL3b	J	f17v|f17v.1-f17v.23	f17v.13:2	chol	f17v.12:6	f17v.13:4	chor	cthol			UNREAD_BETWEEN:f17v.13:1;IMPLICIT_SUBJECT_CONTINUATION		recorded
ZL3b	J	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.19:4	f17v.20:3	cthor	cheor			UNREAD_BETWEEN:f17v.19:5;IMPLICIT_SUBJECT_CONTINUATION		recorded
ZL3b	M	f17v|f17v.1-f17v.23	f17v.13:2	chol	f17v.12:6	f17v.13:4	chor	cthol			UNREAD_BETWEEN:f17v.13:1;IMPLICIT_SUBJECT_CONTINUATION		recorded
ZL3b	M	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.19:4	f17v.20:3	cthor	cheor			UNREAD_BETWEEN:f17v.19:5;IMPLICIT_SUBJECT_CONTINUATION		recorded
ZL3b	J	f24r|f24r.1-f24r.20	f24r.12:1	qokchy	f24r.11:5	f24r.12:3	qokain	tol		f24r.12:4	IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT		recorded
ZL3b	M	f24r|f24r.1-f24r.20	f24r.12:1	qokchy	f24r.11:5	f24r.12:3	qokain	tol		f24r.12:4	IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT		recorded
ZL3b	J	f102v2|f102v2.30-f102v2.39	f102v2.35:5	shekeey	f102v2.35:4	f102v2.35:7	sheeor	cheo					recorded
ZL3b	J	f102v2|f102v2.30-f102v2.39	f102v2.35:6	qoky	f102v2.35:4	f102v2.35:7	sheeor	cheo					recorded
ZL3b	M	f102v2|f102v2.30-f102v2.39	f102v2.35:5	shekeey	f102v2.35:4	f102v2.35:7	sheeor	cheo					recorded
ZL3b	M	f102v2|f102v2.30-f102v2.39	f102v2.35:6	qoky	f102v2.35:4	f102v2.35:7	sheeor	cheo					recorded
IT2a	J	f6v|f6v.6-f6v.21	f6v.14:1	qokor	f6v.13:4	f6v.14:3	chor	cthol			IMPLICIT_SUBJECT_CONTINUATION		recorded
IT2a	M	f6v|f6v.6-f6v.21	f6v.7:1	ychos	f6v.6:2	f6v.7:4	shocthol	cthol			UNREAD_BETWEEN:f6v.6:3;IMPLICIT_SUBJECT_CONTINUATION		recorded
IT2a	M	f6v|f6v.6-f6v.21	f6v.14:1	qokor	f6v.13:4	f6v.14:3	chor	cthol			IMPLICIT_SUBJECT_CONTINUATION		recorded
IT2a	J	f17v|f17v.1-f17v.23	f17v.13:2	chol	f17v.12:6	f17v.13:4	chor	cthol			UNREAD_BETWEEN:f17v.13:1;IMPLICIT_SUBJECT_CONTINUATION		recorded
IT2a	J	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.19:4	f17v.20:3	cthor	cheor			UNREAD_BETWEEN:f17v.19:6;IMPLICIT_SUBJECT_CONTINUATION		recorded
IT2a	M	f17v|f17v.1-f17v.23	f17v.13:2	chol	f17v.12:6	f17v.13:4	chor	cthol			UNREAD_BETWEEN:f17v.13:1;IMPLICIT_SUBJECT_CONTINUATION		recorded
IT2a	M	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.19:4	f17v.20:3	cthor	cheor			UNREAD_BETWEEN:f17v.19:6;IMPLICIT_SUBJECT_CONTINUATION		recorded
IT2a	J	f24r|f24r.1-f24r.20	f24r.12:1	qokchy	f24r.11:5	f24r.12:3	qokain	tol		f24r.12:4	IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT		recorded
IT2a	M	f24r|f24r.1-f24r.20	f24r.12:1	qokchy	f24r.11:5	f24r.12:3	qokain	tol		f24r.12:4	IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT		recorded
IT2a	J	f102v2|f102v2.30-f102v2.39	f102v2.35:5	shekeey	f102v2.35:4	f102v2.35:7	sheeor	cheo					recorded
IT2a	J	f102v2|f102v2.30-f102v2.39	f102v2.35:6	qoky	f102v2.35:4	f102v2.35:7	sheeor	cheo					recorded
IT2a	M	f102v2|f102v2.30-f102v2.39	f102v2.35:5	shekeey	f102v2.35:4	f102v2.35:7	sheeor	cheo					recorded
IT2a	M	f102v2|f102v2.30-f102v2.39	f102v2.35:6	qoky	f102v2.35:4	f102v2.35:7	sheeor	cheo					recorded
RF1b	J	f6v|f6v.6-f6v.21	f6v.10:1	qokchod	f6v.9:4	f6v.10:3	cthom	kchdy			IMPLICIT_SUBJECT_CONTINUATION		recorded
RF1b	J	f6v|f6v.6-f6v.21	f6v.14:1	qokor	f6v.13:4	f6v.14:3	chor	cthol			UNREAD_BETWEEN:f6v.13:6;IMPLICIT_SUBJECT_CONTINUATION		recorded
RF1b	M	f6v|f6v.6-f6v.21	f6v.7:1	ychos	f6v.6:2	f6v.7:4	shocthol	cthol			UNREAD_BETWEEN:f6v.6:3;IMPLICIT_SUBJECT_CONTINUATION		recorded
RF1b	M	f6v|f6v.6-f6v.21	f6v.10:1	qokchod	f6v.9:4	f6v.10:3	cthom	kchdy			IMPLICIT_SUBJECT_CONTINUATION		recorded
RF1b	M	f6v|f6v.6-f6v.21	f6v.14:1	qokor	f6v.13:4	f6v.14:3	chor	cthol			UNREAD_BETWEEN:f6v.13:6;IMPLICIT_SUBJECT_CONTINUATION		recorded
RF1b	J	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.19:4	f17v.20:3	cthor	cheor			UNREAD_BETWEEN:f17v.19:5;IMPLICIT_SUBJECT_CONTINUATION		recorded
RF1b	M	f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.19:4	f17v.20:3	cthor	cheor			UNREAD_BETWEEN:f17v.19:5;IMPLICIT_SUBJECT_CONTINUATION		recorded
RF1b	J	f24r|f24r.1-f24r.20	f24r.12:1	qokchy	f24r.11:5	f24r.12:3	qokain	tol		f24r.12:4	IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT		recorded
RF1b	M	f24r|f24r.1-f24r.20	f24r.12:1	qokchy	f24r.11:5	f24r.12:3	qokain	tol		f24r.12:4	IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT		recorded
