paragraph	line_count	group_count	all_runs	J_eligible	M_eligible	status	row_status
f6v|f6v.6-f6v.21	16	71	f6v.7:1-2;f6v.8:3-4;f6v.10:1-2;f6v.14:1-2	f6v.10:1-2;f6v.14:1-2	f6v.7:1-2;f6v.10:1-2;f6v.14:1-2	CONDITIONAL_REBINDING	recorded
f9v|f9v.5-f9v.12	8	48	f9v.7:1-3			UNCHANGED_FROM_W04_C_R	recorded
f17v|f17v.1-f17v.23	23	135	f17v.5:1-2;f17v.13:2-3;f17v.20:1-2	f17v.13:2-3;f17v.20:1-2	f17v.13:2-3;f17v.20:1-2	CONDITIONAL_REBINDING	recorded
f19v|f19v.8-f19v.14	7	41				UNCHANGED_FROM_W04_C_R	recorded
f22v|f22v.6-f22v.16	11	44				UNCHANGED_FROM_W04_C_R	recorded
f23r|f23r.4-f23r.5	2	21				UNCHANGED_FROM_W04_C_R	recorded
f24r|f24r.1-f24r.20	20	110	f24r.12:1-2	f24r.12:1-2	f24r.12:1-2	CONDITIONAL_REBINDING	recorded
f45v|f45v.5-f45v.11	7	48	f45v.9:3-4			UNCHANGED_FROM_W04_C_R	recorded
f86v5|f86v5.18-f86v5.25	8	76				UNCHANGED_FROM_W04_C_R	recorded
f93r|f93r.1-f93r.32	32	152	f93r.10:1-2			UNCHANGED_FROM_W04_C_R	recorded
f99r|f99r.47-f99r.52	6	43	f99r.50:2-3			UNCHANGED_FROM_W04_C_R	recorded
f102v2|f102v2.30-f102v2.39	10	93	f102v2.35:5-6;f102v2.36:2-3;f102v2.36:8-9	f102v2.35:5-6	f102v2.35:5-6	CONDITIONAL_REBINDING	recorded
f106r|f106r.8-f106r.9	2	18	f106r.8:6-7			UNCHANGED_FROM_W04_C_R	recorded
