edition	locus	raw_line	all_group_separators	maximal_runs	J_eligible	M_eligible	row_status
ZL3b	f17v.13	ykeor chol chol cthol chkor sheol	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f17v.13:2-3=chol chol	f17v.13:2-3	f17v.13:2-3	recorded
ZL3b	f17v.20	ykeey okeey cheor chol sho odaiin	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f17v.20:1-2=ykeey okeey	f17v.20:1-2	f17v.20:1-2	recorded
ZL3b	f17v.5	ychol chol dolcheey tchol dar ckhy	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f17v.5:1-2=ychol chol			recorded
ZL3b	f45v.9	ychor cthy chol qokom sy sa ykchom	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DRAWING_INTERRUPTION;UNCERTAIN_SMALL_SPACE;LINE_END	f45v.9:3-4=chol qokom			recorded
ZL3b	f93r.10	ychos chey keol cheol ckhody	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f93r.10:1-2=ychos chey			recorded
ZL3b	f99r.50	qokeeo okeey qokeey okesy qokeeo sar sheseky or al	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f99r.50:2-3=okeey qokeey			recorded
ZL3b	f9v.7	qo chol chol {ct}chy daiin otal dor daim	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DRAWING_INTERRUPTION;DRAWING_INTERRUPTION;DRAWING_INTERRUPTION;LINE_END	f9v.7:1-3=qo chol chol			recorded
ZL3b	f102v2.35	ychor sheol por sheeor shekeey qoky cheo teody qokeol daiin	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f102v2.35:5-6=shekeey qoky	f102v2.35:5-6	f102v2.35:5-6	recorded
ZL3b	f102v2.36	okeeor cheey okeey sor eeey okey okey okeey qokeor	DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f102v2.36:2-3=cheey okeey;f102v2.36:8-9=okeey qokeor			recorded
ZL3b	f106r.8	porarchy orar ol kaiin shedy oteedy qotor qoteedo qoteedy dair ok[ch:ee]daim	DEFINITE_SPACE;DEFINITE_SPACE;UNCERTAIN_SMALL_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;DEFINITE_SPACE;LINE_END	f106r.8:6-7=oteedy qotor			recorded
