lesson	lesson_name_de	order_within_lesson	component	short_value_de	category	events	recitation_de
1	Bildbesitzer und laufender Posten	1	Y	ARBEITSPOSTEN	ITEM_REFERENCE	124	Y heisst ARBEITSPOSTEN
1	Bildbesitzer und laufender Posten	2	OS	ARBEITSFACH	MEMORIZED_WHOLE_COMMAND	1	OS heisst ARBEITSFACH
1	Bildbesitzer und laufender Posten	3	RESUME_CARD	WIEDERAUFNEHMEN	MEMORIZED_WHOLE_COMMAND	2	RESUME_CARD heisst WIEDERAUFNEHMEN
2	Material, Quelle und Arbeitsplatz	1	AR	VORRAT	ADDRESS	14	AR heisst VORRAT
2	Material, Quelle und Arbeitsplatz	2	AIR	FLUESSIGKEITSLAUF	MATERIAL_STATE	5	AIR heisst FLUESSIGKEITSLAUF
2	Material, Quelle und Arbeitsplatz	3	OR	ANSATZ	MATERIAL_STATE	18	OR heisst ANSATZ
2	Material, Quelle und Arbeitsplatz	4	HO	ZUTAT	MATERIAL_STATE	8	HO heisst ZUTAT
2	Material, Quelle und Arbeitsplatz	5	CKH	DURCHLASS	WORK_OBJECT	14	CKH heisst DURCHLASS
2	Material, Quelle und Arbeitsplatz	6	O	ARBEITSGANG	WORK_OBJECT	19	O heisst ARBEITSGANG
3	Portion, Sollmass und Stufe	1	AIN	PORTION	QUANTITY	18	AIN heisst PORTION
3	Portion, Sollmass und Stufe	2	AIIN	SOLLMASS	QUANTITY	39	AIIN heisst SOLLMASS
3	Portion, Sollmass und Stufe	3	IIN	ARBEITSSTUFE	QUANTITY_STAGE	4	IIN heisst ARBEITSSTUFE
3	Portion, Sollmass und Stufe	4	AN	NACHPORTION	QUANTITY	1	AN heisst NACHPORTION
4	Kernhandlungen und Prozesszustand	1	OK	ANSETZEN	PROCESS_VERB	79	OK heisst ANSETZEN
4	Kernhandlungen und Prozesszustand	2	CHD	UMSETZEN	PROCESS_VERB	48	CHD heisst UMSETZEN
4	Kernhandlungen und Prozesszustand	3	SH	HALTEN	PROCESS_VERB	25	SH heisst HALTEN
4	Kernhandlungen und Prozesszustand	4	SHED	ABSETZEN	PROCESS_VERB	15	SHED heisst ABSETZEN
4	Kernhandlungen und Prozesszustand	5	CHK	WAERMEN	PROCESS_VERB	7	CHK heisst WAERMEN
4	Kernhandlungen und Prozesszustand	6	CTH	BEREIT	PROCESS_STATE	15	CTH heisst BEREIT
4	Kernhandlungen und Prozesszustand	7	SOLK	AUFFANGEN	PROCESS_VERB	7	SOLK heisst AUFFANGEN
4	Kernhandlungen und Prozesszustand	8	P	EINFUELLEN	PROCESS_VERB	3	P heisst EINFUELLEN
4	Kernhandlungen und Prozesszustand	9	LSH	WASCHEN	PROCESS_VERB	3	LSH heisst WASCHEN
4	Kernhandlungen und Prozesszustand	10	CFH	AUSWRINGEN	PROCESS_VERB	1	CFH heisst AUSWRINGEN
5	Hilfshandlungen	1	CH	ABNEHMEN	CONTROL_ACTION	16	CH heisst ABNEHMEN
5	Hilfshandlungen	2	T	EINTRAGEN	CONTROL_ACTION	10	T heisst EINTRAGEN
5	Hilfshandlungen	3	K	ZUDOSIEREN	CONTROL_ACTION	21	K heisst ZUDOSIEREN
5	Hilfshandlungen	4	S	TEILEN	CONTROL_ACTION	1	S heisst TEILEN
5	Hilfshandlungen	5	LD	BEFESTIGEN	CONTROL_ACTION	1	LD heisst BEFESTIGEN
6	Weg, Folge und Ziel	1	L	WEITERLEITEN	DIRECTION_SEQUENCE	27	L heisst WEITERLEITEN
6	Weg, Folge und Ziel	2	OL	FORTSETZEN	DIRECTION_SEQUENCE	48	OL heisst FORTSETZEN
6	Weg, Folge und Ziel	3	OT	DANACH	DIRECTION_SEQUENCE	26	OT heisst DANACH
6	Weg, Folge und Ziel	4	AL	ZIELSTELLE	ADDRESS	39	AL heisst ZIELSTELLE
7	Grad, Kuehlung und zweiter Gang	1	E	KURZ	GRADE	49	E heisst KURZ
7	Grad, Kuehlung und zweiter Gang	2	EE	LANG	GRADE	40	EE heisst LANG
7	Grad, Kuehlung und zweiter Gang	3	EEE	VOLL	GRADE	2	EEE heisst VOLL
7	Grad, Kuehlung und zweiter Gang	4	R	KUEHLEN	PROCESS_MODIFIER	6	R heisst KUEHLEN
7	Grad, Kuehlung und zweiter Gang	5	DA	ZWEITMARKER	CONTROL_MARKER	1	DA heisst ZWEITMARKER
8	Aktiv lassen oder schliessen	1	DY	SCHLUSS	LICENSED_ENDPOINT	89	DY heisst SCHLUSS
9	Drei gelernte Ganzbefehle	1	TALAM	VERWAHREN	MEMORIZED_WHOLE_COMMAND	1	TALAM heisst VERWAHREN
