category_signature	card_types	events
PROCESS_VERB>ITEM_REFERENCE	7	28
PROCESS_VERB>GRADE>LICENSED_ENDPOINT	8	27
PROCESS_VERB>GRADE>ITEM_REFERENCE	10	23
DIRECTION_SEQUENCE	3	22
QUANTITY	2	22
PROCESS_VERB>QUANTITY	4	18
ITEM_REFERENCE	1	18
PROCESS_VERB>LICENSED_ENDPOINT	3	17
ADDRESS	2	15
DIRECTION_SEQUENCE>PROCESS_VERB>LICENSED_ENDPOINT	4	14
MATERIAL_STATE	2	11
PROCESS_VERB>ADDRESS	4	10
PROCESS_STATE>ITEM_REFERENCE	1	7
PROCESS_VERB>PROCESS_VERB>LICENSED_ENDPOINT	3	6
DIRECTION_SEQUENCE>ITEM_REFERENCE	4	5
DIRECTION_SEQUENCE>ADDRESS	3	5
MEMORIZED_WHOLE_COMMAND	3	4
DIRECTION_SEQUENCE>GRADE>LICENSED_ENDPOINT	2	4
DIRECTION_SEQUENCE>LICENSED_ENDPOINT	2	4
DIRECTION_SEQUENCE>QUANTITY	2	4
WORK_OBJECT>ITEM_REFERENCE	1	4
CONTROL_ACTION>GRADE>ITEM_REFERENCE	3	3
ITEM_REFERENCE>CONTROL_ACTION>QUANTITY	3	3
CONTROL_ACTION>ITEM_REFERENCE	2	3
DIRECTION_SEQUENCE>GRADE>ITEM_REFERENCE	2	3
CONTROL_ACTION>QUANTITY	1	3
PROCESS_VERB>WORK_OBJECT>GRADE>LICENSED_ENDPOINT	1	3
CONTROL_ACTION>ADDRESS	2	2
CONTROL_ACTION>MATERIAL_STATE	2	2
DIRECTION_SEQUENCE>CONTROL_ACTION>ITEM_REFERENCE	2	2
DIRECTION_SEQUENCE>DIRECTION_SEQUENCE	2	2
DIRECTION_SEQUENCE>PROCESS_VERB>ADDRESS	2	2
GRADE>CONTROL_ACTION>ITEM_REFERENCE	2	2
PROCESS_VERB>DIRECTION_SEQUENCE	2	2
PROCESS_VERB>GRADE>DIRECTION_SEQUENCE	2	2
PROCESS_VERB>MATERIAL_STATE	2	2
DIRECTION_SEQUENCE>CONTROL_ACTION>MATERIAL_STATE	1	2
DIRECTION_SEQUENCE>CONTROL_ACTION>QUANTITY	1	2
DIRECTION_SEQUENCE>MATERIAL_STATE	1	2
PROCESS_STATE>GRADE>ITEM_REFERENCE	1	2
WORK_OBJECT>QUANTITY_STAGE	1	2
ADDRESS>ITEM_REFERENCE	1	1
ADDRESS>LICENSED_ENDPOINT	1	1
ADDRESS>PROCESS_MODIFIER>MATERIAL_STATE	1	1
ADDRESS>PROCESS_VERB>LICENSED_ENDPOINT	1	1
CONTROL_ACTION>CONTROL_ACTION>WORK_OBJECT>LICENSED_ENDPOINT	1	1
CONTROL_ACTION>DIRECTION_SEQUENCE	1	1
CONTROL_ACTION>GRADE>CONTROL_ACTION	1	1
CONTROL_ACTION>GRADE>DIRECTION_SEQUENCE	1	1
CONTROL_ACTION>GRADE>WORK_OBJECT>ADDRESS	1	1
CONTROL_ACTION>GRADE>WORK_OBJECT>WORK_OBJECT>LICENSED_ENDPOINT	1	1
CONTROL_ACTION>MATERIAL_STATE>ADDRESS	1	1
CONTROL_ACTION>PROCESS_VERB>DIRECTION_SEQUENCE	1	1
CONTROL_ACTION>QUANTITY_STAGE	1	1
CONTROL_ACTION>WORK_OBJECT>ADDRESS	1	1
CONTROL_ACTION>WORK_OBJECT>QUANTITY	1	1
CONTROL_MARKER>QUANTITY_STAGE	1	1
DIRECTION_SEQUENCE>ADDRESS>ITEM_REFERENCE	1	1
DIRECTION_SEQUENCE>ADDRESS>MATERIAL_STATE	1	1
DIRECTION_SEQUENCE>CONTROL_ACTION>DIRECTION_SEQUENCE	1	1
DIRECTION_SEQUENCE>CONTROL_ACTION>GRADE>LICENSED_ENDPOINT	1	1
DIRECTION_SEQUENCE>GRADE>QUANTITY	1	1
DIRECTION_SEQUENCE>ITEM_REFERENCE>CONTROL_ACTION>CONTROL_ACTION>DIRECTION_SEQUENCE	1	1
DIRECTION_SEQUENCE>PROCESS_VERB	1	1
DIRECTION_SEQUENCE>PROCESS_VERB>GRADE>LICENSED_ENDPOINT	1	1
DIRECTION_SEQUENCE>WORK_OBJECT	1	1
DIRECTION_SEQUENCE>WORK_OBJECT>GRADE>LICENSED_ENDPOINT	1	1
DIRECTION_SEQUENCE>WORK_OBJECT>ITEM_REFERENCE	1	1
DIRECTION_SEQUENCE>WORK_OBJECT>PROCESS_VERB>LICENSED_ENDPOINT	1	1
DIRECTION_SEQUENCE>WORK_OBJECT>QUANTITY	1	1
GRADE>ADDRESS	1	1
GRADE>CONTROL_ACTION>GRADE>ITEM_REFERENCE	1	1
GRADE>DIRECTION_SEQUENCE	1	1
ITEM_REFERENCE>CONTROL_ACTION>GRADE>MATERIAL_STATE	1	1
MATERIAL_STATE>ADDRESS>ITEM_REFERENCE	1	1
MATERIAL_STATE>CONTROL_ACTION>MATERIAL_STATE	1	1
MATERIAL_STATE>ITEM_REFERENCE	1	1
