rule_no	rule_id	instruction_de
1	LOOK_AT_OWNER	Zuerst Bild und lokalen Arbeitsbesitzer merken; er wird nicht in jeder Karte wiederholt.
2	KEEP_ACTIVE_ITEM	Y fuehrt den aktuell gemeinten Posten weiter; ein sichtbares dy kann diese Y-Karte schreiben.
3	SOURCE_BEFORE_TARGET	AR ist Vorrat/Quelle, AL ist Ziel; beide niemals vertauschen.
4	MATERIAL_NOT_ADDRESS	AIR ist laufende Fluessigkeit, OR Ansatz, HO Zutat; sie sind keine Richtungszeichen.
5	THREE_QUANTITY_LEVELS	AIN ist Portion, AIIN Sollmass, IIN Arbeitsstufe.
6	CHOOSE_CORE_ACTION	Eine Kernhandlung waehlen: ansetzen, umsetzen, halten, absetzen, waermen, auffangen, einfuellen, waschen oder auswringen.
7	ADD_HELPER_ACTION	Bei Bedarf abnehmen, eintragen, zudosieren, teilen oder befestigen.
8	DISTINGUISH_PATH_SEQUENCE	L leitet den Posten weiter, OL setzt denselben Gang fort, OT beginnt den folgenden Gang.
9	ADD_GRADE	E kurz, EE lang, EEE vollstaendig; Grad nur dort einsetzen, wo die genaue Karte im Exemplar steht.
10	READY_AND_COOL	CTH markiert bereit; R kuehlt; beide koennen vor dem naechsten Vorgang stehen.
11	ENDPOINT_LAST	Y laesst den Posten aktiv; nur die gelernte DY-Kartenkonstruktion schliesst.
12	COPY_EXACT_CARD	Nach der Bedeutungswahl die genaue Ganzkarte aus der Tafel kopieren; Komponenten nicht frei buchstabieren.
13	USE_THREE_WHOLE_COMMANDS	OS Arbeitsfach, dchol/schol Wiederaufnahme, TALAM Verwahren als ganze Karten lernen.
14	LINE_IS_SPACE	Eine physische Zeile beendet die Aussage nicht; am naechsten Platz fortsetzen.
15	RENDER_ENTRY	q/s und andere sichtbare Varianten aus dem lokalen Kartenexemplar uebernehmen, nicht semantisch lesen.
16	READ_BACK	Zum Pruefen jede Karte atomar aufsagen und erst danach die fluessige Werkstattanweisung sprechen.
