source_reading_id	surface	model_id	candidate_default_de	decision	evidence_fit_de	conflict_de	portable_default_selected	score_credit
pol#1	pol	SCOPED_COMPOSITION	Pulverstoff	SELECT_PORTABLE_WHOLE	p+ol sagt pol im vollständigen Vier-Kopf-Gitter voraus; 16 Vorkommen, 12 Seiten, 13 lesergenau.	p und ol bleiben außerhalb dieser Konstruktion nicht frei.	1	0
pol#1	pol	ATOMIC_WHOLE	Pulverstoff als gelerntes Ganzwort	KEEP_RIVAL	Der konkrete lokale Wert bleibt gleich.	Erklärt die belegten pol/sol/rol/lol-Wechsel nicht.	0	0
pol#1	pol	POTIO_PILULA	Trank oder Pille	KEEP_HISTORICAL_RIVAL	GDT635 bewahrt potio/pilula als p-Rivalen.	OL-Gitter und BOS-Materialrolle sprechen stärker für Pulverstoff.	0	0
lor#1	lor	SCOPED_COMPOSITION	Holzportion	SELECT_PORTABLE_WHOLE	l+or sagt lor im vollständigen Vier-Kopf-Gitter voraus; 38 Vorkommen, 28 Seiten, 30 lesergenau.	l und or bleiben konstruktionsgebunden.	1	0
lor#1	lor	LIQUOR_EXTRACT	Auszugsportion	KEEP_HISTORICAL_RIVAL	liquor/Auszug ist der lebende l-Rivale.	Keine Flüssigkeits- oder Entnahmemarkierung an P079; OR-Kontrolle ergibt Portion.	0	0
lor#1	lor	ATOMIC_WHOLE	Holzportion als gelerntes Ganzwort	KEEP_RIVAL	Passt der einzelnen Fundstelle.	Verliert die Vorhersage des por/sor/ror/lor-Gitters.	0	0
l#1	l	WOOD_HEAD_PLUS_BOUND_OCCURRENCE	Holz-Kopf; aktive Stelle nur im B003-Ganzspan	SELECT_SCOPE_SPLIT	Produktiver l-Anfangskopf ist großflächig belegt; beide Alternativleser verschmelzen die aktive Stelle mit karchees.	Das nackte l selbst ist kein Beleg für freien Holzexport.	1	0
l#1	l	FREE_WOOD	Holz	REJECT_FREE_EXPORT	Der B003-Gesamtwert enthält Holzdroge.	163 nackte l sind vom Initialkopf getrennt; Einzelausgabe würde B003 doppeln.	0	0
l#1	l	WEIGHT_UNIT	Pfund / Gewichtseinheit	KEEP_LOCAL_RIVAL	Die ältere f66r-Lesung liefert einen Mengenrivalen.	Passt dem B003-Holzdrogenverband an P435 schlechter.	0	0
r#1	r	ROOT_HEAD_PLUS_BOUND_OCCURRENCE	Wurzel-Kopf; aktive Stelle nur im keo-r-Ganzspan	SELECT_SCOPE_SPLIT	Produktiver r-Anfangskopf ist großflächig belegt; aktive Leser verschmelzen keo r zu keor.	Die aktive nackte Stelle trägt Wurzel nicht selbständig.	1	0
r#1	r	FREE_ROOT	Wurzel	REJECT_FREE_EXPORT	GDT635 stützt r=radix in Initialkompositionen.	129 nackte r sind getrennt; P289 wird vom Span vollständig konsumiert.	0	0
r#1	r	R_EQUALS_PORTION	Portion	REJECT_COMPONENT_VALUE	Der lokale Gesamtspan lautet heiße Portion.	GDT693 bindet Portion an OR, nicht R; der Wert gehört keo r als Ganzem.	0	0
