binding_id	source_reading_id	source_gdt	evidence_path	selector	field_assertions	evidence_role	score_credit_family_ids	normalization_class	matched_row_fingerprint_sha256	source_row_match	evidence_status	historical_confirmation
V93_POL_LEX	pol#1	GDT720	experiments/yolo/gdt720_v93_cold_result_whole_domain_repair/artifacts/V93_324_ACTIVE_LEXICAL_READINGS.tsv	source_reading_ids=pol#1;surface=pol	v93_lexical_core_de=Pulverstoff;working_model_score_0_100_not_probability=31;working_model_level=W1_WEAK_WORKING;last_semantic_writer=GDT684	CANONICAL_V93_LEXICAL	NONE	SCOPED_FOUR_HEAD_COMPOUND	abcbf393731eaba3f22776fbdc37068275279895129e7753445d646338eac6af	1	BOUND_EXACT_PRIMARY_ROW	H0_NONE
V93_POL_CTX	pol#1	GDT720	experiments/yolo/gdt720_v93_cold_result_whole_domain_repair/artifacts/V93_479_CONTEXT_REALIZATIONS.tsv	position_id=P267;surface=pol	source_reading_id=pol#1;page=f77r;locus=f77r.38;token_ordinal=1;v93_context_realization_de=Pulverstoff;v68_clause_type=NOMINAL_BLOCK;v68_action_license=NOT_ACTION_LICENSED	CANONICAL_V93_POSITION	NONE	SCOPED_FOUR_HEAD_COMPOUND	1910cc602bc25578b4c0eb5b1c415f6f35614f7d9e2346313080f0be79ec1d16	1	BOUND_EXACT_PRIMARY_ROW	H0_NONE
V93_POL_CENSUS	pol#1	GDT720	experiments/yolo/gdt720_v93_cold_result_whole_domain_repair/artifacts/V93_58_HELD_READING_AUDIT.tsv	source_reading_id=pol#1;surface=pol	disposition=HELD_FOR_LATER_REPAIR;old_score=31;old_level=W1_WEAK_WORKING;repair_queue=HEAD_AND_OL_HOLD;issue_cluster=CURRENT_DEBT_ONLY	CANONICAL_V93_DEBT	NONE	SCOPED_FOUR_HEAD_COMPOUND	53d11d2b4e89cc082edd28a4f78527aa8ffffc30fd41c9e83d1f7a0d679691c8	1	BOUND_EXACT_PRIMARY_ROW	H0_NONE
G635_POL_CELL	pol#1	GDT635	experiments/yolo/gdt635_initial_head_same_remainder_swaps/artifacts/CONCRETE_FOUR_HEAD_PARADIGMS.tsv	cell_id=G635-C13;form=pol	body=ol;body_value_de=Stoff/Material;head=p;head_value_de=Pulver/Pulverform;working_default_de=Pulverstoff;occurrences=16;pages=12;reader_exact_occurrences=13;status=ATTESTED_COMPLETE_FOUR_HEAD_PARADIGM	EXACT_COMPOUND_CELL	NONE	SCOPED_FOUR_HEAD_COMPOUND	77f067a3e808b94058fc9e66d816fe49d2106caa7f53a143f76a4dbd4ffa841a	1	BOUND_EXACT_PRIMARY_ROW	H0_NONE
G635_POL_OL_GRID	pol#1	GDT635	experiments/yolo/gdt635_initial_head_same_remainder_swaps/artifacts/SHARED_REMAINDER_ATLAS.tsv	shared_id=G635-R003;body=ol	head_occupancy=4;heads=p|s|r|l;forms=p:pol|s:sol|r:rol|l:lol;total_headed_occurrences=128;bare_body_occurrences=463;exact_v11_dictionary_body=1;inherited_or_working_body_value_de=Stoff/Material	FOUR_HEAD_REMAINDER_PREDICTION	NONE	SCOPED_FOUR_HEAD_COMPOUND	ddf5d608b20a9cb7ecd0280622fdc120454faab484636f9b9753020b9381903a	1	BOUND_EXACT_PRIMARY_ROW	H0_NONE
G635_POL_FRAME	pol#1	GDT635	experiments/yolo/gdt635_initial_head_same_remainder_swaps/artifacts/EXACT_NEIGHBOR_FRAME_SWAPS.tsv	frame_id=G635-F12;body=ol	previous=<BOS>;following=shedy;heads=p|s;forms=pol|sol;reader_exact_by_head=p:1|s:4;register_matched_all_heads=1;working_contrast_de=Pulverstoff ↔ Samenmaterial/Saatgut	EXACT_NEIGHBOR_FRAME_SWAP	NONE	SCOPED_FOUR_HEAD_COMPOUND	4ef575e3038189eeb85e9366c217c534b2c973dd23d1ba710c0b619b4100509f	1	BOUND_EXACT_PRIMARY_ROW	H0_NONE
G635_P_HEAD	pol#1	GDT635	experiments/yolo/gdt635_initial_head_same_remainder_swaps/artifacts/INITIAL_HEAD_SCOPE_PROFILE.tsv	head=p	latin_stem=pulvis;primary_default_de=Pulver/Pulverform;live_rival_de=potio oder pilula;initial_occurrences=503;initial_types=277;initial_pages=140;initial_reader_exact_occurrences=361;standalone_occurrences=5	SCOPED_INITIAL_HEAD_PROFILE	NONE	SCOPED_FOUR_HEAD_COMPOUND	ca2b9990d3f6aa04609f6e4bc5c4edacbb55d5688341c6e1a04629244c749ae7	1	BOUND_EXACT_PRIMARY_ROW	H0_NONE
G636_POL_DICT	pol#1	GDT636	experiments/yolo/gdt636_residual_four_head_semantics/artifacts/WORKING_DICTIONARY_V13.tsv	entry=pol@GDT635_HEAD_FORM	kind=SCOPED_CONCRETE_HEAD_FORM;working_meaning_de=Pulverstoff;composition=p+ol;status=NEW_V12_ATTESTED_CONCRETE_DEFAULT	INHERITED_EXPLICIT_COMPOSITION	NONE	SCOPED_FOUR_HEAD_COMPOUND	3db77ff927d2051aafceed2e13bae24c681b255782da597070ccc6c0495121e4	1	BOUND_EXACT_PRIMARY_ROW	H0_NONE
V93_LOR_LEX	lor#1	GDT720	experiments/yolo/gdt720_v93_cold_result_whole_domain_repair/artifacts/V93_324_ACTIVE_LEXICAL_READINGS.tsv	source_reading_ids=lor#1;surface=lor	v93_lexical_core_de=Holzportion;working_model_score_0_100_not_probability=31;working_model_level=W1_WEAK_WORKING;last_semantic_writer=GDT684	CANONICAL_V93_LEXICAL	NONE	SCOPED_FOUR_HEAD_COMPOUND	ee4e7f4299defb48df51a9b8665439d5d7776d703dfdbf9e6aaa8c5ab705d57a	1	BOUND_EXACT_PRIMARY_ROW	H0_NONE
V93_LOR_CTX	lor#1	GDT720	experiments/yolo/gdt720_v93_cold_result_whole_domain_repair/artifacts/V93_479_CONTEXT_REALIZATIONS.tsv	position_id=P079;surface=lor	source_reading_id=lor#1;page=f107r;locus=f107r.2;token_ordinal=13;v93_context_realization_de=Holzportion;v68_clause_type=NOMINAL_BLOCK;v68_action_license=NOT_ACTION_LICENSED	CANONICAL_V93_POSITION	NONE	SCOPED_FOUR_HEAD_COMPOUND	fd3de3c9c2ee3b9fc537fbf575160d80637e0d261f44e21484946b2eb1d49868	1	BOUND_EXACT_PRIMARY_ROW	H0_NONE
