component_recipe	first_action	second_action	ordered_pair	ordered_reading_de	grade_atoms	argument_atoms	dy_count	clean_pair_slot_recipe	canonical_pair_skeleton	event_count	register_count	registers	page_count	surfaces	portable_reading_de
AR+CH+Y+T+AIIN	CH	T	CH+T	NEHMEN → EINSTELLEN	NONE	Y|AIIN	0	NO	NONCANONICAL_MULTISLOT	1	1	HERBAL	1	archytaiin	AUSGANG · NEHMEN · POSTEN · EINSTELLEN · WERT
A_ADDR+SH+Y+T+EE+D_ADDR	SH	T	SH+T	HALTEN → EINSTELLEN	EE	Y	0	YES	SH+T|EE|Y|OPEN	1	1	BIOLOGICAL	1	ashyteed	HIER · HALTEN · POSTEN · EINSTELLEN · GRAD II · HIER
A_ADDR+T+CH+OR	T	CH	T+CH	EINSTELLEN → NEHMEN	NONE	OR	0	YES	T+CH|NONE|OR|OPEN	1	1	CELESTIAL	1	atchor	HIER · EINSTELLEN · NEHMEN · EINHEIT
CARRIER_Q+E+P+CHD+Y	P	CHD	P+CHD	EINSETZEN → BEARBEITEN	E	Y	0	YES	P+CHD|E|Y|OPEN	1	1	BIOLOGICAL	1	qepchedy	BEGINNMARKER · GRAD I · EINSETZEN · BEARBEITEN · POSTEN
CARRIER_Q+E+T+CH+Y	T	CH	T+CH	EINSTELLEN → NEHMEN	E	Y	0	YES	T+CH|E|Y|OPEN	1	1	BIOLOGICAL	1	qetchy	BEGINNMARKER · GRAD I · EINSTELLEN · NEHMEN · POSTEN
CARRIER_Q+O+CH+K+OL	CH	K	CH+K	NEHMEN → GEBEN	NONE	NONE	0	YES	CH+K|NONE|NONE|OPEN	3	2	BIOLOGICAL|PHARMA	3	qockhol	BEGINNMARKER · AUSFÜHRUNG · NEHMEN · GEBEN · FORTSETZEN
CARRIER_Q+O+CH+K+Y	CH	K	CH+K	NEHMEN → GEBEN	NONE	Y	0	YES	CH+K|NONE|Y|OPEN	1	1	CELESTIAL	1	qockhy	BEGINNMARKER · AUSFÜHRUNG · NEHMEN · GEBEN · POSTEN
CARRIER_Q+O+CH+T+E+Y	CH	T	CH+T	NEHMEN → EINSTELLEN	E	Y	0	YES	CH+T|E|Y|OPEN	1	1	BIOLOGICAL	1	qocthey	BEGINNMARKER · AUSFÜHRUNG · NEHMEN · EINSTELLEN · GRAD I · POSTEN
CARRIER_Q+O+CH+T+OL+Y	CH	T	CH+T	NEHMEN → EINSTELLEN	NONE	Y	0	YES	CH+T|NONE|Y|OPEN	2	2	HERBAL|PHARMA	2	qoctholy|qopcholy	BEGINNMARKER · AUSFÜHRUNG · NEHMEN · EINSTELLEN · FORTSETZEN · POSTEN
CARRIER_Q+O+P+CH+OL	P	CH	P+CH	EINSETZEN → NEHMEN	NONE	NONE	0	YES	P+CH|NONE|NONE|OPEN	1	1	BIOLOGICAL	1	qopchol	BEGINNMARKER · AUSFÜHRUNG · EINSETZEN · NEHMEN · FORTSETZEN
CARRIER_Q+O+P+CHD+Y	P	CHD	P+CHD	EINSETZEN → BEARBEITEN	NONE	Y	0	YES	P+CHD|NONE|Y|OPEN	6	1	BIOLOGICAL	4	qopchedy	BEGINNMARKER · AUSFÜHRUNG · EINSETZEN · BEARBEITEN · POSTEN
CARRIER_Q+O+P+SH+D_ADDR+Y	P	SH	P+SH	EINSETZEN → HALTEN	NONE	Y	0	YES	P+SH|NONE|Y|OPEN	2	1	BIOLOGICAL	2	qofshy|qopshdy	BEGINNMARKER · AUSFÜHRUNG · EINSETZEN · HALTEN · HIER · POSTEN
CH+AL+S	CH	S	CH+S	NEHMEN → WÄHLEN	NONE	NONE	0	YES	CH+S|NONE|NONE|OPEN	1	1	HERBAL	1	chals	NEHMEN · ZIELORT · WÄHLEN
CH+A_ADDR+S	CH	S	CH+S	NEHMEN → WÄHLEN	NONE	NONE	0	YES	CH+S|NONE|NONE|OPEN	1	1	CELESTIAL	1	chas	NEHMEN · HIER · WÄHLEN
CH+E+O+K	CH	K	CH+K	NEHMEN → GEBEN	E	NONE	0	YES	CH+K|E|NONE|OPEN	1	1	PHARMA	1	cheok	NEHMEN · GRAD I · AUSFÜHRUNG · GEBEN
CH+E+O+K+AL	CH	K	CH+K	NEHMEN → GEBEN	E	NONE	0	YES	CH+K|E|NONE|OPEN	1	1	PHARMA	1	cheokal	NEHMEN · GRAD I · AUSFÜHRUNG · GEBEN · ZIELORT
CH+E+O+K+AM_ADDR	CH	K	CH+K	NEHMEN → GEBEN	E	NONE	0	YES	CH+K|E|NONE|OPEN	1	1	PHARMA	1	cheokam	NEHMEN · GRAD I · AUSFÜHRUNG · GEBEN · HIER
CH+E+O+K+Y	CH	K	CH+K	NEHMEN → GEBEN	E	Y	0	YES	CH+K|E|Y|OPEN	4	3	BIOLOGICAL|CELESTIAL|PHARMA	3	cheoky	NEHMEN · GRAD I · AUSFÜHRUNG · GEBEN · POSTEN
CH+E+O+L+S	CH	S	CH+S	NEHMEN → WÄHLEN	E	NONE	0	YES	CH+S|E|NONE|OPEN	1	1	CELESTIAL	1	cheols	NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG · WÄHLEN
