first_action	first_value_de	second_action	second_value_de	ordered_pair	ordered_reading_de	status	exact_recipe_type_count	event_count	clean_recipe_type_count	register_count	registers	licensed_grades	licensed_arguments	endpoint_license
OK	SETZEN	OK	SETZEN	OK+OK	SETZEN → SETZEN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
OK	SETZEN	CH	NEHMEN	OK+CH	SETZEN → NEHMEN	PAIR_ATTESTED	14	23	13	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	E|EE	Y|OR	NO_CLOSE_SLOT
OK	SETZEN	SH	HALTEN	OK+SH	SETZEN → HALTEN	PAIR_ATTESTED	7	11	7	3	SOURCE_SECTION_T|HERBAL|BIOLOGICAL	E	Y	CLOSE_SLOT_ATTESTED
OK	SETZEN	K	GEBEN	OK+K	SETZEN → GEBEN	PAIR_ATTESTED	1	1	1	1	CELESTIAL	NONE	Y	NO_CLOSE_SLOT
OK	SETZEN	S	WÄHLEN	OK+S	SETZEN → WÄHLEN	PAIR_ATTESTED	8	12	8	3	HERBAL|BIOLOGICAL|CELESTIAL	E|EE	Y	CLOSE_SLOT_ATTESTED
OK	SETZEN	CHD	BEARBEITEN	OK+CHD	SETZEN → BEARBEITEN	PAIR_ATTESTED	6	18	6	2	HERBAL|BIOLOGICAL	E	Y	CLOSE_SLOT_ATTESTED
OK	SETZEN	T	EINSTELLEN	OK+T	SETZEN → EINSTELLEN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
OK	SETZEN	R	MARKIEREN	OK+R	SETZEN → MARKIEREN	PAIR_ATTESTED	1	2	1	2	SOURCE_SECTION_T|CELESTIAL	NONE	NONE	NO_CLOSE_SLOT
OK	SETZEN	P	EINSETZEN	OK+P	SETZEN → EINSETZEN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
CH	NEHMEN	OK	SETZEN	CH+OK	NEHMEN → SETZEN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
CH	NEHMEN	CH	NEHMEN	CH+CH	NEHMEN → NEHMEN	PAIR_ATTESTED	5	7	3	3	HERBAL|BIOLOGICAL|CELESTIAL	E	Y|OR	NO_CLOSE_SLOT
CH	NEHMEN	SH	HALTEN	CH+SH	NEHMEN → HALTEN	PAIR_ATTESTED	3	3	3	2	HERBAL|BIOLOGICAL	E	Y|OR	CLOSE_SLOT_ATTESTED
CH	NEHMEN	K	GEBEN	CH+K	NEHMEN → GEBEN	PAIR_ATTESTED	40	119	36	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	E|EE	Y|AIIN|AIN|OR	CLOSE_SLOT_ATTESTED
CH	NEHMEN	S	WÄHLEN	CH+S	NEHMEN → WÄHLEN	PAIR_ATTESTED	17	30	17	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	E|EE	Y|OR	CLOSE_SLOT_ATTESTED
CH	NEHMEN	CHD	BEARBEITEN	CH+CHD	NEHMEN → BEARBEITEN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
CH	NEHMEN	T	EINSTELLEN	CH+T	NEHMEN → EINSTELLEN	PAIR_ATTESTED	37	83	31	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	E|EE	Y|AIIN|OR	NO_CLOSE_SLOT
CH	NEHMEN	R	MARKIEREN	CH+R	NEHMEN → MARKIEREN	PAIR_ATTESTED	7	22	7	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	E	Y	NO_CLOSE_SLOT
CH	NEHMEN	P	EINSETZEN	CH+P	NEHMEN → EINSETZEN	PAIR_ATTESTED	19	25	18	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	E|EEE	Y|AIIN|OR	CLOSE_SLOT_ATTESTED
SH	HALTEN	OK	SETZEN	SH+OK	HALTEN → SETZEN	PAIR_ATTESTED	6	7	5	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	E	Y|AIIN|AIN	NO_CLOSE_SLOT
SH	HALTEN	CH	NEHMEN	SH+CH	HALTEN → NEHMEN	PAIR_ATTESTED	2	2	2	2	BIOLOGICAL|PHARMA	E	Y|OR	NO_CLOSE_SLOT
SH	HALTEN	SH	HALTEN	SH+SH	HALTEN → HALTEN	PAIR_ATTESTED	2	2	2	2	SOURCE_SECTION_T|HERBAL	E	Y	NO_CLOSE_SLOT
SH	HALTEN	K	GEBEN	SH+K	HALTEN → GEBEN	PAIR_ATTESTED	12	19	11	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	E|EE	Y|AIIN|OR	CLOSE_SLOT_ATTESTED
SH	HALTEN	S	WÄHLEN	SH+S	HALTEN → WÄHLEN	PAIR_ATTESTED	7	9	7	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	E|EE	NONE	NO_CLOSE_SLOT
SH	HALTEN	CHD	BEARBEITEN	SH+CHD	HALTEN → BEARBEITEN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
SH	HALTEN	T	EINSTELLEN	SH+T	HALTEN → EINSTELLEN	PAIR_ATTESTED	9	12	6	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	E|EE	Y	NO_CLOSE_SLOT
SH	HALTEN	R	MARKIEREN	SH+R	HALTEN → MARKIEREN	PAIR_ATTESTED	1	1	1	1	PHARMA	E	Y	NO_CLOSE_SLOT
SH	HALTEN	P	EINSETZEN	SH+P	HALTEN → EINSETZEN	PAIR_ATTESTED	1	1	1	1	BIOLOGICAL	E	Y	NO_CLOSE_SLOT
K	GEBEN	OK	SETZEN	K+OK	GEBEN → SETZEN	PAIR_ATTESTED	1	1	1	1	SOURCE_SECTION_T	NONE	AIIN	NO_CLOSE_SLOT
K	GEBEN	CH	NEHMEN	K+CH	GEBEN → NEHMEN	PAIR_ATTESTED	16	21	10	3	HERBAL|CELESTIAL|PHARMA	E|EE	Y|AIIN|OR	NO_CLOSE_SLOT
K	GEBEN	SH	HALTEN	K+SH	GEBEN → HALTEN	PAIR_ATTESTED	15	16	14	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	E	Y	CLOSE_SLOT_ATTESTED
K	GEBEN	K	GEBEN	K+K	GEBEN → GEBEN	PAIR_ATTESTED	1	1	0	1	HERBAL	NONE	Y	NO_CLOSE_SLOT
K	GEBEN	S	WÄHLEN	K+S	GEBEN → WÄHLEN	PAIR_ATTESTED	3	3	2	3	SOURCE_SECTION_T|HERBAL|CELESTIAL	E|EE	Y	NO_CLOSE_SLOT
K	GEBEN	CHD	BEARBEITEN	K+CHD	GEBEN → BEARBEITEN	PAIR_ATTESTED	5	6	4	3	HERBAL|BIOLOGICAL|PHARMA	NONE	Y	NO_CLOSE_SLOT
K	GEBEN	T	EINSTELLEN	K+T	GEBEN → EINSTELLEN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
K	GEBEN	R	MARKIEREN	K+R	GEBEN → MARKIEREN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
K	GEBEN	P	EINSETZEN	K+P	GEBEN → EINSETZEN	PAIR_ATTESTED	3	3	3	3	HERBAL|BIOLOGICAL|PHARMA	E	Y	NO_CLOSE_SLOT
S	WÄHLEN	OK	SETZEN	S+OK	WÄHLEN → SETZEN	PAIR_ATTESTED	2	2	2	2	BIOLOGICAL|PHARMA	E|EE	AIIN	CLOSE_SLOT_ATTESTED
S	WÄHLEN	CH	NEHMEN	S+CH	WÄHLEN → NEHMEN	PAIR_ATTESTED	2	2	2	2	HERBAL|BIOLOGICAL	E	Y	NO_CLOSE_SLOT
S	WÄHLEN	SH	HALTEN	S+SH	WÄHLEN → HALTEN	PAIR_ATTESTED	7	10	6	3	BIOLOGICAL|CELESTIAL|PHARMA	E	Y|OR	CLOSE_SLOT_ATTESTED
S	WÄHLEN	K	GEBEN	S+K	WÄHLEN → GEBEN	PAIR_ATTESTED	1	1	1	1	BIOLOGICAL	NONE	NONE	NO_CLOSE_SLOT
S	WÄHLEN	S	WÄHLEN	S+S	WÄHLEN → WÄHLEN	PAIR_ATTESTED	5	5	3	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	E	Y|AIN	NO_CLOSE_SLOT
S	WÄHLEN	CHD	BEARBEITEN	S+CHD	WÄHLEN → BEARBEITEN	PAIR_ATTESTED	2	4	2	1	BIOLOGICAL	NONE	Y	NO_CLOSE_SLOT
S	WÄHLEN	T	EINSTELLEN	S+T	WÄHLEN → EINSTELLEN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
S	WÄHLEN	R	MARKIEREN	S+R	WÄHLEN → MARKIEREN	PAIR_ATTESTED	3	4	2	3	SOURCE_SECTION_T|BIOLOGICAL|CELESTIAL	NONE	Y|AIIN|OR	NO_CLOSE_SLOT
S	WÄHLEN	P	EINSETZEN	S+P	WÄHLEN → EINSETZEN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
CHD	BEARBEITEN	OK	SETZEN	CHD+OK	BEARBEITEN → SETZEN	PAIR_ATTESTED	1	1	1	1	BIOLOGICAL	NONE	Y	NO_CLOSE_SLOT
CHD	BEARBEITEN	CH	NEHMEN	CHD+CH	BEARBEITEN → NEHMEN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
CHD	BEARBEITEN	SH	HALTEN	CHD+SH	BEARBEITEN → HALTEN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
CHD	BEARBEITEN	K	GEBEN	CHD+K	BEARBEITEN → GEBEN	PAIR_ATTESTED	2	2	1	2	HERBAL|BIOLOGICAL	NONE	Y|AIN	NO_CLOSE_SLOT
CHD	BEARBEITEN	S	WÄHLEN	CHD+S	BEARBEITEN → WÄHLEN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
CHD	BEARBEITEN	CHD	BEARBEITEN	CHD+CHD	BEARBEITEN → BEARBEITEN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
CHD	BEARBEITEN	T	EINSTELLEN	CHD+T	BEARBEITEN → EINSTELLEN	PAIR_ATTESTED	1	1	0	1	HERBAL	NONE	Y	NO_CLOSE_SLOT
CHD	BEARBEITEN	R	MARKIEREN	CHD+R	BEARBEITEN → MARKIEREN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
CHD	BEARBEITEN	P	EINSETZEN	CHD+P	BEARBEITEN → EINSETZEN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
T	EINSTELLEN	OK	SETZEN	T+OK	EINSTELLEN → SETZEN	PAIR_ATTESTED	2	2	1	1	HERBAL	NONE	Y	NO_CLOSE_SLOT
T	EINSTELLEN	CH	NEHMEN	T+CH	EINSTELLEN → NEHMEN	PAIR_ATTESTED	12	17	12	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	E	Y|OR	CLOSE_SLOT_ATTESTED
T	EINSTELLEN	SH	HALTEN	T+SH	EINSTELLEN → HALTEN	PAIR_ATTESTED	6	6	5	1	HERBAL	E	Y|OR	CLOSE_SLOT_ATTESTED
T	EINSTELLEN	K	GEBEN	T+K	EINSTELLEN → GEBEN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
T	EINSTELLEN	S	WÄHLEN	T+S	EINSTELLEN → WÄHLEN	PAIR_ATTESTED	2	3	2	2	HERBAL|PHARMA	NONE	Y	NO_CLOSE_SLOT
T	EINSTELLEN	CHD	BEARBEITEN	T+CHD	EINSTELLEN → BEARBEITEN	PAIR_ATTESTED	6	10	5	2	HERBAL|BIOLOGICAL	E	Y|AIIN	NO_CLOSE_SLOT
T	EINSTELLEN	T	EINSTELLEN	T+T	EINSTELLEN → EINSTELLEN	PAIR_ABSENT	0	0	0	0	NONE	NONE	NONE	NO_CLOSE_SLOT
