unordered_pair	forward_pair	forward_reading_de	forward_event_count	forward_recipe_type_count	reverse_pair	reverse_reading_de	reverse_event_count	reverse_recipe_type_count	direction_verdict
OK|OK	OK+OK	SETZEN → SETZEN	0	0	SELF	SELF	0	0	SELF_ABSENT
OK|CH	OK+CH	SETZEN → NEHMEN	23	14	CH+OK	NEHMEN → SETZEN	0	0	FORWARD_ONLY
OK|SH	OK+SH	SETZEN → HALTEN	11	7	SH+OK	HALTEN → SETZEN	7	6	BALANCED
OK|K	OK+K	SETZEN → GEBEN	1	1	K+OK	GEBEN → SETZEN	1	1	BALANCED
OK|S	OK+S	SETZEN → WÄHLEN	12	8	S+OK	WÄHLEN → SETZEN	2	2	DIRECTIONAL
OK|CHD	OK+CHD	SETZEN → BEARBEITEN	18	6	CHD+OK	BEARBEITEN → SETZEN	1	1	DIRECTIONAL
OK|T	OK+T	SETZEN → EINSTELLEN	0	0	T+OK	EINSTELLEN → SETZEN	2	2	REVERSE_ONLY
OK|R	OK+R	SETZEN → MARKIEREN	2	1	R+OK	MARKIEREN → SETZEN	0	0	FORWARD_ONLY
OK|P	OK+P	SETZEN → EINSETZEN	0	0	P+OK	EINSETZEN → SETZEN	0	0	BOTH_ABSENT
CH|CH	CH+CH	NEHMEN → NEHMEN	7	5	SELF	SELF	0	0	SELF_ATTESTED
CH|SH	CH+SH	NEHMEN → HALTEN	3	3	SH+CH	HALTEN → NEHMEN	2	2	BALANCED
CH|K	CH+K	NEHMEN → GEBEN	119	40	K+CH	GEBEN → NEHMEN	21	16	DIRECTIONAL
CH|S	CH+S	NEHMEN → WÄHLEN	30	17	S+CH	WÄHLEN → NEHMEN	2	2	DIRECTIONAL
CH|CHD	CH+CHD	NEHMEN → BEARBEITEN	0	0	CHD+CH	BEARBEITEN → NEHMEN	0	0	BOTH_ABSENT
CH|T	CH+T	NEHMEN → EINSTELLEN	83	37	T+CH	EINSTELLEN → NEHMEN	17	12	DIRECTIONAL
CH|R	CH+R	NEHMEN → MARKIEREN	22	7	R+CH	MARKIEREN → NEHMEN	2	2	DIRECTIONAL
CH|P	CH+P	NEHMEN → EINSETZEN	25	19	P+CH	EINSETZEN → NEHMEN	16	16	BALANCED
SH|SH	SH+SH	HALTEN → HALTEN	2	2	SELF	SELF	0	0	SELF_ATTESTED
SH|K	SH+K	HALTEN → GEBEN	19	12	K+SH	GEBEN → HALTEN	16	15	BALANCED
SH|S	SH+S	HALTEN → WÄHLEN	9	7	S+SH	WÄHLEN → HALTEN	10	7	BALANCED
SH|CHD	SH+CHD	HALTEN → BEARBEITEN	0	0	CHD+SH	BEARBEITEN → HALTEN	0	0	BOTH_ABSENT
SH|T	SH+T	HALTEN → EINSTELLEN	12	9	T+SH	EINSTELLEN → HALTEN	6	6	DIRECTIONAL
SH|R	SH+R	HALTEN → MARKIEREN	1	1	R+SH	MARKIEREN → HALTEN	6	4	DIRECTIONAL
SH|P	SH+P	HALTEN → EINSETZEN	1	1	P+SH	EINSETZEN → HALTEN	15	11	DIRECTIONAL
K|K	K+K	GEBEN → GEBEN	1	1	SELF	SELF	0	0	SELF_ATTESTED
K|S	K+S	GEBEN → WÄHLEN	3	3	S+K	WÄHLEN → GEBEN	1	1	DIRECTIONAL
K|CHD	K+CHD	GEBEN → BEARBEITEN	6	5	CHD+K	BEARBEITEN → GEBEN	2	2	DIRECTIONAL
K|T	K+T	GEBEN → EINSTELLEN	0	0	T+K	EINSTELLEN → GEBEN	0	0	BOTH_ABSENT
K|R	K+R	GEBEN → MARKIEREN	0	0	R+K	MARKIEREN → GEBEN	0	0	BOTH_ABSENT
K|P	K+P	GEBEN → EINSETZEN	3	3	P+K	EINSETZEN → GEBEN	2	2	BALANCED
S|S	S+S	WÄHLEN → WÄHLEN	5	5	SELF	SELF	0	0	SELF_ATTESTED
S|CHD	S+CHD	WÄHLEN → BEARBEITEN	4	2	CHD+S	BEARBEITEN → WÄHLEN	0	0	FORWARD_ONLY
S|T	S+T	WÄHLEN → EINSTELLEN	0	0	T+S	EINSTELLEN → WÄHLEN	3	2	REVERSE_ONLY
S|R	S+R	WÄHLEN → MARKIEREN	4	3	R+S	MARKIEREN → WÄHLEN	1	1	DIRECTIONAL
S|P	S+P	WÄHLEN → EINSETZEN	0	0	P+S	EINSETZEN → WÄHLEN	1	1	REVERSE_ONLY
CHD|CHD	CHD+CHD	BEARBEITEN → BEARBEITEN	0	0	SELF	SELF	0	0	SELF_ABSENT
CHD|T	CHD+T	BEARBEITEN → EINSTELLEN	1	1	T+CHD	EINSTELLEN → BEARBEITEN	10	6	DIRECTIONAL
CHD|R	CHD+R	BEARBEITEN → MARKIEREN	0	0	R+CHD	MARKIEREN → BEARBEITEN	2	1	REVERSE_ONLY
CHD|P	CHD+P	BEARBEITEN → EINSETZEN	0	0	P+CHD	EINSETZEN → BEARBEITEN	31	13	REVERSE_ONLY
